#,Bath Safety,Price,Rating,Link,Top Review
1,McKesson Sitz Bath  Round Graphite Plastic 1 Count,$6.88,5.0/5.0,https://www.walmart.com/ip/McKesson-Sitz-Bath-Round-Graphite-Plastic-1-Count/245517374,blank
2,Drive Medical Premium Series Shower Chair with Back   ...,$36.99,4.7/5.0,https://www.walmart.com/ip/Drive-Medical-Premium-Series-Shower-Chair-with-Back-and-Arms/17351503,blank
3,Bath and Shower Step Stool with Handle,$34.50,4.0/5.0,https://www.walmart.com/ip/Bath-and-Shower-Step-Stool-with-Handle/113241531?wpa_bd=&wpa_pg_seller_id=5959E8862ED44DE4A52D627509043FD4&wpa_ref_id=a0c61d44c88a777c4379eb5b5fef63dd&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=3&wpa_plmt=__plmt__&wpa_aduid=__aduid__,blank
4,Ktaxon Bath Shower Chair Adjustable Medical 8 Height  ...,$25.92,4.5/5.0,https://www.walmart.com/ip/Ktaxon-Bath-Shower-Chair-Adjustable-Medical-8-Height-Bench-Bathtub-Stool-Seat-White/819205914,blank
5,Carex Universal Bath Seat and Shower Chair - Adjusta  ...,$33.49,4.9/5.0,https://www.walmart.com/ip/Carex-Universal-Bath-Seat-and-Shower-Chair-Adjustable-Height-Shower-Bench/10105192,blank
6,Medline Bath Chair with Microban Antimicrobial Treat  ...,$35.26,4.3/5.0,https://www.walmart.com/ip/Medline-Bath-Chair-with-Microban-Antimicrobial-Treatment/25560962,blank
7,"Equate Male Urinal, 32 Oz",$5.92,4.4/5.0,https://www.walmart.com/ip/Equate-Male-Urinal-32-Oz/14179134,blank
8,Medline Toilet Safety Frame Rails,$35.65,4.5/5.0,https://www.walmart.com/ip/Medline-Toilet-Safety-Frame-Rails/44629011,blank
9,Drive Medical Bariatric Heavy Duty Bath & Shower Cha  ...,$46.06 - $57.99,4.5/5.0,https://www.walmart.com/ip/Drive-Medical-Bariatric-Heavy-Duty-Bath-Shower-Chair-with-Backrest/17284712,blank
10,Drive Medical Plastic Tub Transfer Bench with Adjust  ...,$55.88,4.6/5.0,https://www.walmart.com/ip/Drive-Medical-Plastic-Tub-Transfer-Bench-with-Adjustable-Backrest/17284709,blank
11,Carex Toilet Seat Riser - 4-Inch Quick-Lock Raised T  ...,$15.77,4.2/5.0,https://www.walmart.com/ip/Carex-Toilet-Seat-Riser-4-Inch-Quick-Lock-Raised-Toilet-Seat/26774629,blank
12,"Safe-er-Grip 11.5"" Bath & Shower Safety Handle",$13.96,4.4/5.0,https://www.walmart.com/ip/Safe-er-Grip-11-5-Bath-Shower-Safety-Handle/10848473,blank
13,Drive Medical Bathroom Safety Shower Tub Bench Chair  ...,$27.99 - $36.83,4.4/5.0,https://www.walmart.com/ip/Drive-Medical-Bathroom-Safety-Shower-Tub-Bench-Chair-Gray/17284703,blank
14,Medline Adjustable Toilet Safety Rails,$27.99,3.9/5.0,https://www.walmart.com/ip/Medline-Adjustable-Toilet-Safety-Rails/21782269,blank
