#,Daily Living Aids,Price,Rating,Link,Top Review
1,As Seen On Tv Sock Slider - The Fastest Easiest Way   ...,$12.46,3.7/5.0,https://www.walmart.com/ip/As-Seen-On-Tv-Sock-Slider-The-Fastest-Easiest-Way-To-Put-Socks-On/770044010,blank
2,"Hip Kit with 26"" Reacher, Contoured Sponge, Sock Aid  ...",$24.19,4.5/5.0,https://www.walmart.com/ip/Hip-Kit-with-26-Reacher-Contoured-Sponge-Sock-Aid-18-Plastic-Shoehorn-and-Dressing-Stick/55210952,blank
3,(2 Pack) Lively Mobile: One-Piece Waterproof Medical  ...,$69.82,3.5/5.0,https://www.walmart.com/ip/2-Pack-Lively-Mobile-One-Piece-Waterproof-Medical-Alert-Device-Silver-by-GreatCall/262645786?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=4d9bede5076d8c460f78037fcd1055f4&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=3&wpa_plmt=__plmt__&wpa_aduid=__aduid__,blank
4,Seven Day 21 Slots Pill Medicine Container Case Box   ...,$6.21,0.0/5.0,https://www.walmart.com/ip/Seven-Day-21-Slots-Pill-Medicine-Container-Case-Box-Weekly-Storage-Organizer/119859225,blank
5,Johnson’s Baby Safety Ear Swabs Made with Non-Bleach  ...,$4.99,4.9/5.0,https://www.walmart.com/ip/Johnson-s-Baby-Safety-Ear-Swabs-Made-with-Non-Bleached-Cotton-185-ct/14089586?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=8fea0a76db688a6acafbb09e9b123291&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=5&wpa_plmt=__plmt__&wpa_aduid=__aduid__,blank
6,"Pack of Two Britzgo Small Hearing Aid Amplifiers, Li  ...",$89.00,5.0/5.0,https://www.walmart.com/ip/Pack-of-Two-Britzgo-Small-Hearing-Aid-Amplifiers-Lightweight-Invisible-BHA-603/942633109,blank
7,Hearing Amplifiers Set with New Digital Technology -  ...,$19.99,2.9/5.0,https://www.walmart.com/ip/Hearing-Amplifiers-Set-New-Digital-Technology-Almost-Invisible-Design-Rechargeable-USB-Dock-Personal-Pair-Sound-Amplifier-Adjustable-Volume-Tone-Cont/770893446,blank
8,OXO Good Grips Button Hook,$7.88,4.8/5.0,https://www.walmart.com/ip/OXO-Good-Grips-Button-Hook/112011822,blank
9,Pill Pulverizer,$6.03,3.6/5.0,https://www.walmart.com/ip/Pill-Pulverizer/32501636,blank
10,Flents Ezy Dose Pill Crusher,$3.98,1.2/5.0,https://www.walmart.com/ip/Flents-Ezy-Dose-Pill-Crusher/54049566,blank
11,Full Page Magnifying Sheet 3X Fresnel Lens 300% Magn  ...,$5.64,1.0/5.0,https://www.walmart.com/ip/Full-Page-Magnifying-Sheet-3X-Fresnel-Lens-300-Magnification-Reading-Vision-Aid/129749743,blank
