#,Patient Care,Price,Rating,Link,Top Review
1,"ReliOn Nitrile Examination Gloves, 100 Ct",$9.24,4.4/5.0,https://www.walmart.com/ip/ReliOn-Nitrile-Examination-Gloves-100-Ct/14284765,blank
2,Curad Basic Care Large/Extra Large Vinyl Exam Gloves  ...,$7.73,4.3/5.0,https://www.walmart.com/ip/Curad-Basic-Care-Large-Extra-Large-Vinyl-Exam-Gloves-100-count/44621723,blank
3,"Oxygen Supply Tubing ''25 ft. x 3/16 I.D., Clear, 1   ...",$6.04,5.0/5.0,https://www.walmart.com/ip/Oxygen-Supply-Tubing-25-ft-x-3-16-I-D-Clear-1-Count/195071336?wpa_bd=&wpa_pg_seller_id=DABA61A51AA444798605B2E5391AF8EA&wpa_ref_id=c0c0c49178de4f34954bec67fdff1db7&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=3&wpa_plmt=__plmt__&wpa_aduid=__aduid__,blank
4,"Equate Latex Examination Gloves, One Size, 50 Ct",$5.96,0.0/5.0,https://www.walmart.com/ip/Equate-Latex-Examination-Gloves-One-Size-50-Ct/300343224,blank
5,"Cervical Traction Kit ''Overdoor, One Size Fits Most  ...",$15.60,5.0/5.0,https://www.walmart.com/ip/Cervical-Traction-Kit-Overdoor-One-Size-Fits-Most/159989271?wpa_bd=&wpa_pg_seller_id=DABA61A51AA444798605B2E5391AF8EA&wpa_ref_id=c8fb41fa1d75acd5ec8fa0f2ef92eddf&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=5&wpa_plmt=__plmt__&wpa_aduid=__aduid__,blank
6,Safeskin Purple Nitrile Powder-Free Exam Disposable   ...,$13.19 - $14.22,4.3/5.0,https://www.walmart.com/ip/Safeskin-Purple-Nitrile-Powder-Free-Exam-Disposable-Gloves-Large/10715978,blank
7,"3M Littmann Classic III Stethoscope, Available in Mu  ...",$80.00 - $92.99,3.7/5.0,https://www.walmart.com/ip/3M-Littmann-Classic-III-Stethoscope-Available-in-Multiple-Colors/170590406,blank
8,"3M Littmann Lightweight II S.E. Stethoscope, Black T  ...",$45.00 - $54.44,3.2/5.0,https://www.walmart.com/ip/3M-Littmann-Lightweight-II-S-E-Stethoscope-Black-Tube-28-inch/21720622,blank
9,"3M Littmann Cardiology IV Stethoscope, Available in   ...",$164.65 - $186.19,2.7/5.0,https://www.walmart.com/ip/3M-Littmann-Cardiology-IV-Stethoscope-Available-in-Multiple-Colors/112383005,blank
10,"(3 Pack) Curad Nitrile Powder-Free Exam Gloves, 100   ...",$19.96 - $39.75,4.4/5.0,https://www.walmart.com/ip/3-Pack-Curad-Nitrile-Powder-Free-Exam-Gloves-100-ct/813611434,blank
11,Navage Nasal Irrigation Deluxe Bundle: Navage Nose C  ...,$116.95 - $119.95,4.0/5.0,https://www.walmart.com/ip/Navage-Nasal-Irrigation-Deluxe-Bundle-Navage-Nose-Cleaner-48-SaltPod-Capsules-Countertop-Caddy-Travel-Case-162-75-purchased-separately-You-save-52-80/157182505,blank
12,"Equate Vinyl Examination Gloves, 100 Ct",$7.98,0.0/5.0,https://www.walmart.com/ip/Equate-Vinyl-Examination-Gloves-100-Ct/709075118,blank
13,Nature Made® Super B-Complex Dietary Supplement Tabl  ...,$15.444.0¢/each,5.0/5.0,https://www.walmart.com/ip/Nature-Made-Super-B-Complex-Dietary-Supplement-Tablets-390ct/634283052,blank
14,Kimberly-Clark PROFESSIONAL Protective Gear Disposab  ...,$11.69 - $18.04,4.5/5.0,https://www.walmart.com/ip/Kimberly-Clark-PROFESSIONAL-Protective-Gear-Disposable-Purple-Nitrile-Exam-Gloves-Small-100-Count-KCC-55081/22582311,blank
15,CURAD Powder-Free Textured Latex Exam Gloves - CUR81  ...,$11.50 - $15.15,4.8/5.0,https://www.walmart.com/ip/CURAD-Powder-Free-Textured-Latex-Exam-Gloves-CUR8104/22582340,blank
16,"3M Littmann Classic II S.E. Adult Stethoscope, Black",$64.28,4.5/5.0,https://www.walmart.com/ip/3M-Littmann-Classic-II-S-E-Adult-Stethoscope-Black/14930019,blank
17,ChoiceMMed Pulse Oximeter,$34.99,4.6/5.0,https://www.walmart.com/ip/ChoiceMMed-Pulse-Oximeter/17325061,blank
18,"Equate Earloop Mask Disposable Mask, 20 Ct",$2.97,5.0/5.0,https://www.walmart.com/ip/Equate-Earloop-Mask-Disposable-Mask-20-Ct/745929347,blank
19,"Cervical Neck Traction Device, Inflatable Neck Tract  ...",$17.95,5.0/5.0,https://www.walmart.com/ip/Cervical-Neck-Traction-Device-Inflatable-Neck-Traction-Neck-Brace-for-Fast-Neck-Head-Shoulder-Pain-Relief-Adjustable-and-FDA-Approved/136497820,blank
20,"Equate Gauze Pads, 3""x3"", 25 Ct",$3.54,5.0/5.0,https://www.walmart.com/ip/Equate-Gauze-Pads-3-x3-25-Ct/344776932,blank
