Drive Medical Premium Series Shower Chair with Back   ...,$36.99,4.7/5.0,https://www.walmart.com/ip/Drive-Medical-Premium-Series-Shower-Chair-with-Back-and-Arms/17351503,"Top of the Line Safety and Bathing Support The Drive Medical Premium Series Shower Chair with Back and Arms is the ultimate in mobility self-empowerment. As a user, you are guaranteed your bathing experience will be one that is safe, carefree and pleasant. Built for individuals who require additional safety measures that assist you with mobility and balance while entering and exiting the bath or shower, this state of the art seat has been designed to comfortably accommodate all shapes and sizes. The lightweight design comes with large stable legs which are complimented by soft non-slip feet, ensuring your safety at all times. It also comes with tool free height adjustment. The back, as well as the legs and arms can also be removed as well, making it an item that is flexible, easy to store, pack away and transport. Designed to give you maximum comfort, efficiency, safety, and ease of use, the Drive Safety Shower Chair is strong, durable and dependable. It's everything you need in a shower safety bench seat.If you experience dizziness, or you're unsure of your footing due to mobility issues when it comes time to bathe...You can now help rid yourself of this stress and worry as bathing once again becomes relaxing and pleasurable, thanks to Drive Medical's Premium Series Shower Chair with Back and Arms. Go ahead...Experience the Drive Difference Now!"
Drive Medical Steel Folding Bedside Commode,$35.79,4.5/5.0,https://www.walmart.com/ip/Drive-Medical-Steel-Folding-Bedside-Commode/10728124,"The Drive Medical Folding Steel Bedside Commode easily opens and folds, and will fold flat for convenient storage and transportation. The easy to use snap buttons allows this commode to open and fold in seconds. The durable plastic snap on seat and lid with the grey powder coated steel welded construction increase strength and durability. It comes with plastic arms for added comfort and safety. Comes complete with 7.5 qt commode bucket with carry handle, cover and splash shield."
Drive Medical Plastic Tub Transfer Bench with Adjust  ...,$55.88,4.6/5.0,https://www.walmart.com/ip/Drive-Medical-Plastic-Tub-Transfer-Bench-with-Adjustable-Backrest/17284709,"This plastic transfer bench by Drive Medical accommodates any bathroom because of its reversible bench and extension legs with extra large suction cups that lock provide added versatility and safety. The &quot;Dual Column&quot; extension legs height adjust in 1/2&quot; increments. Sturdy &quot;A&quot; frame construction, durable blow-molded plastic bench and backrest ensure maximum stability. This products features tool-free assembly leaving no hardware exposed."
Medline Bath Chair with Microban Antimicrobial Treat  ...,$35.26,4.3/5.0,https://www.walmart.com/ip/Medline-Bath-Chair-with-Microban-Antimicrobial-Treatment/25560962,"The Medline Bath Chair with Microban Treatment prevents the growth of microbes that can cause stains and odors. It comes equipped with non-slip grips on the feet to keep it from slipping and sliding in bathtubs or across shower floors. This Medline chair features legs that can be adjusted to accommodate users of different heights. It provides you with a place to sit and rest while bathing or shaving. The shower bench is comfortable, supportive and can hold up to 300 lbs safely. It stays flat on the floor without flipping over and reduces the likelihood of injuries occurring from slips or falls. The Medline Bath Chair with Microban treatment is mold- and mildew-resistant. It's also lightweight and simple to move for cleaning or just to get it out of the way when not in use.  <br />"
Stander Security Pole and Curve Grab Bar - Tension M  ...,$159.00 - $193.71,4.7/5.0,https://www.walmart.com/ip/Stander-Security-Pole-and-Curve-Grab-Bar-Tension-Mounted-Transfer-Pole-and-Rotating-Handle/14292594,Get up from a sitting position with the assistance you need by using The Stander Security Pole And Curve Grab Bar. It is styled in a couple of color options to match your decor along with a grab bar that rotates and locks every 45 degrees and is strong enough to support up to 300 lba. This tension mounted pole adjusts to fit ceilings from 7' to 10' high and is made to prevent scratches and markups on your floor and ceiling. It features a top H-Frame that distributes tension through the ceiling giving you the support you need to get up and down every time. The security pole grab bar allows you the freedom to move it to any room in the house at any time
Medline Height Adjustable Transfer Bench with Backre  ...,$66.49,4.6/5.0,https://www.walmart.com/ip/Medline-Height-Adjustable-Transfer-Bench-with-Backrest-Tool-Free-Assembly/7983649,"Limited mobility can make bathing difficult for both patients and caregivers, but the Medline Transfer Bench with Back makes it less of an onerous task for both parties. This item is ideal for those who are at risk for falls: the user can sit down on the outside of the bathtub, swing their legs over the tub wall and enter the tub by grasping the armrest and sliding across the plastic transfer bench. The legs and backrest are height-adjustable to fit different tubs and for added stability and comfort. This adjustable transfer bench features a strong anodized aluminum frame for sturdy support of up to 300 lbs. Suction cups on two of the legs offer balance and support. Non-skid, non-marring rubber tips protect the tub and also prevent slips. It's not recommended for tubs with glass doors. Extra tools aren't required for assembling the Medline Transfer Bench with Back."
Equate Bedside Commode,$59.00,4.6/5.0,https://www.walmart.com/ip/Equate-Bedside-Commode/598661420,"This 3-in-1 commode can be used bedside, over the toilet or by removing the seat to use as toilet safety rails. For each use, it provides strong, stable support on a lightweight frame that makes it easy to move from room to room. Folds open and closed with ease to make storage or transport a breeze. Adjust to perfect height with easy-to-use locking push buttons. An elongated seat provides more comfort than typical round seats. Both the seat and lid both snap on and off for easy cleaning. <p>Making the right health decisions can be challenging. With a complete range of products and simple solutions, Equate allows you to take care of your family with confidence.</p>"
"Equate Locking Raised Toilet Seat with Handles, Whit  ...",$39.53,4.5/5.0,https://www.walmart.com/ip/Equate-Locking-Raised-Toilet-Seat-with-Handles-White/14179132,"<p>Is old age or injury hindering your ability to sit on the toilet? Equate Locking Raised Toilet Seat provides assistance to those with bending and sitting difficulties by adding 5 inches to the height of your toilet seat. It fits most standard, elongated bowls and has a locking mechanism to secure it in its place. It has two comfort handles on the side whose distance can be adjusted for an optimum support. You can choose to use the seat without the handles as well. It is easy to install without any tools, and equally easy to clean without much effort. Experience a comfortable way of sitting and getting up from the toilet with Equate Locking Raised Toilet Seat with Handles.</p> <p>Making the right health decisions can be challenging. With a complete range of products and simple solutions, Equate allows you to take care of your family with confidence.</p> <br />"
Medline Toilet Safety Frame Rails,$35.65,4.5/5.0,https://www.walmart.com/ip/Medline-Toilet-Safety-Frame-Rails/44629011,"Medline Toilet Safety Rails have convenient adjustable handles that rotate back. This allows for a wide range of comfortable and secure gripping positions. They can be adjusted for both height and width. These toilet rails have closed cell armrests for a comfortable, sure grip. They are designed to accommodate both standard and elevated toilet seats. This set is easy to clean and the aluminum frame mounts securely onto the bowl with an adjustable bracket. These rails can safely support up to a 250 lbs weight capacity."
"Zimtown Shower Chair with Arms - Strong, Secure Bath  ...",$38.99,5.0/5.0,https://www.walmart.com/ip/Zimtown-Shower-Chair-with-Arms-Strong-Secure-Bathtub-Chair-Shower-Bench-with-Non-Slip-Feet-Padded-Arms/167318120,"<strong>Introductions:</strong> <br />Aging becomes a trend. For those old people who live alone, security becomes a significant issue. To greatly and effectively ensure the elder's safety, it is a must have to prepare this Ergonomic Old People Bathroom Armchair CST-3052 for them. The armchair can largely avoid slip risk in the bathroom. It is made with premium plastic, rubber and aluminum alloy, durable for long-term use. It features excellent anti-sliding performance, suitable for bathroom use especially. Thanks to its ergonomic design, it is comfortable to use, without any pain or hurt. Come and try one! <br /> <strong>Features:</strong> <br />1. Padded arms can both be independently removed as desired <br />2. TWith straightforward illustrations and descriptions, and a simple, tool-free assembly <br />3. Apply to seniors, elderly, disabled and those injured or facing limited mobility. <br />4. Heavy duty aluminum frame that can support up to 300 pounds. <br /> <p><strong>Specifications:</strong><br />1. Chair Back Dimensions: (16.54 x 7.09)&quot; / (42 x 18)cm (L x W)<br />2. Material: Plastic &amp; Rubber &amp; Aluminium Alloy</p>"
Medline Adjustable Toilet Safety Rails,$27.99,3.9/5.0,https://www.walmart.com/ip/Medline-Adjustable-Toilet-Safety-Rails/21782269,"Handles are adjustable and rotate back to allow a wide range of comfortable and secure positions. Closed cell foam armrests provide a comfortable, sure grip. Adjustable height 26 to 31&quot; (66 - 74 cm) accommodates standard or elevated toilet seats. Easy-to-clean aluminum frame mounts securely onto bowl with adjustable bracket 18 to 24&quot; (46 - 6 1cm). Height Adjustment armrest to floor: 26 - 31&quot; (66 - 74 cm); Width Adjustment between armrests: 8 - 24&quot; (46 - 61 cm); Overall Depth: arm 16.75&quot; (43 cm), at leg 12&quot; (30 cm)"
Adjustable Molded Shower Chair with Arms & Back,$43.34 - $53.91,4.6/5.0,https://www.walmart.com/ip/Adjustable-Molded-Shower-Chair-with-Arms-Back/35306400,"Do not worry anymore about falling in the shower when you use the Essential Medical Supply Shower Bench. This new product features padded removable arms for both comfort and safety. This adjustable shower bench also features a large, texturized seat and an aluminum anodized frame to prevent rust and frame turning color. Its non-slip tips and drain holes provide additional safety. Seat Dimensions: 13&quot; x 16&quot; Height Adjustment: 16&quot; - 20&quot; Weight Capacity: 300lbs."
Drive Medical Stand Alone Toilet Safety Rail,$33.99,4.5/5.0,https://www.walmart.com/ip/Drive-Medical-Stand-Alone-Toilet-Safety-Rail/16515130,"If you suffer from poor balance, arthritis, limited mobility, or injury issues, you know how difficult many everyday activities can be. Don't let something as simple as using the bathroom be one of them! Using the Toilet Safety Rail offers secure assistance when sitting on, or standing up from, the toilet. This free-standing unit is assembled easily without tools to surround your existing toilet, whether standard or elongated. The padded handles are easy to grip and comfortable to rest your arms on. It even has a handy magazine rack attached to keep your reading materials in reach!"
"Healthline Heavy Duty Bariatric Commode, Portable Me  ...",$68.06,0.0/5.0,https://www.walmart.com/ip/Healthline-Heavy-Duty-Bariatric-Commode-Portable-Medical-Bedside-Commode-Toilet-Safety-Seat-Arms-3-1-Folding-Shower-Commode-Chair-Elderly-Extra-Wide/738648490,"This Heavy Duty Bariatric Bedside Commode by Healthline Trading is easy to assemble and maintain. It provides a simple solution to a complicated safety-related problem for those who have undergone a bariatric procedure and are recovering. Constructed with gray powder coated sturdy steel tubing, it can act as the perfect safety frame for a bariatric patient on a day to day basis. The commode makes sitting down and standing up simple and swift. This commode seat is equipped with plastic armrests that make grabbing comfortable and safe, keeping you stable when standing up. Possesses up to 400 lbs weight capacity. The commode allows you to sit comfortably, and features a removable padded back and height-adjustable legs. The commode can be folded, making travel much easier. No tools are necessary for assembly, making the unit fuss-free. This bariatric commode comes with a durable plastic snap-on seat which is easy to clean and take care of. The sturdy plastic seat can be easily removed and cleaned thanks to the cover, carry handle and splash guard. The commode bucket is easily removed from behind when necessary."
Full Leg Cast Protector SEAL-TIGHT® Polyvinyl 32 Inc  ...,$9.48,4.8/5.0,https://www.walmart.com/ip/Full-Leg-Cast-Protector-SEAL-TIGHT-Polyvinyl-32-Inch/15249936,"Easily keep your injury covered using the Seal-Tight Adult Leg Freedom Cast Bandage Protector. It's can be used for therapeutic care, in the shower or while bathing. This home health care product provides a waterproof seal over a cast or bandage. You can reuse it once you have finished with it or you can throw it away. It's easy to apply and is made from durable materials. This item is a must-have for someone that has been recently injured."
Ktaxon Shower Chair Plastic Tub Transfer Bench with   ...,$44.68,5.0/5.0,https://www.walmart.com/ip/Ktaxon-Shower-Chair-Plastic-Tub-Transfer-Bench-with-Adjustable-Backrest-Gray/685757149,"<p><strong>Introductions:</strong><br />Have you been searching for a high quality elderly bath chair for your family? Then this 3 Blow Molding Plates Aluminium Alloy Elderly Bath Chair is an excellent choice! This versatile transfer bath bench is ideal for adults who need extra support getting in and out of the bathtub or shower. The bath chair is reversible with height-adjustable legs to fit most bathtubs, and features tool-free assembly for the back, legs, and arms. The transfer bench is constructed of durable, blown plastic that is designed to withstand daily use, so you can rest assured to buy it! Why not get one?<br /></p> <p><strong><br /></strong></p> <p><strong>Features:</strong></p> <ul class="" list-paddingleft-2"">  <li><p>The Bathtub Transfer Bench is designed to assist individuals while entering and exiting the bath for renewed independence</p></li>  <li><p>Blow-molded plastic bath bench and backrest ensure maximum stability and are reversible to accommodate any bathroom</p></li>  <li><p>Feature anti-skidding and anti-rust design</p></li>  <li><p>Tool-free transfer bench assembly of back, legs, and arm, including pinch-free lever for extra installation safety</p></li>  <li><p>Compact size, suitable for shower, bathtub or toilet use</p></li>  <li><p>Thickening of the rubber foot mat, safe, anti-skidding and wear-resisting</p></li> </ul> <p><br /></p> <p></p> <p></p> <p><strong>Specifications:</strong></p> <ul class="" list-paddingleft-2"">  <li><p>1 x Chair</p></li>  <li><p>Material: Aluminum Alloy &amp; Leather</p></li>  <li><p>Color: Gray</p></li>  <li><p>Dimensions: (28.7 x 8.27 x 17)&quot; / (73 x 21 x 43)cm (L x W x H)</p></li>  <li><p>Weight: 9.92 lbs / 4.5 kg</p></li>  <li><p>Aluminum Tube Thickness: 1.25mm</p></li>  <li><p>Weight Capacity: 330 lbs / 150kg</p></li>  <li><p>Adjustable Height: 10 Gears</p><p><br /></p><p></p></li> </ul> <p><strong>Package Includes:</strong></p> <p>&nbsp; &nbsp;&nbsp; 1 x Chair</p>"
Drive Medical Bariatric Heavy Duty Bath & Shower Cha  ...,$46.06 - $57.99,4.5/5.0,https://www.walmart.com/ip/Drive-Medical-Bariatric-Heavy-Duty-Bath-Shower-Chair-with-Backrest/17284712,"With a 500-pound weight capacity, this bariatric bath bench from Drive Medical is strong and sturdy. A cross brace attached with aircraft style rivets provides dependable strength. The blow molding on the back and seat are contoured to provide extra comfort. Drainage holes in the seat reduce slipping, while adjustable height legs ensure a proper fit. The aluminum frame is lightweight, durable and corrosion proof."
