As Seen on TV MSA 30x,$19.88,3.2/5.0,https://www.walmart.com/ip/As-Seen-on-TV-MSA-30x/40774903,"Sound Amplifier 1 amplifier As seen on TV. Includes: 1 MSA 30X device, 6 silicone ear buds, 1 charging cradle, 1 adapter and 1 cleaning brush. Rapid charger included. Rechargeable. No batteries required. Improves amplification up to 30x. Includes 6 different sized silicone ear buds to fit any ear and seal out the noise. Rechargeable. No batteries required. Recharge using an outlet. 6 different sized silicone ear buds to fit any ear and seal out the noise. Rapid charger charges in half the time! The MSA 30X Sound Amplifier is not a substitute for a hearing aid or intended for use by hearing impaired people. The FDA advises anyone who suspects hearing loss to seek evaluation by a health care professional. For right. For left. Microprocessor technology. Comfortable. Ultra small. Lightweight. For him. For her. Any use of the graphics or photography will be considered an infringement and GTV will prosecute. UL listed. CE listed. RoHS compliant. FDA listed. C/UL/US listed adapter. GS adapter. www.msa30.com. Assembled in China. 1 amplifier Deerfield Beach, FL 33442 GTV 2011"
Walker's Game Ear ULTRA EAR BTE&ITC GWP-UE2002 Ear M  ...,$28.93,3.2/5.0,https://www.walmart.com/ip/Walker-s-Game-Ear-ULTRA-EAR-BTE-ITC-GWP-UE2002-Ear-Muff/14657438,"Amplify your hearing so you can listen carefully for your prey's footfall or reduce it to avoid damage to your ears from muzzle blasts when you put in Walker's Game Ear Ultra Ear ITC Sound Amplifier. This pair of ear buds also comes with 3 different sets of eartips of various sizes so they'll fit you like a glove. These in ear buds are lightweight and can be used in either ear. Adjust the tone and volume to improve your hearing or deafen the sound of a shot, thanks to the mild compression circuit."
Digital Hearing Amplifier - Personal Hearing Enhance  ...,$21.99,4.0/5.0,https://www.walmart.com/ip/Digital-Hearing-Amplifier-Personal-Hearing-Enhancement-Sound-Amplifier-Rechargeable-BTE-Digital-Hearing-Amplifier-Behind-Ear-All-Day-Battery-Life-Mod/552595338,"<p> <b>Have You Been Searching For A Rechargeable High Quality Behind The Ear Digital Personal Hearing Amplifier? </b> <br /><br /> NewEar would like to share this amazing news with you. The <b>MEDca</b> rechargeable hearing amplifier is the most popular behind the ear sound amplification device for speech frequencies of the human voice with its complete background noise reduction and cancellation technology. Intelligently designed, the <b>MEDca</b> BTE digital hearing amplifier is compact, lightweight, discreet and durable in design making this the the ideal hearing solution for you to instantly experience higher quality sound the way it is intended. <br /><br /> With so many digital advancements today - you will want the latest technology when it comes to your hearing for the most crystal clear sounds. Our digital hearing amplifiers are practically invisible and very light weight for a remarkable industry leading standards. </p>  <p><b>The Perfect Easy Charge &amp; Go Battery Designer to Last Al</b></p>"
RMS Handi-Grip Grabber Tool / Reacher / Reaching Aid  ...,$17.99,0.0/5.0,https://www.walmart.com/ip/RMS-Handi-Grip-Grabber-Tool-Reacher-Reaching-Aid-Pick-Up-Tool-w-4-Color-Choices-26-32-or-19-in-Length/618770618,"The RMS Handi-Grip Grabber Tool can assist anyone who uses it with reaching. This device was crafted to provide an extended reach for those with limited mobility. This pickup grabber reacher tool can help people to regain their independence by allowing them to get the items they need by themselves. It's available in 32&quot;, 26&quot; and 19&quot; lengths in four color choices. This reacher grabber tool has an anodized frame and is lightweight but durable enough to last a long time. There is a soft, rubberized jaw that can grab most objects that is coated with premium rubber for maximum grip and strength. This tool rotates at a full 90 degrees, allowing it to be used both vertically and horizontally. Make life easier for those with limited mobility by giving them this RMS handi-grip grabber tool.  <br />"
Apex Twice A Day Pill Organizer,$4.99,3.7/5.0,https://www.walmart.com/ip/Apex-Twice-A-Day-Pill-Organizer/14089469,"Keep your medication in order with the Apex Weekly Pill Organizer. Simply take a few extra minutes to set the organizer for effortless doses throughout the week. The Apex pill organizer features tabbed compartments that open easily and securely snap shut to ensure your medicine stays put. The AM and PM slots are differently colored for easy distinction, allowing you to safely take the appropriate drug. The twice a day pill organizer is easy to maintain as well. Once the week is over, simply rinse the container under warm water and air dry. The Apex Weekly Pill Organizer is ideal for those who are taking numerous medications and want to prevent missed or extra dosages."
Handheld Illuminated Pocket Magnifying Glass Reading  ...,$9.21,4.0/5.0,https://www.walmart.com/ip/Handheld-Illuminated-Pocket-Magnifying-Glass-Reading-Magnifier-12x-Magnification/176039612,"<p>Illuminate various situations with the Handheld Illuminated Pocket Magnifying Glass Reading Magnifier with 12X Magnification. Candle-lit restaurants can be romantic, but they're notoriously difficult when it comes to reading items on the menu. When you add a playbill or libretto to follow dinner, you may find yourself in a difficult situation if you don't have a little bit of help. If you're having trouble reading fine print, this pocket magnifier offers a convenient solution. This handy item can help you maneuver your way through a sea of small print and inadequate lighting. This handheld reading magnifier has 12X magnification to help ensure that very small text will be easy to see, even in dimly-lit restaurants and theaters.</p>"
RMS Long Reach Comfort Wipe Toilet Tissue Aid Bottom  ...,$9.97,3.8/5.0,https://www.walmart.com/ip/RMS-Long-Reach-Comfort-Wipe-Toilet-Tissue-Aid-Bottom-Buddy-Tool/335306597,"The RMS Long Reach Comfort Wipe Bottom Buddy Tool allows you to maintain your independence and bathroom privacy for longer. This helpful tool overcomes the drawbacks of existing devices and ensures personal hygiene for those who find reaching difficult. RMS's long-reach comfort wipe toilet aid is made with an ergonomic shape to aid those with limited dexterity, such as seniors or people dealing with back or neck issues. The rounded, soft and smooth design has a simple, uncomplicated mechanism which grips the toilet tissue firmly. A single button press allows you to release the tissue cleanly, thus abolishing the need to touch the tissue after wiping. The RMS Long Reach Comfort Wipe Bottom Buddy Tool works equally well with toilet tissue or wet wipes."
As Seen On Tv Sock Slider - The Fastest Easiest Way   ...,$14.19,3.7/5.0,https://www.walmart.com/ip/As-Seen-On-Tv-Sock-Slider-The-Fastest-Easiest-Way-To-Put-Socks-On/770044010,"Puts your socks on for you so you don't have to bend far over Unique cradle design expands and holds your sock open Keeps your sock in the perfect position so all you have to do is slide your foot in Makes taking your socks off easy Helps put on your shoes, too"
Weekly Pill Box AM PM Organizer Case Medicine Storag  ...,$5.67,4.3/5.0,https://www.walmart.com/ip/Weekly-Pill-Box-AM-PM-Organizer-Case-Medicine-Storage-Vitamin-Tablet-Holder-New/146275065,"The Weekly Pill Box Organizer AM PM Medicine Storage Case boasts a convenient see-through design that lets you see each compartment without the need for opening. Each compartment snaps shut and pops open with ease. These home health care products will help organize your medication for up to seven days according to what you need to take in the morning and at night. AM and PM compartments are color coded so they do not get mixed up, with blue for morning and purple for the night. It is good for daily use, or you can utilize it while working or traveling to keep everything needed neatly organized. This 7-day weekly pill box organizer can be used to keep track of medicines and vitamins that you take on a daily or weekly basis. This means no important doses will be missed."
Pack of 3 Terry Adult Bibs with Velcro Closure (Blue  ...,$7.99,0.0/5.0,https://www.walmart.com/ip/Pack-of-3-Terry-Adult-Bibs-with-Velcro-Closure-Blue/171602998,"Protect your clothing from spills and stains with these Pack of 3 Terry Adult Bibs with Velcro Closure, Blue. They are made of a super-soft and absorbent cotton with polyester blend and machine washable for easy care. The set of three blue bibs have an extra-long length to provide additional coverage and an all-around white bind to enhance the structural strength. They also feature a Velcro closure for a secure comfortable fit. They are available in a convenient 3-count package. You can use them for your home, on-the-go and travel.  <br />"
