Jobar Universal Walker Tray  20-3/4'' x 15-3/4'' x 1  ...,$12.40,4.0/5.0,https://www.walmart.com/ip/Jobar-Universal-Walker-Tray-20-3-4-x-15-3-4-x-1/110586163,"This versatile Walker Tray helps make carrying meals, reading materials or other household items simple and convenient. It's a smart way to give yourself or a loved one a little more independence. The walker attachment can be easily affixed to any standard walker to turn it into a TV or transport tray. The spacious tray measures 20.75&quot; x 15.75&quot; x 1&quot; and contains two recessed cup holders that safely secure beverages. The tray's raised edges are designed to prevent spills during transport. After transport, the tray can remain affixed to the walker for use as a TV table, reading table or even a small workspace."
Stander Walker Replacement Wheels- Set of 2,$15.99,4.7/5.0,https://www.walmart.com/ip/Stander-Walker-Replacement-Wheels-Set-of-2/44374594,These Stander Walker Replacement Wheels are made to roll smoothly over surfaces. They are constructed from a tough urethane material for enhanced durability. These 6&quot; walker wheels are compatible with both the Stander Fold N' Go Walker and the Able Life Space Saver Walker 2.0. They are designed with bearings to provide smooth and even rotation. The center holes provide for a safe and secure installation.
Drive Medical Walker Wheels with Two Sets of Rear Gl  ...,$19.00,4.5/5.0,https://www.walmart.com/ip/Drive-Medical-Walker-Wheels-with-Two-Sets-of-Rear-Glides-for-Use-with-Universal-Walker-5-Gray-1-Pair/14934347,"The Drive Medical Universal Walker Wheels with Rear Glides comes with 5&quot; caster wheels and two sets of rear glides. The rubber wheels allow most walkers to roll easily and smoothly over irregular surfaces, and the rear glide caps with covers allow for use on all surface."
Medline Walker Basket Accessory,$19.25,4.0/5.0,https://www.walmart.com/ip/Medline-Walker-Basket-Accessory/7983662,"The Medline walker basket accessory makes it easier to carry important items with you. It offers plenty of storage space and can hold up to three pounds. This basket for mobility walker attaches easily to any style walker. It is made with plastic-coated wire and is convenient to use. You can put your groceries in it while you shop instead of struggling with a cart. This basket can also hold your purse or bag, making the contents more accessible. Put your belongings in this basket to take strain off your shoulders and back. Because it detaches easily, you can take it with you anywhere. Add this to your collection of walker accessories."
Costway Portable Aluminum Non-skid 8' Multifold Whee  ...,$229.99,0.0/5.0,https://www.walmart.com/ip/Costway-Portable-Aluminum-Non-skid-8-Multifold-Wheelchair-Ramp-Mobility-Scooter-Carrier/558582527,"This Costway Portable Aluminum Non-skid Multi-fold Wheelchair Ramp is designed for safe traversing of steps, curbs and raised surfaces. It's ideal for loading onto porches, landings or into mini vans, as well as the back of pickup trucks. A 2.5'' angled lip with holes secures the ramp in place and a high-traction surface ensures optimal grip in all weather conditions. This mobile wheelchair ramp folds for storage and it includes a built-in, comfortable carrying handle for portability. It features durable welded-aluminum construction with a maximum 600 lb capacity."
Walker/Wheelchair/Scooter Bag,$12.47,4.8/5.0,https://www.walmart.com/ip/Walker-Wheelchair-Scooter-Bag/33789757,"The Wheelchair and Walker Bag makes it easier for you to carry your important items wherever you go. It's easy to set up, just clip it onto the frame, and you're ready to travel. This wheelchair bag is available in select colors. It's made from 100 percent cotton, making it soft and strong for lasting use. This bag is machine washable for easy care and cleaning. There are different compartments and pockets so you can use it for organizing your personal items. An accordion bottom section expands to up to 3&quot; wide. The straps of this bag can also be used for hand carrying."
"Carex Walker Auto Glides, 2 Ct",$7.98,4.3/5.0,https://www.walmart.com/ip/Carex-Walker-Auto-Glides-2-Ct/28933659,Our Auto Walker Glides provide the convenience of a glide with the added safety of an auto brake. Simply push down on the walker to activate the brake. For use on the back of a wheeled walker. Fits most walkers. Fits most walkers Easy to use brake for added safety. Product Dimensions: 1.8 x 1.8 x 3 inches ; 3.2 ounces
Costway Portable Aluminum Non-skid 5' L Wheelchair R  ...,$145.99,0.0/5.0,https://www.walmart.com/ip/Costway-Portable-Aluminum-Non-skid-5-L-Wheelchair-Ramp-Mobility-Scooter-Carrier/415827713,"Expand your range with this Costway Portable Aluminum Non-skid 5'L Wheelchair Ramp. It is designed for safe traversing of steps, curbs and raised surfaces. It is ideal for loading onto porches, landings or into minivans as well as the back of pickup trucks. A high traction surface ensures optimal grip through different weather conditions. This mobile wheelchair ramp folds compactly for storage and it includes a built-in comfortable carrying handle for portability. It features durable welded aluminum construction with a maximum 600 lb capacity."
Guardian Walker Glide Caps - G07904,$6.80,5.0/5.0,https://www.walmart.com/ip/Guardian-Walker-Glide-Caps-G07904/42066562,Allows walkers to easily and quietly glide across most non-abrasive surfaces. Fits tips with 1.5&quot; O.D.
"RMS Precut Walker balls, Walker Glides or Walker Gli  ...",$10.99,0.0/5.0,https://www.walmart.com/ip/RMS-Precut-Walker-balls-Walker-Glides-or-Walker-Glide-balls-Walker-Skis-6-Color-Choices-2-Pair-or-Pack-of-4/577964377,"<p>Royal Medical Solutions presents RMS Precut Walker Balls that are carefully designed by healthcare professionals. It comes with 2-Pair or a pack of 4 balls with 6 color choices: Blue, Grey, Purple, Pink, Red or Patriotic. Mix and Match your favorite colors. The walker balls or walker glides are precut and ready to use. Just slip them on and are ready to go. These walker balls glide gently and smoothly across floors &amp; carpets. They are ideal for protecting your floors from scuffs, marks or scratches and are intended for in-door use. 100% Satisfaction Guaranteed! </p>"
HOMCOM 2’ Portable Textured Aluminum Folding Wheelch  ...,$59.99,4.7/5.0,https://www.walmart.com/ip/HOMCOM-2-Portable-Textured-Aluminum-Folding-Wheelchair-Threshold-Ramp/158605087,"Let HomCom help create complete, easy mobility with our portable aluminum wheelchair ramp. Built from a sturdy, anti-corrosive aluminum alloy, this ramp uses a ribbed surface to prevent sliding in any weather and has two high side walls to help prevent accidental falls. This ramp is very lightweight and can be stored in a vehicle or at home for everyday convenient use. Transportation of this ramp is as simple as folding it in half, lifting with the carrying handle, and youre ready to go. Max weight is 600 lbs making this ramp perfect for almost everyone. Not only for use with wheelchairs, this ramp provides ease of access for scooters, bikes, motorcycles, and any other unwieldy wheeled object. <br /> <br /> <b>Features:</b> <br />- Sturdy, anti-corrosive aluminum alloy construction <br /> - Suitable for wheelchairs, scooters, motorcycles, and bicycles <br /> - Skid proof ribbed surface to prevent sliding in any weather <br /> - Comes with two high sides to prevent accidental falls <br /> - Folds up, when not in use, for carrying, transportation, and easy storage <br />  <br /> <br /> <br /> <b>Specifications:</b> <br />- Color: Silver <br /> - Material: Aluminum <br /> - Weight Capacity: 600 lbs <br /> - Unfolded Size: 24&quot; L x 29&quot; W x 1.5&quot; H <br /> - Folded Size: 24&quot; L x 15&quot; W x 3&quot; H <br /> - Net Weight: 11 lbs <br />  <br /> <br /> <br />"
"Drive Medical Universal Walker Wheels, 1 Pair",$10.89 - $11.25,4.8/5.0,https://www.walmart.com/ip/Drive-Medical-Universal-Walker-Wheels-1-Pair/17284816,"The Drive Medical Universal Walker Wheels with Rear Glides comes with 5&quot; caster wheels and two sets of rear glides. The rubber wheels allow most walkers to roll easily and smoothly over irregular surfaces, and the rear glide caps with covers allow for use on all surface."
Drive Medical Single Fold Portable Wheelchair Scoote  ...,$80.43 - $202.59,4.9/5.0,https://www.walmart.com/ip/Drive-Medical-Single-Fold-Portable-Wheelchair-Scooter-Ramp-with-Carry-Handle-and-Travel-Bag/15423338,"The Wheelchair and Scooter Ramp by Drive Medical is designed for transitioning a wheelchair or scooter from one surface height to another. The durable, folding, lightweight construction allows for the ramp to be easily transported in its carry bag. This ramp was especially designed with perforated slots to keep water from collecting on the ramp and ensuring users safety while in use. This 3' long ramp allows for up to a 6&quot; rise in surface height. The ramp has a total weight capacity of 600 lbs."
"Titan 12"" x 32"" Aluminum Threshold Wheelchair Walker  ...",$38.95,0.0/5.0,https://www.walmart.com/ip/Titan-12-x-32-Aluminum-Threshold-Wheelchair-Walker-Casters-Entry-Plate-Ramp/129921163,"This Titan 12&quot; x 32&quot; Threshold Aluminum Wheelchair Ramp features a lightweight and portable design. It's ideal to use for doorways, sliding glass doors, raised landings and other areas. This 12&quot; x 32&quot; wide aluminum ramp makes improved mobility easy. Made from non-rust, slip-proof and water-resistant aluminum, it's well suited for use in any area, both indoors and outdoors. In addition, this entry plate ramp can potentially be used to aid in the transport of furniture and other items with wheels or casters, eliminating the necessity for heavy lifting over thresholds, raised landings and doorways. It has a load capacity of 600 lbs for two axles and 300 lbs for a single axle. This item helps to make entry and exit safe and simple for wheelchairs, walkers and people with canes. The anti-slip surface provides traction to enhance the grip of the wheels."
"Equate Walker Tennis Balls, 2 Ct",$13.19,4.7/5.0,https://www.walmart.com/ip/Equate-Walker-Tennis-Balls-2-Ct/14179100,"<p>Equate Walker Tennis Balls can help you move smoothly throughout your day. Walkers are easier to use when the back legs can glide over surfaces without sticking and getting hung up on obstructions. Equate Walker Tennis Balls are made to fit right on the walker to help it glide along the surface with ease and prevent scratches or scrapes to your floors. They are pre-cut so that you can insert them on the walker legs right out of the pack. Whether you are moving forward, backward or navigating around corners, these Equate Walker Tennis Balls will help you along the way.</p> <p>Making the right health decisions can be challenging. With a complete range of products and simple solutions, Equate allows you to take care of your family with confidence.</p> <br />"
Costway Portable Aluminum Non-skid 7' Multifold Whee  ...,$199.99,0.0/5.0,https://www.walmart.com/ip/Costway-Portable-Aluminum-Non-skid-7-Multifold-Wheelchair-Ramp-Mobility-Scooter-Carrier/231541728,"The Costway Portable Aluminum Non-Skid 7' Multi-Fold Wheelchair Ramp is ideal for loading onto porches, curbs, landings, steps or into mini vans and pickup trucks. It has a folding design and an integrated carrying handle for easy storage and portability. This 7' wheelchair ramp features a welded aluminum construction and has a maximum weight capacity of 600 lbs. The surface is designed to provide enhanced grip in all weather conditions and it includes holes on the angled lip for securing the ramp in place."
"PCP Wire Basket For Dual Release Walker, White,",$18.99,0.0/5.0,https://www.walmart.com/ip/PCP-Wire-Basket-For-Dual-Release-Walker-White/529094087,"PCP 5166, Home Medical Equipment: The PCP 5166 walker basket is great for carrying a purse or groceries and comes with a plastic tray to help carry drinks. It provides the most carrying space of any walker attachment. Helps in the treatment of: recovery, post-injury, limited mobility issues, and daily living aids"
"RMS Precut Walker balls, Walker Glides or Walker Gli  ...",$6.99,1.0/5.0,https://www.walmart.com/ip/RMS-Precut-Walker-balls-Walker-Glides-or-Walker-Glide-balls-Walker-Skis-Pack-of-2-6-Color-Choices/833252788,"<p>Protect your floors from scuffs, marks or scratches with these RMS Walker Glide Balls. Carefully designed by healthcare professionals, they're ready to use right out of the package. Just slip them on and get going. These pre-cut walker balls glide gently and smoothly across floors and carpets. They look like smaller versions of tennis balls, the old-fashioned solution to walker gliding, but are designed expressly for this purpose. Easy to put on, these balls are also easy to remove whenever you step outside. They're compact enough to fit in your pocket or purse so you can keep them handy. These balls are available in different colors, so you can find one that matches your personal sense of style. You can even mix and match two varieties together. They're soft to the touch and comfortable to handle.</p>"
