"ReliOn Nitrile Examination Gloves, 100 Ct",$9.24,4.4/5.0,https://www.walmart.com/ip/ReliOn-Nitrile-Examination-Gloves-100-Ct/14284765,"ReliOn Non Latex One Size Fits All Gloves Single Use Disposable Nitrile Examination Gloves for Diabetes are hygienic, one-size-fits-all single use medical grade gloves. ReliOn Nitrile Gloves fit either hand perfectly and are textured non latex material to enable better grip, making checking your blood sugar levels or injecting insulin safer and easier than ever. ReliOn Non Latex One Size Fits All Gloves Single Use Disposable Nitrile Examination Gloves for Diabetes are also hygienically powder-free, providing protection while introducing minimal residue or foreign matter to your work so you dont have to worry about infections. The non latex material is perfect for anyone with latex allergies, making these the true glove for every situation. These are medical quality gloves, meaning that they are perfect for dealing with diabetes, keeping you clean and safe from infection. With 100 disposable gloves per box, you dont have to worry about running out any time soon. The extra durable non latex material protects you from punctures and cuts better than most gloves."
"Equate Vinyl Examination Gloves, 100 Ct",$7.98,0.0/5.0,https://www.walmart.com/ip/Equate-Vinyl-Examination-Gloves-100-Ct/709075118,"<p>Protect your hands from dirt with these vinyl examination gloves from Equate. These powder-free and latex-free gloves fit either hand. They provide basic protection from dirt and are great for first aid, healthcare, diabetic care, baby care or pet care. Single use gloves for small or medium hands.</p>"
"Equate Gauze Pads, 3""x3"", 25 Ct",$3.54,5.0/5.0,https://www.walmart.com/ip/Equate-Gauze-Pads-3-x3-25-Ct/344776932,"Equate Gauze Pads are soft and absorbent pads that can be used for protecting and securing your wounds. They are designed to help clean, cover and apply medications to minor cuts, scrapes and burns. The 12 soft cushioning layers are made of rayon/polyester fabric, and can absorb fluids while shielding the wound from external impurities. They are sterile and are not made with natural rubber latex, ensuring that they are safe for usage by people allergic to latex. Equate Gauze Pads offer comfort and protection for wounds in a simple, easy-to-use way that enables you to perform your daily activities without worries. With a wide range of health and beauty products, Equate provides their customers with a healthy and effective way to improve the quality of their daily lives. At Equate, we believe that taking care of your family doesn&amp; 8217;t have to come at a high price. Every product we make is the result of innovation, rigorous standards and high quality ingredients, and that has helped us become one of the most trusted brands across the country. Directions Hold gauze pad on the wound to stop bleeding. Use gauze pad to gently clean the wound with warm water and mild soap. If needed, use a new pad to apply medication and position it over the wound. Use tape or rolled gauze to hold pad in place securely."
"Equate Vinyl Examination Gloves, One Size, 50 Ct",$5.84,0.0/5.0,https://www.walmart.com/ip/Equate-Vinyl-Examination-Gloves-One-Size-50-Ct/265514745,"<p>Equate Vinyl Examination Gloves are an all-purpose, highly durable set of gloves that have provides you with excellent grip and finger movement. Their elasticity ensure that they can comfortably fit over almost any hand. These high quality gloves are durable and will last for a long time. They are powder-free, single use only and are made from vinyl, ensuring no allergic reaction to people sensitive to latex.</p>  <p>While these gloves are primarily meant for clinical procedures and first aid, you can use them for any activity that requires protection for your hand, like baby care, pet care or wall-painting. Equate Vinyl Examination Gloves is designed for quick donning and removal, and is an essential part of your medicine cabinet.</p>  <p>With a wide range of health and beauty products, Equate provides their customers with a healthy and effective way to improve the quality of their daily lives. At Equate, we believe that taking care of your family doesnt have to come at a high price. Every product we make is the result of innovation, rigorous standards and high quality ingredients, and that has helped us become one of the most trusted brands across the country.</p>  <br />"
"Equate Earloop Disposable Facemasks, 20 count",$2.97,5.0/5.0,https://www.walmart.com/ip/Equate-Earloop-Disposable-Facemasks-20-count/745929347,"Equate Earloop Disposable Mask is made of a 3-ply construction to help filter up to 99% of bacteria exhaled by the wearer. The lightweight mask is designed to provide comfort and easy breathing. <br /> For general purpose infection control <br /> Helps prevent the spread of airborne illness <br /> Ideal for home healthcare use <br /> Easy to put on, no strings to tie <br /> <br />Stay healthy during cold and flu season with Equate Earloop Disposable Facemasks. Each mask is made in a 3-ply construction, which can filter up to 99% of the bacteria exhaled by the wearer and prevent the spread of airborne illness. Each box contains twenty earloop masks that are lightweight and comfortable for easy breathing while you wear it. These masks are easy to put on and have no strings to tie. Simply place the mask over your nose and mouth, place an earloop around each ear, pull the mask over your chin, and mold the mask to fit snugly around your nose and chin. They are ideal for use at home, school, or in healthcare settings. You can trust Equate Earloop Disposable Facemasks to keep airborne illness and bacteria at bay."
Veridian Healthcare Teaching/Training Aluminum Dual-  ...,$15.00,5.0/5.0,https://www.walmart.com/ip/Veridian-Healthcare-Teaching-Training-Aluminum-Dual-Head-Stethoscope/16562864,The Veridian Stethoscope has a lightweight dual-head design that makes it easier to teach others. It is comprised of an aluminum rotating chestpiece with a non-chill diaphragm retaining and bell ring. This healthcare teaching stethoscope has soft ear tips for maximum comfort.
Mabis Signature Series Stainless Steel Dual Head Ste  ...,$27.10,5.0/5.0,https://www.walmart.com/ip/Mabis-Signature-Series-Stainless-Steel-Dual-Head-Stethoscope-Adult-Black/22589235,This Mabis Signature Series Adult Stethoscope has a deluxe chest piece and a dual innerspring binaural made of the same durable material. There's a color-coordinated non-chill ring and a diaphragm retaining ring. This Mabis stethoscope is made of stainless steel and comes with two extra sets of ear tips.
"Medline, MIIMDS92260, Accucare Stethoscope, 1 Each,   ...",$32.77 - $49.99,0.0/5.0,https://www.walmart.com/ip/Medline-MIIMDS92260-Accucare-Stethoscope-1-Each-Black/22241826,"Stay on top of your health and your loved ones' health with this Medline Stainless Steel Stethoscope. It is handcrafted from high tensile strength German stainless steel and features durable 22&quot; tubing. This adult stethoscope has non-chill rings that are color coordinated to keep the patient comfortable. It comes in a box that is lined with foam and contains an extra set of ear tips. This Stainless Steel Stethoscope comes in several assorted colors. It is ideal for use at home, doctor's offices, nurse's offices, assisted living facilities and more."
Sitz Bath Carex® Round Dusty Rose Polypropylene,$13.01,4.5/5.0,https://www.walmart.com/ip/Sitz-Bath-Carex-Round-Dusty-Rose-Polypropylene/27931344,Get the relief that you need with the Carex Sitz Bath. It's designed to provide hygiene for patients recovering from episiotomies and other conditions in the genital and anal areas. This toilet sitz bath features a simple on and off flow control clip for your convenience. It's also easy to clean and designed for long life. This hemorrhoid sitz bath comes with a bag of solution and a tube. The product is not designed for use in an autoclave.
Dixie Ems Blood Pressure and Sprague Stethoscope Kit  ...,$19.99,0.0/5.0,https://www.walmart.com/ip/Dixie-Ems-Blood-Pressure-and-Sprague-Stethoscope-Kit-BLACK/49252426,
