"Drive Medical Scout Compact Travel Power Scooter, 4   ...",$699.00 - $799.00,4.3/5.0,https://www.walmart.com/ip/Drive-Medical-Scout-Compact-Travel-Power-Scooter-4-Wheel/33651307,"The Scout transportable scooter combines easy and convenient mobility with superior value The Scout is compact, lightweight and easy to disassembleperfect for taking wherever you want to go, either around the neighborhood or far from home It can be disassembled quickly and easily into five easytohandle pieces for loading into a car, truck, or van and taking shopping or on vacation The fourwheel version of the Scout allows for enhanced stability on rougher outdoor terrain The Scout also offers great features like a quick connect battery pack and a deltastyle tiller to make operating the scooter easier for those with limited strength or dexterity This model comes with colorthrough panels to hide scuffs and scratches and black wheel rims",Walmart #  552590527
"Drive Medical Scout Compact Travel Power Scooter, 3   ...",$679.00 - $779.00,4.7/5.0,https://www.walmart.com/ip/Drive-Medical-Scout-Compact-Travel-Power-Scooter-3-Wheel/33651302,"The Scout transportable scooter combines easy and convenient mobility with superior value The Scout is compact, lightweight and easy to disassembleperfect for taking wherever you want to go, either around the neighborhood or far from home It can be disassembled quickly and easily into five easytohandle pieces for loading into a car, truck, or van and taking shopping or on vacation The threewheel version of the Scout allows for nimbly negotiating indoor obstacles The Scout also offers great features like a quick connect battery pack and a deltastyle tiller to make operating the scooter easier for those with limited strength or dexterity This model comes with colorthrough panels to hide scuffs and scratches and black wheel rims",Walmart #  552590520
Drive Medical Bobcat X3 Compact Transportable Power   ...,$579.00,3.9/5.0,https://www.walmart.com/ip/Drive-Medical-Bobcat-X3-Compact-Transportable-Power-Mobility-Scooter-3-Wheel-Red/38445318,"Drives latest lightweight transportable scooter is a heavyweight when it comes to comfort, performance, and value The new Bobcat X is the perfect entrylevel scooter providing mobility that is comfortable, reliable, and affordable The ultralightweight Bobcat X also boasts a wealth of features that take it a step beyond basic transportation",Walmart #  553237691
Roscoe Medical Knee Walker Scooter with Basket and P  ...,$118.19 - $167.84,4.1/5.0,https://www.walmart.com/ip/Roscoe-Medical-Knee-Walker-Scooter-with-Basket-and-Padded-Seat-Black/30329307,Retain your independence while recovering with this Black Roscoe Medical Knee Walker/Scooter Roscoe knee scooters are professional quality and ideal for those who dont want to reinjure themselves Its ideal for patients who are undergoing physical therapy and are working towards getting back on their feet This walker with wheels provides comfort and ease of mobility It has a padded knee platform and adjustable hand brakes with grips for comfort and full control It also includes large 8&quot; clear PU wheels with sealed bearings This Black Roscoe Medical Knee Walker/Scooter is suitable for indoor and outdoor use It has an easy folding mechanism that collapses using a thumb release lever and it fits underneath the raised knee platform for convenient storing and transporting This walker with wheels can support of to 350 lbs It also has an offset post located on the knee platform that enables you to make righttoleft adjustment without the need for tools,Walmart #  552908514
Drive Medical Spitfire DST 4-Wheel Travel Scooter,"$1,249.02",3.8/5.0,https://www.walmart.com/ip/Drive-Medical-Spitfire-DST-4-Wheel-Travel-Scooter/652023602,"The Spitfire DST Dynamic Suspension Technology transportable scooter combines easy and convenient mobility with the most comfortable ride possible The Spitfire DST is compact, lightweight and easy to disassemble; perfect for taking wherever you want to go, either around the neighborhood or far from home It can be disassembled quickly and easily into five easytohandle pieces for loading into a car, truck, or van and taking shopping or on vacation The fourwheel Spitfire DST allows for enhanced stability on rougher outdoor terrain Equipped with Dynamic Suspension Technology on the front and rear of the scooter for the smoothest most comfortable ride possible The Spitfire DST also offers great features like a quick connect battery pack and a deltastyle tiller to make operating the scooter easier for those with limited strength or dexterity This model comes with high gloss color panels, metallic wheel rims, and a stadium style seat",Walmart #  568937144
Drive Medical Spitfire EX2 4-Wheel Travel Scooter,"$999.02 - $1,049.00",0.0/5.0,https://www.walmart.com/ip/Drive-Medical-Spitfire-EX2-4-Wheel-Travel-Scooter/398014928,"The Spitfire EX2 sets a standard for style, performance and features in transportable scooters that cant be matched The Spitfire EX2s 4wheel configuration makes it great for handling rougher outdoor terrain It features quick and easy disassembly and includes six sets of interchangeable color panels for customizing your scooter, and a swivelmount cup holder to take drinks with you on the go In addition, you can choose either 12AH batteries or 21AH batteries for improved maximum range Combine these features with stylish twotone seat upholstery, armrest reflectors for safety, a plastic front basket with a removable liner bag, wraparound delta control handles and an extra bright LED headlight and youll see that the Spitfire EX2 is truly second to none",Walmart #  569703661
"Drive Medical Phoenix Heavy Duty Power Scooter, 4 Wh  ...","$1,199.00 - $1,328.74",4.4/5.0,https://www.walmart.com/ip/Drive-Medical-Phoenix-Heavy-Duty-Power-Scooter-4-Wheel/33651321,"If youre seeking an easy, transportable mobility option thats ideal for outdoor use, but need a weight capacity greater than 300 pounds, the Drive Medical Phoenix HD 4 is perfect for you The Phoenix HD 4 has the highest weight capacity in the market for travel scooters and combines easy portability with a 350 lb weight capacity to accommodate a greater variety of users The Phoenix HD 4 is lightweight and easy to disassembleperfect for taking wherever you want to go, either around the neighborhood or far from home The scooter can be disassembled quickly and easily into four easytohandle pieces for loading into a car, truck or van to take shopping or on vacation The Phoenix HD 4 offers great features which include color change panels in red and blue and ergonomic &quot;fingerpull&quot; throttle control to make operating the scooter easier if you experience limited strength or dexterity in your hands The Phoenix HD 4 also includes a headlight for enhanced safety and solid, flatfree tires for worryfree use You can adjust the height of the Phoenix HDs comfortable stadiumstyle seat which has attractive twotone upholstery and armrests that can be adjusted in width and angle The Phoenix HD also provides top performance with its 4 mph top speed and 15 mile maximum cruising range Go ahead, experience the Drive difference",Walmart #  552590495
Drive Medical Bobcat X4 Compact Transportable Power   ...,$599.00,4.0/5.0,https://www.walmart.com/ip/Drive-Medical-Bobcat-X4-Compact-Transportable-Power-Mobility-Scooter-4-Wheel-Red/38445522,"Drives latest lightweight transportable scooter is a heavyweight when it comes to comfort, performance, and value The new Bobcat X is the perfect entrylevel scooter providing mobility that is comfortable, reliable, and affordable The ultralightweight Bobcat X also boasts a wealth of features that take it a step beyond basic transportation",Walmart #  553238534
Luggie Classic Foldable Power Mobility Scooter - Red,"$1,699.00",5.0/5.0,https://www.walmart.com/ip/Luggie-Classic-Foldable-Power-Mobility-Scooter-Red/47425479,/p,Walmart #  555114364
Drive Medical Maverick Executive Three Wheel Power S  ...,"$4,059.98",5.0/5.0,https://www.walmart.com/ip/Drive-Medical-Maverick-Executive-Three-Wheel-Power-Scooter/43224560,"The Maverick was born to be wild Experience the thrill of the open road with its distinctive appearance which echoes the classic look of a motorcycle cruiser From its unique look to classleading performance, we pulled out all the stops to create a new class of scooter design The Maverick boasts a one of a kind, motorcycle inspired design and incorporates cutting edge technological advancements to provide the most attractive, highest performance scooter available In addition, the Maverick provides maximum comfort with a smooth, stable ride and a deluxe Captains Seat",Walmart #  553648210
