Omron 3 Series Upper Arm Blood Pressure Monitor,$28.77,4.4/5.0,https://www.walmart.com/ip/Omron-3-Series-Upper-Arm-Blood-Pressure-Monitor/38335909,"Monitor your blood pressure with the Omron BP710N 3 Series Advanced-Accuracy Upper Arm Blood Pressure Monitor. Easy to use, it features a simple one-touch mode and can store up to 14 readings at a time while still giving you accurate results. This Omron 3 series blood pressure monitor includes a cuff that fits both standard and large arms. It also has an irregular heartbeat detector and an LCD display for easy reading."
Omron 10 Series Upper Arm Blood Pressure Monitor wit  ...,$64.99,4.5/5.0,https://www.walmart.com/ip/Omron-10-Series-Upper-Arm-Blood-Pressure-Monitor-with-Cuff/38335906,"Receive consistent, precise results with this Omron Bp785n 10 Series Advanced-accuracy Upper Arm Blood Pressure Monitor. It is simple to use and the large digital display with backlight reduces common user reading errors. The Omron blood pressure monitor comes with an easy-wrap cuff that fits arms 9&quot; to 17&quot; (22 cm to 42 cm). It is also designed with an irregular heartbeat detector and memory storage with advanced averaging."
Omron 10 Series Wireless Upper Arm Blood Pressure Mo  ...,$62.99,4.1/5.0,https://www.walmart.com/ip/Omron-10-Series-Wireless-Upper-Arm-Blood-Pressure-Monitor-with-Two-User-Mode-200-Reading-Memory/38335911,"The Omron 10 Series plus Bluetooth Smart home blood pressure monitor has all the features of the 10 Series monitor and more. Now you can access your readings anywhere, anytime with the Omron Wellness mobile and website apps, that way its easier for you to track your progress and take the right steps to manage your heart."
Garmin Vivosport - S/M,$169.99,4.5/5.0,https://www.walmart.com/ip/Garmin-Vivosport-S-M/371253553?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=18bcf9de15527b01730dd364f2ebbfff&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=3&wpa_plmt=__plmt__&wpa_aduid=__aduid__,"Take your activities on the go with vvosport, the smart activity tracker with wrist-based heart rate and built-in GPS for mapping out your walk, run or ride. It also includes strength training and cardio activities. Safe for swimming and showering, vvosport is the perfect accessory for every day and for your active life. Monitor your fitness level with VO2 max, and manage your stress with all-day stress monitoring. Get connected features such as smart notifications, LiveTrack and automatic uploads to the Garmin Connect online community, where you can see your personalized data on cool graphs, compete in weekly challenges and connect with other fitness enthusiasts. This slim, sporty tracker also features an always-on color Garmin Chroma Display and gets up to 7 days of battery life."
Omron 3 Series Upper Arm Blood Pressure Monitor,$28.77,4.4/5.0,https://www.walmart.com/ip/Omron-3-Series-Upper-Arm-Blood-Pressure-Monitor/38335909,"Monitor your blood pressure with the Omron BP710N 3 Series Advanced-Accuracy Upper Arm Blood Pressure Monitor. Easy to use, it features a simple one-touch mode and can store up to 14 readings at a time while still giving you accurate results. This Omron 3 series blood pressure monitor includes a cuff that fits both standard and large arms. It also has an irregular heartbeat detector and an LCD display for easy reading."
My Weigh SCMELITES One-Step Elite Digital Glass Bath  ...,$18.30,4.8/5.0,https://www.walmart.com/ip/My-Weigh-SCMELITES-One-Step-Elite-Digital-Glass-Bathroom-Scale-Silver/17435151?wpa_bd=&wpa_pg_seller_id=D9C289307341444D99FE1AB275DA80F8&wpa_ref_id=12039225e0419122017708923e09b3af&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=5&wpa_plmt=__plmt__&wpa_aduid=__aduid__,<ul>  <li>Tempered Glass Platform</li>  <li>Blue Backlit LCD</li>  <li>One-Step Auto-On</li>  <li>Supports up to 400 lbs.&nbsp;</li> </ul>
Omron 3 Series Wrist Blood Pressure Monitor (60 Read  ...,$36.88,4.5/5.0,https://www.walmart.com/ip/Omron-3-Series-Wrist-Blood-Pressure-Monitor-60-Reading-Memory/15715320,"<p>Monitor your health with the Omron 3 Series Wrist Blood Pressure Monitor. It features a discreet and convenient portable wrist unit that allows users to monitor their readings at home, work or anywhere. It also has memory storage with a date and time stamp that allows you to review the last 60 results. You can even display the average of readings taken in the last 10 minutes. Equipped with a large easy-to-read display, this dependable Omron wrist blood pressure monitor is lightweight and portable, making it easy for you to check your blood pressure on the go. Simply wrap the cuff around the wrist and press start to get your results in just seconds.</p>"
Omron 7 Series Wrist Blood Pressure Monitor,$56.99,4.3/5.0,https://www.walmart.com/ip/Omron-7-Series-Wrist-Blood-Pressure-Monitor/15702123,"<ul>  <li>Heart Guide Technology automatically activates when your wrist is at heart level, ensuring consistently accurate readings</li>  <li>Two User Mode - Allows two different users to monitor and track their readings separately in the stored memory</li>  <li>BP Level Indicator - Shows how your reading compares to internationally recognized guidelines for normal home blood pressure levels</li>  <li>New slim design is more discrete and convenient for portability, allowing users to monitor their blood pressure at home, work or anywhere</li>  <li>Irregular Heartbeat Detector - This monitor can detect and alert you to irregular heartbeats while your blood pressure is being measured</li>  <li>Advanced Averaging - Exclusive technology automatically displays the average of up to the last 3 readings taken wtihin the last 10 minutes</li>  <li>200 Memory Storage</li> </ul>"
Omron 7 Series Upper Arm Blood Pressure Monitor with  ...,$50.68,4.2/5.0,https://www.walmart.com/ip/Omron-7-Series-Upper-Arm-Blood-Pressure-Monitor-with-Two-User-Mode-120-Reading-Memory/38335910,"Make sure you are healthy and facing no ill side effects when you use this Omron 7 Series Upper Arm Blood Pressure Monitor to take your vital signs every day. It offers precision and comfort with an easy-wrap ComFit cuff that will work on most arms. The cuff is built for arms that are 9-17&quot; in circumference. The Omron blood pressure monitor with Bluetooth technology helps ensure consistent, precise readings with advanced accuracy. The 7 Series Upper Arm model offers precision and comfort, with an accurate but simple interface that includes many standard features. You get LED lights that help you identify where your measurements are, in relation to internationally-recognized guidelines for normal blood pressure. This wireless blood pressure monitor comes with an irregular heartbeat detector that will alert you if an erratic rhythm is detected during a blood pressure reading with the indicator icon."
Omron Evolv Bluetooth Wireless Upper Arm Blood Press  ...,$69.99,4.4/5.0,https://www.walmart.com/ip/Omron-Evolv-Bluetooth-Wireless-Upper-Arm-Blood-Pressure-Monitor/326384298,Omron EVOLV is the next evolution in wireless heart health management. Easily transmit your blood pressure readings wirelessly to the OMRON Connect APP using your mobile device. This compact design makes it easy to use anywhere you need to take a blood pressure reading!
QardioArm Wireless Blood Pressure Monitor - Arctic W  ...,$99.99,4.8/5.0,https://www.walmart.com/ip/QardioArm-Wireless-Blood-Pressure-Monitor-Arctic-White/44389112,"A Smarter Read on Blood Pressure: QardioArm is the smart blood pressure monitor that fits your daily life. It measures your systolic/diastolic blood pressure and heart rate. A wireless blood pressure monitor with a revolutionary design and effortless user experience, QardioArm is the smart blood pressure monitor you can always have with you. A beautiful device that turns on when you unwrap it and pairs to your phone with a tap. All you have to do is put it on, launch the app and press &quot;START&quot;. All readings are automatically recorded and uploaded to Qardio's secure cloud. From there, you can share your data with your family, friends or doctor. QardioArm's elegant and discreet design fits seamlessly into your life. Its proprietary relaxation function and multi-measurement averaging feature allow even greater accuracy. QardioArm empowers you to manage your heart health. QardioArm works with Apple iOS (iPhone 4s or later, iPad 3rd gen or later, iPad Air, iPad mini, iPod Touch 5th gen or later) and Android (please see getqardio.com/devices for a list of compatible devices). Requires Bluetooth 4.0 and iOS 7.0 or later or Android 4.4 &quot;KitKat&quot; or later. Free Qardio app, available in the Apple App Store or Google Play store."
Omron 5 Series Upper Arm Blood Pressure Monitor with  ...,$39.99,4.5/5.0,https://www.walmart.com/ip/Omron-5-Series-Upper-Arm-Blood-Pressure-Monitor-with-Cuff/38335908,"This Omron Bp742n 5 Series Advanced-accuracy Upper Arm Blood Pressure Monitor helps ensure consistent, precise readings. This model is quick and easy and has a few more features than previous model. It has dual settings for two users, memory storage space for up to 100 readings and a wide range cuff that fits standard and large arms. This accuracy blood pressure monitor is durable."
OLED Finger tip Pulse Oximeter Blood Oxygen Monitor   ...,$11.99,4.6/5.0,https://www.walmart.com/ip/OLED-Finger-tip-Pulse-Oximeter-Blood-Oxygen-Monitor-CONTEC-CMS50NA/832879811,"Rely on the advanced technology of the OLED Finger tip Pulse Oximeter Blood Oxygen Monitor CONTEC CMS50N health equipment. It measures SpO2 and pulse rate through the finger for a non-invasive yet highly-accurate reading and can also display blood oxygen saturation levels in a waveform and bar graph model for easier interpretation. This portable pulse oximeter is conveniently pocket-sized and comes with a carrying case for its protection as well as a lanyard that allows you to wear it around your neck for quick and easy access. It includes four directions and six modes, adjustable screen brightness and an automatic shut-off function for battery life preservation."
Innovo Deluxe Fingertip Pulse Oximeter with Plethysm  ...,$26.99,4.9/5.0,https://www.walmart.com/ip/Innovo-Deluxe-Fingertip-Pulse-Oximeter-with-Plethysmograph-and-Perfusion-Index/165943306,"The Innovo Deluxe Fingertip Pulse Oximeter is small, portable, non-invasive and ready to use out of the box. This device is loaded with premium features like a high resolution OLED display and multidirectional view. There is also an alarm function, a plethysmograph and perfusion index. This fingertip oximeter can measure your SpO2 blood oxygen level and pulse rate accurately. This machine is suitable for mountain climbers, skiers, bikers, aviators or anyone interested in measuring their SpO2 and pulse rate while on the move. There is adjustable brightness on the display and an option to move it so both the user and the caregivers can read the readings conveniently. Included in this package are a lanyard and two AAA batteries that can last through thousands of readings."
