MyLab Box Chlamydia + Gonorrhea At-Home Test + Mail-  ...,$79.00,0.0/5.0,https://www.walmart.com/ip/MyLab-Box-Chlamydia-Gonorrhea-At-Home-Test-Mail-in-Kit-for-WOMEN/599007914,MyLab Box Chlamydia + Gonorrhea At-Home Test + Mail-in Kit for WOMEN tests for 2 of the top high-risk STIs in women from the privacy of home. Included: 1 mail-in vaginal swab collection kit to test for genital chlamydia and genital gonorrhea in women.
MyLab Box Chlamydia + Gonorrhea At-Home Test + Mail-  ...,$79.00,0.0/5.0,https://www.walmart.com/ip/MyLab-Box-Chlamydia-Gonorrhea-At-Home-Test-Mail-in-Kit-for-MEN/484215976,MyLab Box Chlamydia + Gonorrhea At-Home Test + Mail-in Kit for MEN Tests for 2 of the top high-risk STIs in Men from the privacy of home.
Rapid Test Complete - Urinalysis Test Strips 100 Tes  ...,$12.95,5.0/5.0,https://www.walmart.com/ip/Rapid-Test-Complete-Urinalysis-Test-Strips-100-Tests-UTI-Strips-Kidney-Gallbladder-pH-Glucose-and-Liver-Function/318385684,"The Rapid Test Complete detects key chemical markers in human urine. This package comes with 100 strips or 100 tests that you can use. The one strip also tests for 14 different tests in one use. It tests for these 14 indicators: Leukocytes - For urinary tract infection and the presence of bacteria. Nitrites - A UTI Test which is usually an indicator of Urinary Tract Infections. Urobilinogen - Liver function test and Liver Disease Indicator. pH Test - A determinate of the acidic or alkaline state of the urine. Protien - An indicator of possible kidney health issues. Blood in Urine - Usually a test for kidney stones that is most often an indicator of Kidney Stones and if stones form or are forming. Specific Gravity - a reflection of how well the kidneys are filtering, or the GFR (Glomerular Filtration Rate). Ketones - An indicator of diabetes and other acetoacetic changes in the urine. Bilirubin - A test and indicator of Liver or Gallbladder issues. Glucose Test - A measurement of the sugar in the urine usually caused by diabetes.This Urinalysis Reagent Test is an easy to use test for the detection of key chemical markers in human urine. They are the same test strips used routinely by doctors, laboratories, and health care professionals in preliminary diagnosis of, and initial screening for potential health problems.This is an over the counter home test. So, if you are having any major concerns, a professional health specialist or doctor is always a good option."
AZO Test Strips Urinary Tract Infection Test - 3 CT,$9.43,4.6/5.0,https://www.walmart.com/ip/AZO-Test-Strips-Urinary-Tract-Infection-Test-3-CT/10317748,"AZO Test Strips make it easier for you to see if you have a urinary tract infection. Each of the pieces is individually wrapped to protect it until you're ready to use it. These urinary test strips have long handles, which prevent messes. It takes only two minutes to get results. The clinically tested strips are effective at picking up traces of nitrite and leukocytes. These products are usable by both men and women. You can use them to catch an infection when it starts or to monitor the effectiveness of your medication."
DrugConfirm Instant Drug Test for 12 Drugs,$21.19,4.3/5.0,https://www.walmart.com/ip/DrugConfirm-Instant-Drug-Test-for-12-Drugs/49655956,"12 Drugs Instant Drug Test <br /> <br />7 Illicit Drugs + 5 Prescription Drugs <br /> <br />Marijuana <br />Cocaine <br />Opiates (Heroin) <br />Methamphetamine <br />Ecstasy <br />Amphetamine <br />Phencyclidine <br /> <br />Tricyclic Antidepressants <br />Barbiturates <br />Benzodiazepines <br />Methadone <br />Oxycodone <br /> <br />Prevent drug abuse in your home with this effective anti drug tool <br />Research show that if we can delay the onset of drug use or diminish the frequency we reduce the risk of addiction for that child <br /> <br />Advantage of DrugConfirm <br />FDA approved. <br />Fast Results: Results in minutes at the privacy of your home. <br />Confidential: No personal information is required. <br />Easy to use &amp; convenient: This test is a simple process that you can do in the privacy of your own home. <br />A fast and efficient way of dealing with a potential drug user, no lies or doubts."
EZ Level Urinary Tract Infection UTI Test Strips Leu  ...,$8.95,4.8/5.0,https://www.walmart.com/ip/EZ-Level-Urinary-Tract-Infection-UTI-Test-Strips-Leukocytes-And-Nitrite-50-Tests/578625729,Keep track of your health with these True Level Urinary UTI Infection Test Strips. They are easy to use and come with instructions. These UTI test strips leukocytes positive nitrite negative give you fast results. Use them to detect the problem to take care of it to prevent future problems. This home health care product comes with 50 tests and are approved by the FDA.
"First Check Home Drug Test, 4 drugs tested, 1.0 ct",$19.97,3.5/5.0,https://www.walmart.com/ip/First-Check-Home-Drug-Test-4-drugs-tested-1-0-ct/10324995,"<p>Safely and easily use this First Check Home Drug Test and receive fast, accurate results. Each package comes with one cup and lid, as well as a mailing label and transportation bag. This FDA-approved drug test can detect the most common drug types like marijuana, cocaine and opiates. Simple to use, results can be quickly viewed within minutes. If desired, the cup can be sent to the official laboratory for result confirmation by using the included address label and sanitary transportation bag. Readings are confidential with this First Check drug test. They can help keep yourself or a family member safe. Receive 99 percent accurate results from a pharmacist recommended brand when you use this First Check Home Drug Test.</p>"
HairConfirm Hair Multi-Drug Test Kit,$84.99,3.8/5.0,https://www.walmart.com/ip/HairConfirm-Hair-Multi-Drug-Test-Kit/49655959,"<p>Get fast, dependable results with the HairConfirm Hair Multi-Drug Test Kit. This form of analysis is one of the most trusted methods of detection today. It is used by law enforcement officials, organizations and parents. This hair follicle test kit detects several of the most popular drugs that have been used within the past 90 days. It can prove the presence of cocaine, marijuana, opiates and more. It can also provide a detailed analysis of drug usage history, such as whether the user is an occasional, weekend or constant user. The nationally accredited and recognized laboratory uses the latest technology. This hair follicle drug test kit is easy to use as well as convenient. The HairConfirm Hair Multi-Drug Test Kit tests for seven illegal drugs: Marijuana, methamphetamine, cocaine, ecstasy, opiates, phencylidine (PCP) and amphetamine. It also tests for three prescription drugs: Hydrocodone (Vicodin, lorcet/lortab), oxycodone (oxycotin, Percocet/percodam), hydomorphone.</p>"
"Hemastix Reagent Strips for Urinalysis, Tests for Bl  ...",$30.77,0.0/5.0,https://www.walmart.com/ip/Hemastix-Reagent-Strips-for-Urinalysis-Tests-for-Blood-in-Urine-50-ea/46111075,"Test for Blood in urine with these Hemastix Reagent Strips for Urinalysis. They're convenient and allow you to test from the comfort of your own home. These are firm plastic strips with a reagent area that tests for occult blood in urine. Test results from these blood in urine test strips may provide information on urinary tract status. The reagent test on Hemastix is ready to use upon removal from the bottle and the entire reagent strip is disposable. No additional laboratory equipment is necessary for testing. The directions on these home test strips for blood in urine must be followed exactly and accurate timing is essential to provide optimal results. These reagent strips must be kept in the bottle with the cap tightly closed (as specified on the cap) to maintain reagent reactivity. To obtain optimal results with Hemastix Reagent Strips for Urinalysis, it's necessary to use fresh, well-mixed, uncentrifuged urine."
2 Pack - EZ DETECT Colon Disease Test 1 Each,$17.47,0.0/5.0,https://www.walmart.com/ip/2-Pack-EZ-DETECT-Colon-Disease-Test-1-Each/201254375,<li><b>Pack of 2</b> for the UPC: 083059100013</li>Doctor recommended. Uses: No diet restrictions. Simple home test for detecting early warning signs. Easy-throw in the bowl test. Results in two minutes. No stool handling. No lab processing. Contains: 5 EZ detect pads; One positive control package; One result card; One instruction booklet.
