Omron 3 Series Upper Arm Blood Pressure Monitor,$28.77,4.4/5.0,https://www.walmart.com/ip/Omron-3-Series-Upper-Arm-Blood-Pressure-Monitor/38335909,"Monitor your blood pressure with the Omron BP710N 3 Series AdvancedAccuracy Upper Arm Blood Pressure Monitor Easy to use, it features a simple onetouch mode and can store up to 14 readings at a time while still giving you accurate results This Omron 3 series blood pressure monitor includes a cuff that fits both standard and large arms It also has an irregular heartbeat detector and an LCD display for easy reading",Walmart #  552821260
Omron 5 Series Upper Arm Blood Pressure Monitor with  ...,$39.99,4.5/5.0,https://www.walmart.com/ip/Omron-5-Series-Upper-Arm-Blood-Pressure-Monitor-with-Cuff/38335908,"This Omron Bp742n 5 Series Advancedaccuracy Upper Arm Blood Pressure Monitor helps ensure consistent, precise readings This model is quick and easy and has a few more features than previous model It has dual settings for two users, memory storage space for up to 100 readings and a wide range cuff that fits standard and large arms This accuracy blood pressure monitor is durable",Walmart #  552821258
Omron 3 Series Upper Arm Blood Pressure Monitor,$28.77,4.4/5.0,https://www.walmart.com/ip/Omron-3-Series-Upper-Arm-Blood-Pressure-Monitor/38335909,"Monitor your blood pressure with the Omron BP710N 3 Series AdvancedAccuracy Upper Arm Blood Pressure Monitor Easy to use, it features a simple onetouch mode and can store up to 14 readings at a time while still giving you accurate results This Omron 3 series blood pressure monitor includes a cuff that fits both standard and large arms It also has an irregular heartbeat detector and an LCD display for easy reading",Walmart #  552821260
Garmin Forerunner 35 GPS Running Watch,$139.99,4.3/5.0,https://www.walmart.com/ip/Garmin-Forerunner-35-GPS-Running-Watch/54319410?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=5e17e52263a64fea06a48da05960eba8&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=3&wpa_plmt=__plmt__&wpa_aduid=__aduid__,"Stay fit, stay connected and share your progress with Forerunner 35 This stylish, easytouse GPS running watch offers Elevate wristbased heart rate, giving you the option to run without a chest strap It also doubles as an allday activity tracker to give you steps and calories Forerunner 35 includes connected features like smart notifications, automatic uploads to the Garmin Connect online fitness community, LiveTrack and music controls right on your wrist Meet your fitness goals with help from various sport profiles, intervals, vibration alerts to keep you motivated and useful features such as Auto Pause and run/walk activity mode Forerunner 35 running watch has what you need to take your running to the next level Just put it on and go",Walmart #  558137629
Omron 7 Series Wrist Blood Pressure Monitor,$56.99,4.3/5.0,https://www.walmart.com/ip/Omron-7-Series-Wrist-Blood-Pressure-Monitor/15702123,"ul  liHeart Guide Technology automatically activates when your wrist is at heart level, ensuring consistently accurate readings/li  liTwo User Mode  Allows two different users to monitor and track their readings separately in the stored memory/li  liBP Level Indicator  Shows how your reading compares to internationally recognized guidelines for normal home blood pressure levels/li  liNew slim design is more discrete and convenient for portability, allowing users to monitor their blood pressure at home, work or anywhere/li  liIrregular Heartbeat Detector  This monitor can detect and alert you to irregular heartbeats while your blood pressure is being measured/li  liAdvanced Averaging  Exclusive technology automatically displays the average of up to the last 3 readings taken wtihin the last 10 minutes/li  li200 Memory Storage/li /ul",Walmart #  4073582
Garmin Forerunner 35 GPS Running Watch,$139.99 - $167.00,4.3/5.0,https://www.walmart.com/ip/Garmin-Forerunner-35-GPS-Running-Watch/54319418,"Stay fit, stay connected and share your progress with Forerunner 35 This stylish, easytouse GPS running watch offers Elevate wristbased heart rate, giving you the option to run without a chest strap It also doubles as an allday activity tracker to give you steps and calories Forerunner 35 includes connected features like smart notifications, automatic uploads to the Garmin Connect online fitness community, LiveTrack and music controls right on your wrist Meet your fitness goals with help from various sport profiles, intervals, vibration alerts to keep you motivated and useful features such as Auto Pause and run/walk activity mode Forerunner 35 running watch has what you need to take your running to the next level Just put it on and go",Walmart #  556303182
Omron 7 Series Upper Arm Blood Pressure Monitor with  ...,$50.68,4.2/5.0,https://www.walmart.com/ip/Omron-7-Series-Upper-Arm-Blood-Pressure-Monitor-with-Two-User-Mode-120-Reading-Memory/38335910,"Make sure you are healthy and facing no ill side effects when you use this Omron 7 Series Upper Arm Blood Pressure Monitor to take your vital signs every day It offers precision and comfort with an easywrap ComFit cuff that will work on most arms The cuff is built for arms that are 917&quot; in circumference The Omron blood pressure monitor with Bluetooth technology helps ensure consistent, precise readings with advanced accuracy The 7 Series Upper Arm model offers precision and comfort, with an accurate but simple interface that includes many standard features You get LED lights that help you identify where your measurements are, in relation to internationallyrecognized guidelines for normal blood pressure This wireless blood pressure monitor comes with an irregular heartbeat detector that will alert you if an erratic rhythm is detected during a blood pressure reading with the indicator icon",Walmart #  552821259
Omron Evolv Bluetooth Wireless Upper Arm Blood Press  ...,$69.99,4.4/5.0,https://www.walmart.com/ip/Omron-Evolv-Bluetooth-Wireless-Upper-Arm-Blood-Pressure-Monitor/326384298,Omron EVOLV is the next evolution in wireless heart health management Easily transmit your blood pressure readings wirelessly to the OMRON Connect APP using your mobile device This compact design makes it easy to use anywhere you need to take a blood pressure reading,Walmart #  567171828
Omron 10 Series Upper Arm Blood Pressure Monitor wit  ...,$64.99,4.5/5.0,https://www.walmart.com/ip/Omron-10-Series-Upper-Arm-Blood-Pressure-Monitor-with-Cuff/38335906,"Receive consistent, precise results with this Omron Bp785n 10 Series Advancedaccuracy Upper Arm Blood Pressure Monitor It is simple to use and the large digital display with backlight reduces common user reading errors The Omron blood pressure monitor comes with an easywrap cuff that fits arms 9&quot; to 17&quot; 22 cm to 42 cm It is also designed with an irregular heartbeat detector and memory storage with advanced averaging",Walmart #  552960415
Omron 10 Series Wireless Upper Arm Blood Pressure Mo  ...,$62.99,4.2/5.0,https://www.walmart.com/ip/Omron-10-Series-Wireless-Upper-Arm-Blood-Pressure-Monitor-with-Two-User-Mode-200-Reading-Memory/38335911,"The Omron 10 Series plus Bluetooth Smart home blood pressure monitor has all the features of the 10 Series monitor and more Now you can access your readings anywhere, anytime with the Omron Wellness mobile and website apps, that way its easier for you to track your progress and take the right steps to manage your heart",Walmart #  552291899
