"Tena Incontinence Pads For Women, Ultimate (Choose Y  ...",$5.00 - $16.97,4.2/5.0,https://www.walmart.com/ip/Tena-Incontinence-Pads-For-Women-Ultimate-Choose-Your-Count/779969949,"Incontinence can make it difficult to continue with your daily routine, but Tena has you covered with Ultimate Pads to protect you from heavy bladder leaks and surges Tena Intimates Ultimate Pads protect against heavy surge incontinence to keep you dry and confident With new ProSkin Technology, Tena Intimate Pads protect against leaks, odor, and wetness to keep your skin dry and healthy Try the discreet bladder leakage protection of Tena Intimates Ultimate Pads and get back to being you",Walmart #  567546525
"Poise Incontinence Pads, Original Design, Ultimate A  ...",$11.28 - $24.87,3.4/5.0,https://www.walmart.com/ip/Poise-Incontinence-Pads-Original-Design-Ultimate-Absorbency-Long-60ct/37566050,"With up to 12 hours of protection, you can trust the original design of Poise Ultimate Absorbency, Long Pads to handle unexpected gushes from light bladder leakage Poise incontinence pads offer the trusted 3in1 protection for dryness, comfort, and odor control Prevent leaks and quickly lock away wetness with LeakBlock Sides and an AbsorbLoc Core Poise Pads feel comfortable and stay 10x drier than leading period pads and can be used as a postpartum pad or maternity pad for women after birth who experience heavier bladder leakage This package contains individually wrapped Poise Ultimate Absorbency Incontinence Pads in long length Poise is the number one brand for light bladder leaks Based on Nielsen Market Share Data Based on Nielsen Market Share Data",Walmart #  552703392
"Poise Incontinence Panty Liners, Very Light Absorben  ...",$4.68 - $12.31,0.0/5.0,https://www.walmart.com/ip/Poise-Incontinence-Panty-Liners-Very-Light-Absorbency-Regular-87-Ct/564945759?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=bd96a96c1b6f033ef71504bd1cc5d4d4&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=3&wpa_plmt=__plmt__&wpa_aduid=__aduid__,"Seize your Poise moment by taking control of your light bladder leakage LBL with Poise Liners Poise incontinence panty liners are the numberone liner for LBL and stays 3X drier than leading similarsize periodonly liners Each liner has a builtin AbsorbLoc core that quickly locks away wetness and odor The DryTouch layer provides an extra layer of comfort, and the ThinFlex technology is designed to move with your body Wear Poise liners to help keep you fresh and dry This package contains individually wrapped Poise Incontinence Liners in regular lengthBased on market share",Walmart #  567283611
"Assurance Incontinence Underwear for Women, Maximum,  ...",$7.88 - $21.62,4.5/5.0,https://www.walmart.com/ip/Assurance-Incontinence-Underwear-for-Women-Maximum-L-18-Ct/894201,"Assurance Underwear offers you discreet and comfortable protection This womens disposable underwear offers maximum absorbency that locks away moisture keeping you dry It is specifically designed and fitted for women; the Comfort Shape Protection offers a soft and discreet fit The Contour Core allows a better fit for between the legs The breathable material allows you to stay cool and happy The Odor Guard helps to keep odor from forming They come individually wrapped for convenient and discreet access in your purse, gym bag, or glove compartment in your car This underwear can be worn day or night The size L is made to fit a waist of 38 to 50 in diameter /p The Assurance Underwear provides you with the comfort and protection you need With a full range of products, Assurance lets you feel comfortable and dry while living your active, onthego lifestyle/p  /",Walmart #  558270370
"Depend Real Fit Incontinence Underwear for Men, Maxi  ...",$11.97 - $54.99,4.4/5.0,https://www.walmart.com/ip/Depend-Real-Fit-Incontinence-Underwear-for-Men-Maximum-Absorbency-L-XL-Grey-Choose-your-count/34317527?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=7bb5f105e0a9e410e636b4fd52d9d15b&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=5&wpa_plmt=__plmt__&wpa_aduid=__aduid__,"Depend Real Fit Incontinence Briefs take their cues from your lifestyle and your needs Now more breathable than ever, Depend Real Fit has the same trusted protection with maximum absorbency in a comfortable, soft fabric brief The premium, masculine design has improved quality with a better feel than previous Depend Real Fit Briefs The cottonlike fabric is soft, durable and stretches to move with you, while the elastic waistband provides a secure fit Real Fit disposable underwear come in an exclusive range of colors, including black, grey and blue Depend incontinence underwear for men are nothing like adult diapers and are latexfree, lotionfree and fragrancefree This package contains grey Depend Real Fit Incontinence Briefs for Men in size large/extralarge, which fits a 3850inch waist Explore this page for additional product benefits",Walmart #  552216627
"Equate Options Incontinence Pads for Women, Moderate  ...",$8.9717.0¢/each,4.3/5.0,https://www.walmart.com/ip/Equate-Options-Incontinence-Pads-for-Women-Moderate-Long-54-Ct/21392506,"Feel dry and comfortable throughout the day or night with Equate Incontinence Pads They are made with the enhanced DriFit cotton system that offers a new level of protection and skin health for sensitive skin This 54count of incontinence pads for women feature a DriLock core that quickly locks up moisture and odor and OmniOdor Guard Plus to help prevent odors from forming Theyre easy to apply and remove and are individually wrapped for those small emergencies when on the go These long incontinence pads have soft side shields that add even more protection again leaks Making the right health decisions can be challenging With a complete range of products and simple solutions, Equate allows you to take care of your family with confidence/p",Walmart #  553873114
"Depend Incontinence Guards for Men, Maximum Absorben  ...",$11.68 - $24.48,3.9/5.0,https://www.walmart.com/ip/Depend-Incontinence-Guards-for-Men-Maximum-Absorbency-Choose-Your-Count/55335888,"Men deserve an incontinence pad designed specifically for their bodies with protection that fits their lifestyle Depend Guards Incontinence Pads for Men are now more flexible vs previous Depend Guards for Men with the same discreet, comfortable protection Depend Guards have maximum absorbency for larger surges of wetness and offer cupshaped protection that fits in your own briefs or boxer briefs They should not be worn with boxers Mens Depend Guards feature a strong adhesive and ComfortFlex leak barriers for protection when active Each Guard comes individually wrapped in a discreet, pocketsized pouch for easy carrying and disposal To use, peel off the paper strip and make sure the arrow faces up before placing within your underwear Depend adult incontinence products are latexfree, lotionfree and fragrancefree Depend Guards for Men are one size fits all and designed with a mans body in mind",Walmart #  557620048
"Depend FIT-FLEX Incontinence Underwear for Women, Ma  ...",$17.76,4.5/5.0,https://www.walmart.com/ip/Depend-FIT-FLEX-Incontinence-Underwear-for-Women-Maximum-L-Choose-Your-Count/34317530,"Enjoy each moment again in the new and improved Depend FITFLEX Incontinence Underwear for Women with maximum absorbency designed to fit the shape of a woman Depend incontinence underwear for women is now more flexible to move with you so you can reclaim, rediscover and reconnect with what matters most in your life The slipon style of this incontinence pant features ovalcut leg openings and FITFLEX protection to give you a smooth, closetobodyfit thats unlike bulky adult diapers These disposable underwear for women feature Confidence Core technology for fast absorption and helps lock away moisture quickly for outstanding comfort Depend underwear for women has a thin, absorbent pad made of super absorbent materials that draw wetness in, away from the skin, locking in urine and odors Depend incontinence products for women are latexfree, lotionfree, fragrancefree and can be purchased with an FSA only where applicable Size large fits women with a 3850 inch waist and who weigh 170260 lbs",Walmart #  552216635
"Always Discreet Incontinence Pads for Women, Light A  ...",$4.8417.0¢/each,4.4/5.0,https://www.walmart.com/ip/Always-Discreet-Incontinence-Pads-for-Women-Light-Absorbency-30-Count/37892491,"Get bladder leak protection you can depend on with Always Discreet Pads   /   /Secure bladder protection for sensitive bladders in an incontinence pad you can barely feel, these super absorbent pads have a RapidDry core that turns liquid to gel to lock away bladder leaks and odors OdorLock Technology neutralizes odors and helps keep you feeling fresh all day   /   /Always Discreet Incontinence Light Pads absorb 2X more than the leading period liner and are ideal for overactive bladders Each incontinence pad is individually wrapped for discreet disposal on the go With their thin design, youll be able to walk with poise while keeping your incontinence protection discreet   /   /Always Discreet also offers Incontinence Liners and Incontinence Underwear",Walmart #  552696753
"Equate Options Incontinence Pads for Women, Maximum,  ...",$14.34,4.3/5.0,https://www.walmart.com/ip/Equate-Options-Incontinence-Pads-for-Women-Maximum-Long-64-Ct/24389828,"Maintain health and hygiene during times of limited mobility or irregularity with Equate Options Incontinence Pads This product features a DriFit cotton enhanced design that offers comfort, protection and skin health Its soft and smooth material and surface improve use by reducing friction These womens cotton pads are also made with OmniOdor Guard Plus, which prevents undesirable smells from forming Its super absorbent core also ensures that moisture and odors are locked up, thus preventing skin irritation The soft side shields provide added protection These super absorbent pads are long to accommodate heavy flow and users who spend most of the time lying down One pack contains 64 pads Making the right health decisions can be challenging With a complete range of products and simple solutions, Equate allows you to take care of your family with confidence/p",Walmart #  551230392
