Carex Walker Ski Glide,$6.48,4.5/5.0,https://www.walmart.com/ip/Carex-Walker-Ski-Glide/10318499,"Improve your mobility with these Carex Walker Ski Glides Specially made to attach to the rear legs of a frontwheeled walker, they move smoothly over different types of surfaces They feature a slim size that makes them simple to install Made of durable white plastic, they slide easily over grass, cement and carpet These nonslip rolling walker glides will even fit most walkers Theyre finished in white and feature a lightweight construction for stressfree use They can even be stored in a bag or purse until you need them",Walmart #  551293434
Stander Walker Replacement Wheels- Set of 2,$15.99,4.7/5.0,https://www.walmart.com/ip/Stander-Walker-Replacement-Wheels-Set-of-2/44374594,These Stander Walker Replacement Wheels are made to roll smoothly over surfaces They are constructed from a tough urethane material for enhanced durability These 6&quot; walker wheels are compatible with both the Stander Fold N Go Walker and the Able Life Space Saver Walker 20 They are designed with bearings to provide smooth and even rotation The center holes provide for a safe and secure installation,Walmart #  553887096
Medline Walker Basket Accessory,$19.25,4.0/5.0,https://www.walmart.com/ip/Medline-Walker-Basket-Accessory/7983662?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=13ef540c3c30cb2e6af37abffb67deb5&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=3&wpa_plmt=__plmt__&wpa_aduid=__aduid__,"The Medline walker basket accessory makes it easier to carry important items with you It offers plenty of storage space and can hold up to three pounds This basket for mobility walker attaches easily to any style walker It is made with plasticcoated wire and is convenient to use You can put your groceries in it while you shop instead of struggling with a cart This basket can also hold your purse or bag, making the contents more accessible Put your belongings in this basket to take strain off your shoulders and back Because it detaches easily, you can take it with you anywhere Add this to your collection of walker accessories",Walmart #  552290883
Drive Medical Walker Wheels with Two Sets of Rear Gl  ...,$19.00,4.5/5.0,https://www.walmart.com/ip/Drive-Medical-Walker-Wheels-with-Two-Sets-of-Rear-Glides-for-Use-with-Universal-Walker-5-Gray-1-Pair/14934347,"The Drive Medical Universal Walker Wheels with Rear Glides comes with 5&quot; caster wheels and two sets of rear glides The rubber wheels allow most walkers to roll easily and smoothly over irregular surfaces, and the rear glide caps with covers allow for use on all surface",Walmart #  563273497
Walker/Wheelchair/Scooter Bag,$12.47,4.8/5.0,https://www.walmart.com/ip/Walker-Wheelchair-Scooter-Bag/33789757,"The Wheelchair and Walker Bag makes it easier for you to carry your important items wherever you go Its easy to set up, just clip it onto the frame, and youre ready to travel This wheelchair bag is available in select colors Its made from 100 percent cotton, making it soft and strong for lasting use This bag is machine washable for easy care and cleaning There are different compartments and pockets so you can use it for organizing your personal items An accordion bottom section expands to up to 3&quot; wide The straps of this bag can also be used for hand carrying",Walmart #  570339901
"Equate Walker Ski Glides, Gray, 1 Pair",$5.74,0.0/5.0,https://www.walmart.com/ip/Equate-Walker-Ski-Glides-Gray-1-Pair/683991050,"Leg injuries can be challenging, but with Equate Walker Ski Glides, you can move around with ease using these with your walker This set contains a pair of ski glides that fits on most walkers and allows walkers to glide easily and smoothly over most surfaces/p /p  Making the right health decisions can be challenging With a complete range of products and simple solutions, Equate allows you to take care of your family with confidence/p",Walmart #  567994772
"Carex Walker Auto Glides, 2 Ct",$7.98,4.3/5.0,https://www.walmart.com/ip/Carex-Walker-Auto-Glides-2-Ct/28933659,Our Auto Walker Glides provide the convenience of a glide with the added safety of an auto brake Simply push down on the walker to activate the brake For use on the back of a wheeled walker Fits most walkers Fits most walkers Easy to use brake for added safety Product Dimensions: 18 x 18 x 3 inches ; 32 ounces,Walmart #  552602071
Guardian Walker Glide Caps - G07904,$7.04,5.0/5.0,https://www.walmart.com/ip/Guardian-Walker-Glide-Caps-G07904/42066562,Allows walkers to easily and quietly glide across most nonabrasive surfaces Fits tips with 15&quot; OD,Walmart #  567204863
"Drive Medical Universal Walker Wheels, 1 Pair",$7.19 - $19.49,4.8/5.0,https://www.walmart.com/ip/Drive-Medical-Universal-Walker-Wheels-1-Pair/17284816,"The Drive Medical Universal Walker Wheels with Rear Glides comes with 5&quot; caster wheels and two sets of rear glides The rubber wheels allow most walkers to roll easily and smoothly over irregular surfaces, and the rear glide caps with covers allow for use on all surface",Walmart #  551172315
Drive Medical Single Fold Portable Wheelchair Scoote  ...,$81.49 - $196.49,4.9/5.0,https://www.walmart.com/ip/Drive-Medical-Single-Fold-Portable-Wheelchair-Scooter-Ramp-with-Carry-Handle-and-Travel-Bag/15423338,"The Wheelchair and Scooter Ramp by Drive Medical is designed for transitioning a wheelchair or scooter from one surface height to another The durable, folding, lightweight construction allows for the ramp to be easily transported in its carry bag This ramp was especially designed with perforated slots to keep water from collecting on the ramp and ensuring users safety while in use This 3 long ramp allows for up to a 6&quot; rise in surface height The ramp has a total weight capacity of 600 lbs",Walmart #  563276093
"Equate Walker Tennis Balls, 2 Ct",$13.19,4.7/5.0,https://www.walmart.com/ip/Equate-Walker-Tennis-Balls-2-Ct/14179100,"Equate Walker Tennis Balls can help you move smoothly throughout your day Walkers are easier to use when the back legs can glide over surfaces without sticking and getting hung up on obstructions Equate Walker Tennis Balls are made to fit right on the walker to help it glide along the surface with ease and prevent scratches or scrapes to your floors They are precut so that you can insert them on the walker legs right out of the pack Whether you are moving forward, backward or navigating around corners, these Equate Walker Tennis Balls will help you along the way/p Making the right health decisions can be challenging With a complete range of products and simple solutions, Equate allows you to take care of your family with confidence/p  /",Walmart #  567820939
"DMI Telescoping Wheelchair Ramp for Home, Portable a  ...",$115.78,4.0/5.0,https://www.walmart.com/ip/DMI-Telescoping-Wheelchair-Ramp-Home-Portable-Lightweight-Wheelchair-Ramp-Handicap-Retractable-Wheelchair-Ramps-Steps-Adjustable-3-5/7079363,"Transport patients to and from appointments with this DMI Portable Wheelchair Ramps Adjustable From 3 to 5 They are made of noncorrosive, lightweight and durable aluminum with nonskid Ushaped tracks for improved safety These telescoping wheelchair ramps adjust from 3 to 5, making them easy to use them on different step sizes and heights see measuring directions They are a handy item to have in your home so wheelchair users can easily come and go from rooms that have steps They are also ideal to have around for visitors if your entrance has a step or curb Plus, wheelchair users will find them invaluable when visiting friends or family who may not have accessible entrances These DMI Portable Wheelchair Ramps, Adjustable From 3 to 5, are lightweight and compact They are easy to travel with or store in the trunk of your car Each ramp weighs 6 lbs, making them easy to lift and position and can support up to 330 lbs 660 lbs total between them  /",Walmart #  004004121
