Curad Basic Care Large/Extra Large Vinyl Exam Gloves  ...,$7.73,4.3/5.0,https://www.walmart.com/ip/Curad-Basic-Care-Large-Extra-Large-Vinyl-Exam-Gloves-100-count/44621723,Large/Extra Large Vinyl Exam Disposable Gloves,Walmart #  564508360
"ReliOn Nitrile Examination Gloves, 100 Ct",$9.24,4.4/5.0,https://www.walmart.com/ip/ReliOn-Nitrile-Examination-Gloves-100-Ct/14284765,"ReliOn Non Latex One Size Fits All Gloves Single Use Disposable Nitrile Examination Gloves for Diabetes are hygienic, onesizefitsall single use medical grade gloves ReliOn Nitrile Gloves fit either hand perfectly and are textured non latex material to enable better grip, making checking your blood sugar levels or injecting insulin safer and easier than ever ReliOn Non Latex One Size Fits All Gloves Single Use Disposable Nitrile Examination Gloves for Diabetes are also hygienically powderfree, providing protection while introducing minimal residue or foreign matter to your work so you dont have to worry about infections The non latex material is perfect for anyone with latex allergies, making these the true glove for every situation These are medical quality gloves, meaning that they are perfect for dealing with diabetes, keeping you clean and safe from infection With 100 disposable gloves per box, you dont have to worry about running out any time soon The extra durable non latex material protects you from punctures and cuts better than most gloves",Walmart #  004092667
Medline Walker Basket Accessory,$19.25,4.0/5.0,https://www.walmart.com/ip/Medline-Walker-Basket-Accessory/7983662?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=13ef540c3c30cb2e6af37abffb67deb5&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=3&wpa_plmt=__plmt__&wpa_aduid=__aduid__,"The Medline walker basket accessory makes it easier to carry important items with you It offers plenty of storage space and can hold up to three pounds This basket for mobility walker attaches easily to any style walker It is made with plasticcoated wire and is convenient to use You can put your groceries in it while you shop instead of struggling with a cart This basket can also hold your purse or bag, making the contents more accessible Put your belongings in this basket to take strain off your shoulders and back Because it detaches easily, you can take it with you anywhere Add this to your collection of walker accessories",Walmart #  552290883
"Equate Vinyl Examination Gloves, S/M, 100 count",$7.98,3.0/5.0,https://www.walmart.com/ip/Equate-Vinyl-Examination-Gloves-S-M-100-count/709075118,"Protect your hands with Equate Vinyl Examination Gloves, S/M These gloves provide a basic protection barrier from dirt and grime The gloves are not made with natural rubber latex, are nonsterile, and are powderfree These gloves are designed for small to medium size hands They are comfortable to wear and one glove fits both left and right hands Toss these in the garbage after each use as they are single use only The box comes with 100 gloves Use these gloves to protect your hands when performing basic first aid, diabetic care, baby care, and pet care Food preparation is another time these gloves should be within reach, such as when you are chopping a hot pepper or other ingredients that can irritate the skin If you need to use harsh cleaning solutions, wear these gloves to protect your hands while completing the chore The medical quality of these gloves meets ASTM quality standards Safeguard your hands simply with Equate Vinyl Examination Gloves, S/M",Walmart #  557650158
"Equate Gauze Pads, 3""x3"", 25 Ct",$3.54,5.0/5.0,https://www.walmart.com/ip/Equate-Gauze-Pads-3-x3-25-Ct/344776932,"Equate Gauze Pads are soft and absorbent pads that can be used for protecting and securing your wounds They are designed to help clean, cover and apply medications to minor cuts, scrapes and burns The 12 soft cushioning layers are made of rayon/polyester fabric, and can absorb fluids while shielding the wound from external impurities They are sterile and are not made with natural rubber latex, ensuring that they are safe for usage by people allergic to latex Equate Gauze Pads offer comfort and protection for wounds in a simple, easytouse way that enables you to perform your daily activities without worries With a wide range of health and beauty products, Equate provides their customers with a healthy and effective way to improve the quality of their daily lives At Equate, we believe that taking care of your family doesn&amp; 8217;t have to come at a high price Every product we make is the result of innovation, rigorous standards and high quality ingredients, and that has helped us become one of the most trusted brands across the country Directions Hold gauze pad on the wound to stop bleeding Use gauze pad to gently clean the wound with warm water and mild soap If needed, use a new pad to apply medication and position it over the wound Use tape or rolled gauze to hold pad in place securely",Walmart #  557650136
"Equate Vinyl Examination Gloves, 50 count",$5.84,0.0/5.0,https://www.walmart.com/ip/Equate-Vinyl-Examination-Gloves-50-count/265514745,"Protect your hands with Equate Vinyl Examination Gloves These gloves provide a basic protection barrier from dirt and grime The gloves are not made with natural rubber latex, are nonsterile and powderfree The natural fit of these gloves makes them comfortable to wear, fits most, and one glove fits both left and right hands Toss these in the garbage after each use as they are single use only The box comes with 50 gloves Use these gloves to protect your hands when performing basic first aid, diabetic care, baby care, and pet care Food preparation is another time these gloves should be within reach, such as when you are chopping a hot pepper or other ingredients that can irritate the skin If you need to use harsh cleaning solutions, wear these gloves to protect your hands while completing the chore The medical quality of these gloves meets ASTM quality standards Safeguard your hands simply with Equate Vinyl Examination Gloves",Walmart #  557650157
"Equate Earloop Disposable Facemasks, 20 count",$2.97,4.5/5.0,https://www.walmart.com/ip/Equate-Earloop-Disposable-Facemasks-20-count/745929347,"Equate Earloop Disposable Mask is made of a 3ply construction to help filter up to 99% of bacteria exhaled by the wearer The lightweight mask is designed to provide comfort and easy breathing  / For general purpose infection control  / Helps prevent the spread of airborne illness  / Ideal for home healthcare use  / Easy to put on, no strings to tie  /  /Stay healthy during cold and flu season with Equate Earloop Disposable Facemasks Each mask is made in a 3ply construction, which can filter up to 99% of the bacteria exhaled by the wearer and prevent the spread of airborne illness Each box contains twenty earloop masks that are lightweight and comfortable for easy breathing while you wear it These masks are easy to put on and have no strings to tie Simply place the mask over your nose and mouth, place an earloop around each ear, pull the mask over your chin, and mold the mask to fit snugly around your nose and chin They are ideal for use at home, school, or in healthcare settings You can trust Equate Earloop Disposable Facemasks to keep airborne illness and bacteria at bay",Walmart #  557642343
Veridian Healthcare Teaching/Training Aluminum Dual-  ...,$15.00,5.0/5.0,https://www.walmart.com/ip/Veridian-Healthcare-Teaching-Training-Aluminum-Dual-Head-Stethoscope/16562864,The Veridian Stethoscope has a lightweight dualhead design that makes it easier to teach others It is comprised of an aluminum rotating chestpiece with a nonchill diaphragm retaining and bell ring This healthcare teaching stethoscope has soft ear tips for maximum comfort,Walmart #  4011232
Sitz Bath Carex® Round Dusty Rose Polypropylene,$12.37,4.5/5.0,https://www.walmart.com/ip/Sitz-Bath-Carex-Round-Dusty-Rose-Polypropylene/27931344,Get the relief that you need with the Carex Sitz Bath Its designed to provide hygiene for patients recovering from episiotomies and other conditions in the genital and anal areas This toilet sitz bath features a simple on and off flow control clip for your convenience Its also easy to clean and designed for long life This hemorrhoid sitz bath comes with a bag of solution and a tube The product is not designed for use in an autoclave,Walmart #  551698088
"3M Littmann Classic III Stethoscope, Rainbow-Finish,  ...",$80.54 - $105.22,4.2/5.0,https://www.walmart.com/ip/3M-Littmann-Classic-III-Stethoscope-Rainbow-Finish-Raspberry-Tube-27-inch/125636484,"The 3M Littmann Classic III Stethoscope is the latest version of the stethoscope that helps millions of medical professionals achieve their best The Classic III stethoscope offers high acoustic sensitivity for exceptional performance, plus a versatile twosided chestpiece with tunable diaphragms The Classic III stethoscope is used by students and medical professionals alike to identify, listen to, and study heart, lung, and other body sounds for physical assessment, patient monitoring, and diagnosis",Walmart #  565109228
"3M Littmann Cardiology IV Stethoscope, Available in   ...",$164.02 - $206.95,5.0/5.0,https://www.walmart.com/ip/3M-Littmann-Cardiology-IV-Stethoscope-Available-in-Multiple-Colors/112383005,"The 3M Littmann Cardiology IV Stethoscope is the next generation of one of the most recognized stethoscopes in the profession, offering improved acoustic performance with better audibility of highfrequency sounds adult side, firm pressure Its distinctive chaliceshaped chestpiece features tunable diaphragms on both sides to deliver outstanding acoustic performance, diagnostic versatility, and convenience for treating adult and pediatric patients The pediatric side of the chestpiece converts to a traditional open bell by removing the tunable diaphragm and replacing it with the included nonchill bell sleeve",Walmart #  565109015
