Drive Medical Blue Streak Wheelchair with Flip Back   ...,$110.99 - $123.99,4.4/5.0,https://www.walmart.com/ip/Drive-Medical-Blue-Streak-Wheelchair-with-Flip-Back-Desk-Arms-Swing-Away-Footrests/15423509,"A Mobile Masterpiece of Class Durability and Comfort The Blue Streak Wheelchair with Flip Back Desk Arms from Drive Medical represents a new class of leadingedge mobility enhanced wheelchairs that have been engineered and structured, to not only meet, but exceed the growing demands and expectations of users who cherish independence, mobility and comfortIt arrives at your door loaded with features designed to enable and enhance your mobility and comfort Arm rests are fully padded The frame, black cross brace and the nylon upholstery is durable, attractive and easy to cleanThe tires which are made of solid rubber, give you an enormous amount of durability If that wasnt enough, this leading edge mobility aid also requires little to no maintenanceUsers also appreciate that The Blue Streak Wheelchair comes with easy to operate push to lock brakes, along with convenient swing away footrests with plastic footplates that allow you the user, too safely, effortlessly and with convenience, slide in and out of your chairYoull also appreciate the padded desk arms which furnish you with unbeatable comfort, allowing you to slide up as close as you desire, and need to be to tables, and or desks Go aheadExperience the Drive Difference Now",Walmart #  562911480
"Equate Transport Chair, Black",$135.00,4.7/5.0,https://www.walmart.com/ip/Equate-Transport-Chair-Black/14179126,"Equate Transport Chair makes it easy for caregivers and their loved ones to go more places with greater ease and comfort Unlike a standard wheelchair, a transport chair requires a caregiver with the ability to push the chair Thats one reason transport chairs are made lighter than wheelchairs so they can be pushed with less effort This transport chair, made from powdercoated steel, is designed for maneuverability, providing improved mobility through tight spaces or public areas The wide seats, coupled with restaurantstyle arms, provide a high level of comfort/p This chair is also equipped with a seatbelt to keep the user in the chair, and looplock hand brakes that are ideal for locking the rear wheels when the user needs to stand up or sit back down Ready to go anywhere, the chair folds up quickly and compactly so you can put it in the car trunk, carry it up the stairs or store it until needed again/p Making the right health decisions can be challenging With a complete range of products and simple solutions, Equate allows you to take care of your family with confidence/p  /",Walmart #  567820762
"Medline K4 Extra-Wide Lightweight Wheelchair, 22"" Wi  ...",$284.48,0.0/5.0,https://www.walmart.com/ip/Medline-K4-Extra-Wide-Lightweight-Wheelchair-22-Wide-Seat-Removable-Desk-Length-Arms-Elevated-Leg-Rests/30497650?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=4a7c9248a9af719bb5fbe0602609588b&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=3&wpa_plmt=__plmt__&wpa_aduid=__aduid__,"Swing back arms with easy flip back arm release Armrests and calf pads are upholstered and padded Quick release axles allow toolfree removal of rear wheels Dual axle hemiheight adjustable; Adjustable height back Tough nylon upholstery Arm styles available: swing back desk length and swing back height adjustable desk length; Leg style: detachable footrest and detachable elevating footrest Seat sizes come in: 20&quot; x 18&quot; 51 cm x 46 cm and 22&quot; x 18&quot; 56 cm x 41 cm Optional accessories: O2Holder item MDS85181U, AntiFold Device item MDS85196, IV Pole MDS85183, O2/IV Combo item MDS85190, AntiTip Device item MDS85189WK4, Seat Extension Kit for 18&quot; wide only item WCA806922EXT,Tinnerman Legrest Locks item WCA806991",Walmart #  550947097
Drive Medical Silver Sport 1 Wheelchair with Full Ar  ...,$117.04,4.5/5.0,https://www.walmart.com/ip/Drive-Medical-Silver-Sport-1-Wheelchair-with-Full-Arms-and-Swing-away-Removable-Footrest/15423452,"A Tour de Force in Comfort, Reliability and Value In a world where independence and mobility is highly treasured and sought after, nothing can compare to Drive Medicals Silver Sport 1 Wheelchair with Full Arms and Swing away Removable FootrestWhen it comes to comfort, reliability and genuine value, the Silver Sport 1 Wheelchair is a genuine tour de force in design, safety and ease of use for both the user and caregiver alike Its nothing less than unbeatable value you can count on to meet your mobility needs again and againSturdy, easy to maneuver as well as fold and carry, its suitable for all ages At the end of the day, it will empower you like nothing else, as it meets and exceeds your needs and expectations, whether inside or away from your homeThe Silver Sport 1 Wheelchair with Full Arms and Swing away Removable Footrest is a handy companion for both user and caregiver, and one you will want to have with you at all times Go aheadExperience the Drive Difference Now",Walmart #  569765438
Medline Excel Deluxe Aluminum Transport Chair with H  ...,$117.58,4.3/5.0,https://www.walmart.com/ip/Medline-Excel-Deluxe-Aluminum-Transport-Chair-with-Hand-Brakes/23955882?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=4139a155ddab740a595302638333b76a&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=5&wpa_plmt=__plmt__&wpa_aduid=__aduid__,"The Medline Excel Deluxe Aluminum Transport Chair with Hand Brakes makes it easier for your loved ones and caregivers to help you get around Compared to a standard wheelchair, a transport chair requires a caregiver to push the chair A lightweight transport chair is much lighter than a wheelchair, allowing you to be pushed with comfort and ease Plus, it is more compact, which provides improved mobility through tighter spaces or public areas This Medline transport chair comes equipped with looplock hand brakes that are easy to operate and ideal for locking the rear wheels during transfers, making them fast and efficient It also has a seatbelt that keeps the passenger securely in place Fold it compactly so it can easily be stored in the back of a car or carried up the stairs This Medline Excel Deluxe Aluminum Transport Chair with Hand Brakes weighs just 235 lbs and is equipped with a seatbelt for safety, a fulllength permanent armrest on each side and detachable footrests",Walmart #  551362688
Drive Medical Cruiser III Light Weight Wheelchair wi  ...,$157.00 - $169.99,4.5/5.0,https://www.walmart.com/ip/Drive-Medical-Cruiser-III-Light-Weight-Wheelchair-with-Flip-Back-Removable-Desk-Arms-Elevating-Leg-Rests/15423515,"The 20&quot; Cruiser III Wheelchair with Flip Back Detachable Desk Arms and Elevating Leg rests by Drive Medical has a carbon steel frame that eliminates seat guides and allows for custom back inserts and accessories The silver vein finish is attractive and easy to maintain The precision sealed wheel bearing, in front and rear, ensure long lasting performance and reliability, while the 8&quot; front caster wheels provide a smooth ride over most surfaces The dual axle and removable, flip back, desk arms makes transferring easy Comes standard with, detachable flip back desk arms, elevating leg rests, black nylon upholstery, composite Magstyle wheels and push to lock wheel locks",Walmart #  563286530
Drive Medical Lightweight Steel Transport Wheelchair  ...,$79.96 - $81.99,4.6/5.0,https://www.walmart.com/ip/Drive-Medical-Lightweight-Steel-Transport-Wheelchair-Fixed-Full-Arms/25514999,"Unbeatable Safety, Convenience and Reliability The SV Steel transport Chair from Drive Medical is everything you want and need in a transport chair Its the perfect combination of durable, longlasting value, dependability and never ending convenienceSpecially designed for users and caregivers alike who need both durability and convenience that comes to you in the form of a steel frame that is forever strong, yet incredibly lightweight and easy to maneuver, this specially built mobile aid is unbeatableUnlike other traditional transport chairs, this gem lets you glide through home doorways, rooms and hallways with ease Youll also appreciate that in addition to its light weight; it also folds up easily, and can be moved in and out of your vehicle in a jiffyThe SV Steel transport Chair comes with a classy and stylish silver finish and is available with a 19&quot; wide seat For extra convenience, each also comes with footrests that swing away, making it especially easy for users to mount and dismount faster, and safer The attractive nylon upholstery makes this chair easy to clean while the armrests are amply padded to give you maximum comfort and support Go aheadExperience the Drive Difference Now",Walmart #  556795134
Drive Medical Blue Streak Wheelchair with Flip Back   ...,$125.52 - $130.80,4.2/5.0,https://www.walmart.com/ip/Drive-Medical-Blue-Streak-Wheelchair-with-Flip-Back-Desk-Arms-Elevating-Leg-Rests-BLS20FBD-ELR/28184367,"A Mobile Masterpiece of Class Durability and Comfort The Blue Streak Wheelchair with Flip Back Desk Arms from Drive Medical represents a new class of leadingedge mobility enhanced wheelchairs that have been engineered and structured, to not only meet, but exceed the growing demands and expectations of users who cherish independence, mobility and comfortIt arrives at your door loaded with features designed to enable and enhance your mobility and comfort Arm rests are fully padded The frame, black cross brace and the nylon upholstery is durable, attractive and easy to cleanThe tires which are made of solid rubber, give you an enormous amount of durability If that wasnt enough, this leading edge mobility aid also requires little to no maintenanceUsers also appreciate that The Blue Streak Wheelchair comes with easy to operate push to lock brakes, along with convenient elevating leg rests that allow you the user, too safely, effortlessly and with convenience, slide in and out of your chairYoull also appreciate the padded desk arms which furnish you with unbeatable comfort, allowing you to slide up as close as you desire, and need to be to tables, and or desks Go aheadExperience the Drive Difference Now",Walmart #  564021497
"Drive Medical Silver Sport 2 Wheelchair, Detachable   ...",$150.67 - $184.32,4.5/5.0,https://www.walmart.com/ip/Drive-Medical-Silver-Sport-2-Wheelchair-Detachable-Desk-Arms-Elevating-Leg-Rests/15423464,"The 20&quot; Silver Sport 2 Wheelchair with Detachable Desk Arms and Swing Away Footrests by Drive Medical comes in an attractive, easy to maintain, powder coated, silver vein finish, and a steel frame for durability The urethane tires are mounted on composite wheels to provide durability and a smooth ride over most surfaces The embossed, nylon upholstery is durable, lightweight, attractive and easy to clean The carry pocket on the backrest provides an easy and safe way to transport personal items Comes standard with swing away, elevating footrests, padded detachable desk arms, push to lock brakes and plastic footplates",Walmart #  563285820
Drive Medical Fly Lite Ultra Lightweight Transport W  ...,$130.19 - $135.44,4.7/5.0,https://www.walmart.com/ip/Drive-Medical-Fly-Lite-Ultra-Lightweight-Transport-Wheelchair/14563679,"The 19&quot; Fly Lite Ultra Lightweight Aluminum Transport Chair by Drive Medical, available in a variety of attractive colors, is an ultra light transport chair, weighing under 17 lbs without riggings This transport chair comes with a stylish blue aluminum frame and blue plaid nylon upholstery It is also durable and easy to clean Comes standard with a carry pocket on the back rest to easily and securely transport personal items, seatbelt for added safety, and tool free, height adjustable swing away footrests The deluxe back release allows the back to be folded down easily, making the chair easy to store and transport",Walmart #  4077591
