23andMe - Personal Ancestry Kit with Lab Fee Included,$69.00,4.0/5.0,https://www.walmart.com/ip/23andMe-Personal-Ancestry-Kit-with-Lab-Fee-Included/981787831,"Get a summary of your Ancestry Composition and see detailed percentages from regions around the world  now with 150 Ancestry Regions 23andMe offers geneticsbased ancestry reports and tools, which means that we analyze your DNA to trace your lineage Trace Your Ancestry Timeline and discover when different ancestries were introduced into your DNA 1 Order the Kit 2 Provide Your Saliva Sample  Follow kit instructions to spit in the tube provided all from home Register your saliva sample tube using the barcode so we know it belongs to you, and mail it back to our lab in the prepaid package 3 In approximately 6 to 8 weeks, we will send you an email to let you know your reports are ready in your online account Log in and start discovering what your DNA says about you",Walmart #  572498897
"First Check Home Drug Test, 4 drugs tested, 1.0 ct",$19.97,3.5/5.0,https://www.walmart.com/ip/First-Check-Home-Drug-Test-4-drugs-tested-1-0-ct/10324995,"Safely and easily use this First Check Home Drug Test and receive fast, accurate results Each package comes with one cup and lid, as well as a mailing label and transportation bag This FDAapproved drug test can detect the most common drug types like marijuana, cocaine and opiates Simple to use, results can be quickly viewed within minutes If desired, the cup can be sent to the official laboratory for result confirmation by using the included address label and sanitary transportation bag Readings are confidential with this First Check drug test They can help keep yourself or a family member safe Receive 99 percent accurate results from a pharmacist recommended brand when you use this First Check Home Drug Test/p",Walmart #  004010158
AZO Test Strips Urinary Tract Infection Test - 3 CT,$9.43,4.6/5.0,https://www.walmart.com/ip/AZO-Test-Strips-Urinary-Tract-Infection-Test-3-CT/10317748,"AZO Test Strips make it easier for you to see if you have a urinary tract infection Each of the pieces is individually wrapped to protect it until youre ready to use it These urinary test strips have long handles, which prevent messes It takes only two minutes to get results The clinically tested strips are effective at picking up traces of nitrite and leukocytes These products are usable by both men and women You can use them to catch an infection when it starts or to monitor the effectiveness of your medication",Walmart #  4016667
23andMe - Personal Ancestry Kit with Lab Fee Include  ...,$69.00,4.0/5.0,https://www.walmart.com/ip/23andMe-Personal-Ancestry-Kit-with-Lab-Fee-Included/981787831,"Get a summary of your Ancestry Composition and see detailed percentages from regions around the world  now with 150 Ancestry Regions 23andMe offers geneticsbased ancestry reports and tools, which means that we analyze your DNA to trace your lineage Trace Your Ancestry Timeline and discover when different ancestries were introduced into your DNA 1 Order the Kit 2 Provide Your Saliva Sample  Follow kit instructions to spit in the tube provided all from home Register your saliva sample tube using the barcode so we know it belongs to you, and mail it back to our lab in the prepaid package 3 In approximately 6 to 8 weeks, we will send you an email to let you know your reports are ready in your online account Log in and start discovering what your DNA says about you",Walmart #  572498897
MyLab Box Uber Box - 8 Panel At-Home STD Test + Mail  ...,$269.00,0.0/5.0,https://www.walmart.com/ip/MyLab-Box-Uber-Box-8-Panel-At-Home-STD-Test-Mail-in-Kit-for-MEN/429601469,"MyLab Box Uber Box  8 Panel AtHome STD Test  Mailin Kit for MEN is a comprehensive private athome test for 8 top highrisk STIs in men Included: 1 mailin urine specimen collection kit and 1 fingerstick blood kit to test for the following infections in men: HIV I &amp; II, Hepatitis C, Herpes typeII, Syphilis, Chlamydia genital, Gonorrhea genital, Trichomoniasis Test kit arrives in a discreet package Test in as little as 5 minutes, mail in your sample using the selfaddressed prepaid envelope, and log in to see your results online in just a matter of days All testing processed in CLIA and CAP certified labs with the highest accreditations available Results are just as accurate as those you would receive after a visit to a clinic or doctors office If you test positive, get free medical consults by phone and, if applicable, treatment Treatment is available for chlamydia, gonorrhea, and trichomoniasis infections Meeting a new partner, whether it is for life or for just an evening, is exciting but also full of potential complications And we are not talking about meeting the parents  we are talking about an issue that affects 110 million Americans today, or in other words 1 in every 3 people you meet  sexually transmitted diseases STDs No, looking clean or not feeling an itch doesnt mean you are in the clear In fact as many as 80% of people infected may not develop symptoms Not to mention they can develop months or even years after the time of infection while you spread the disease all along What can you do to protect yourself? This is where myLAB Box comes in; We are the first and only service that allows you to test for prevalent STDs from home  anytime and anywhere Why go to the lab when you can have the lab come to YOU? Our experts are here to guide you every step of the way Enjoy convenience, peace of mind and a healthier lifestyle in just a click with myLAB Box  order today to get started",Walmart #  568427381
EverlyWell - Food Sensitivity Test,$159.00,5.0/5.0,https://www.walmart.com/ip/EverlyWell-Food-Sensitivity-Test/431657249,"The EverlyWell Food Sensitivity Test is a food sensitivity test you can use at home It measures intolerance levels to 96 commonly found ingredients found in the traditional Western diet This athome food sensitivity test measures intolerance to gluten, dairy, wheat, yeast and many more food items Its quick and easy to complete; simply follow the instructions provided All it takes is a few drops of blood, which you can send to the lab for testing and receive secure results to view online within days Expedited shipping to the lab is included This food intolerance test could be the next step to improving your health and taking control of your diet Its physician approved and a CLIAcertified lab partner   /",Walmart #  566791979
HomeDNA™ Paternity Test Kit for At-Home Use,$14.99,4.7/5.0,https://www.walmart.com/ip/HomeDNA-Paternity-Test-Kit-for-At-Home-Use/396249491,"HomeDNA™ Paternity Analysis  Report for AtHome Use formerly IDENTIGENE brings peace of mind by answering paternity questions with DNA science With decades of experience and over 20,000 locations nationwide, its easy to see why HomeDNA is Americas 1 paternity test brand",Walmart #  567213329
"BACtrack S80 Professional Breathalyzer, Portable Bre  ...",$129.99,4.7/5.0,https://www.walmart.com/ip/BACtrack-S80-Professional-Breathalyzer-Portable-Breath-Alcohol-Tester/11332218,"Powered by BACtracks largest Xtend Platinum Fuel Cell Sensor, the BACtrack S80 Professional Breathalyzer is the most accurate alcohol tester in the BACtrack family, delivering reliable BAC results, with policegrade accuracy From being used as an alcohol detector for employees in businesses, to acting as a breath alcohol tester for patients in clinics or treatment centers, the S80 is perfect for a variety of professional alcohol sensing, detecting and testing applications And because of its reliability and portable design, its also great as a personal BAC breathalyzer Help friends and family make better decisions while drinking with the accurate and affordable BACtrack S80 alcohol breathalyzer",Walmart #  563190909
LetsGetChecked At Home Chlamydia and Gonorrhoea Test,$84.00,0.0/5.0,https://www.walmart.com/ip/LetsGetChecked-At-Home-Chlamydia-and-Gonorrhoea-Test/331805534,"At home STD test to detect the 2 most common infections, with online results in 5 days Infections covered:/p  ul   liChlamydia/li   liGonorrhea/li  /ul  Chlamydia and Gonorrhoea are the two most common STDs Both infections can be symptomless and the only way to detect them is with a test Early detection is crucial in reducing any long term consequences that may have a considerably damaging effect on your health/p  80% of sexually transmitted diseases are asymptomatic do not display any symptoms, however, if symptoms do occur, they are likely to present themselves within two weeks of infection/p  Symptoms of sexually transmitted diseases may include:/p  /p ul   liPainful urination/li   liPain during sexual intercourse/li   liRash on the genitals and/or anus/li   liItching or irritation on the genitals and/or anus/li   liUnusual lumps or bumps around the genitals and/or anus/li   liChange in color of the male or female discharge/li   liAbnormal discharge in terms of smell, consistency or volume/li   liStrong vaginal odor/li   liPainful erections/li  /ul  You should wait a minimum of 3 weeks from the time of sexual intercourse before taking your test; sexually transmitted diseases can take a period of time to become detectable and you must wait to ensure an accurate result/p  You should get tested if:/p  /p ul   liyou become sexually active/li   liyou have had unprotected sex/li   liyou are experiencing symptoms of a sexually transmitted disease/li   liyou are entering into a new sexual relationship/li   liyou have received a notification from a previous partner that they are infected STDs can remain dormant for years and/ or take up to three weeks to become detectable/li  /ul  Purchase your confidential, at home test from Walmart and have it delivered straight to your door, in a matter of days When your test arrives, you must activate the testkit at a href=",Walmart #  572026314
MyLab Box Chlamydia + Gonorrhea At-Home Test + Mail-  ...,$79.00,0.0/5.0,https://www.walmart.com/ip/MyLab-Box-Chlamydia-Gonorrhea-At-Home-Test-Mail-in-Kit-for-WOMEN/599007914,MyLab Box Chlamydia  Gonorrhea AtHome Test  Mailin Kit for WOMEN tests for 2 of the top highrisk STIs in women from the privacy of home Included: 1 mailin vaginal swab collection kit to test for genital chlamydia and genital gonorrhea in women,Walmart #  568427163
