Drive Medical Bobcat X4 Compact Transportable Power   ...,$599.00,4.0/5.0,https://www.walmart.com/ip/Drive-Medical-Bobcat-X4-Compact-Transportable-Power-Mobility-Scooter-4-Wheel-Red/38445522,"Drive's latest lightweight transportable scooter is a heavyweight when it comes to comfort, performance, and value. The new Bobcat X is the perfect entry-level scooter providing mobility that is comfortable, reliable, and affordable. The ultra-lightweight Bobcat X also boasts a wealth of features that take it a step beyond basic transportation."
"Drive Medical Scout Compact Travel Power Scooter, 4   ...",$768.90 - $799.00,4.3/5.0,https://www.walmart.com/ip/Drive-Medical-Scout-Compact-Travel-Power-Scooter-4-Wheel/33651307,"The Scout transportable scooter combines easy and convenient mobility with superior value. The Scout is compact, lightweight and easy to disassemble-perfect for taking wherever you want to go, either around the neighborhood or far from home. It can be disassembled quickly and easily into five easy-to-handle pieces for loading into a car, truck, or van and taking shopping or on vacation. The four-wheel version of the Scout allows for enhanced stability on rougher outdoor terrain. The Scout also offers great features like a quick connect battery pack and a delta-style tiller to make operating the scooter easier for those with limited strength or dexterity. This model comes with color-through panels to hide scuffs and scratches and black wheel rims."
"Drive Medical Scout Compact Travel Power Scooter, 3   ...",$679.00 - $779.00,4.7/5.0,https://www.walmart.com/ip/Drive-Medical-Scout-Compact-Travel-Power-Scooter-3-Wheel/33651302,"The Scout transportable scooter combines easy and convenient mobility with superior value. The Scout is compact, lightweight and easy to disassemble-perfect for taking wherever you want to go, either around the neighborhood or far from home. It can be disassembled quickly and easily into five easy-to-handle pieces for loading into a car, truck, or van and taking shopping or on vacation. The three-wheel version of the Scout allows for nimbly negotiating indoor obstacles. The Scout also offers great features like a quick connect battery pack and a delta-style tiller to make operating the scooter easier for those with limited strength or dexterity. This model comes with color-through panels to hide scuffs and scratches and black wheel rims."
Drive Medical Bobcat X3 Compact Transportable Power   ...,$579.00,3.9/5.0,https://www.walmart.com/ip/Drive-Medical-Bobcat-X3-Compact-Transportable-Power-Mobility-Scooter-3-Wheel-Red/38445318,"Drive's latest lightweight transportable scooter is a heavyweight when it comes to comfort, performance, and value. The new Bobcat X is the perfect entry-level scooter providing mobility that is comfortable, reliable, and affordable. The ultra-lightweight Bobcat X also boasts a wealth of features that take it a step beyond basic transportation."
Roscoe Medical Knee Walker Scooter with Basket and P  ...,$143.00 - $179.00,4.1/5.0,https://www.walmart.com/ip/Roscoe-Medical-Knee-Walker-Scooter-with-Basket-and-Padded-Seat-Black/30329307,Retain your independence while recovering with this Black Roscoe Medical Knee Walker/Scooter. It's ideal for patients who are undergoing physical therapy and are working towards getting back on their feet. This walker with wheels provides comfort and ease of mobility. It has a padded knee platform and adjustable hand brakes with grips for comfort and full control. It also includes large 8&quot; clear PU wheels with sealed bearings. This Black Roscoe Medical Knee Walker/Scooter is suitable for indoor and outdoor use. It has an easy folding mechanism that collapses using a thumb release lever and it fits underneath the raised knee platform for convenient storing and transporting. This walker with wheels can support of to 350 lbs. It also has an offset post located on the knee platform that enables you to make right-to-left adjustment without the need for tools.
"Shoprider Echo 3 Wheel Scooter, Blue, 70 Pound",$599.00,4.0/5.0,https://www.walmart.com/ip/Shoprider-Echo-3-Wheel-Scooter-Blue-70-Pound/30257726,
Silver Spring SC400-V2 Hitch Power Scooter Wheelchai  ...,$205.99,4.6/5.0,https://www.walmart.com/ip/Silver-Spring-SC400-V2-Hitch-Power-Scooter-Wheelchair-Carrier-Rack/29389754,"Discount Ramps improved version and next generation V2 power scooter hitch-mounted medical wheelchair carrier rack featuring innovative ramp connector brackets, integrated carrying handles, improved visibility, and makes it conveniently easy to transport a mobility scooter. A quick, simple, safe, and affordable means for transporting scooters or wheelchairs with a vehicle hitch. Loading ramp measures 42&quot; long x 27.5&quot; wide. The platform measures 46.5&quot; long x 28&quot; wide, providing enough space for most of today\'s mobility devices; 3.125&quot; high side rails feature 11 different tie down points for securing the power wheelchair or scooter to the rack. Folds up when not in use, and with a 400 lb. capacity, the SC400-V2 can quickly attach to most 2&quot; Class III or IV hitch receivers. Manufactured by Discount Ramps IC 042. US 100 101 Trademark 4,192,958 - SC400-V2 Specifications: Center of 5/8&quot; Hitch Pin Hole to Carrier - 7&quot; folded, 14.75&quot; unfolded. Center of 5/8&quot; Hitch Pin Hole to Back of Carrier 14.5&quot; folded, 44-7/8&quot; unfolded. 11-14&quot; Hitch Height. 27&quot; Maximum scooter or wheelchair width. Most Class III hitches are rated for 500 lbs. Most Class IV hitches are rated for 1000 lbs. Vehicle Hauling Capacity: Your hauling weight may be limited by your vehicle\'s capacity to carry a load. Will not work with class II or smaller receivers. Some vehicles may require air shocks or heavier springs to stiffen up the suspension to prevent sagging. Please check with your dealer to find out if your vehicle\'s carrying capacity. For safety, do not use the SC400-V2 hitch carrier with tow-behind trailers including 5th wheel trailers and camping trailers or with hitch adapters and extensions. Large platform with multiple tie-down points to secure a power scooter or cargo Easy to use integrated loading ramp locks into place with (2) spring pull pins Designed for safe and stable use with 2&quot; Class III or IV hitch receivers Heavy duty black paint coat steel construction with a reinforced mesh deck and Discount Ramps Logo on the tray Manufactured by Discount Ramps IC 042. US 100 101 Trademark 4,192,958"
EV Rider MiniRider MiniRider 4 Wheel Travel Scooter,"$979.00 - $1,299.00",0.0/5.0,https://www.walmart.com/ip/EV-Rider-MiniRider-MiniRider-4-Wheel-Travel-Scooter/112314070,"Overcome your physical challenges with EV Rider MiniRider 4-Wheel Travel Scooter. This portable vehicle combines comfort with convenience. It's compact in size and disassembles easily.The EV Rider mobility scooter comes with a folding deluxe seat, which has adjustable flip-up armrests for easy entering, exit and transfers. In addition, the seat swivels 360-degrees and its height is adjustable for customization and personal comfort.The deep cushions on the seat provide maximum comfort. Anti-tip wheels on the rear of the scooter provide additional safety. This motorized mobile scooter uses a 400 watt motor and it has a cruising range of 15 miles on a single battery charge. Available in metallic blue or metallic red, this 4-wheel handicap scooter is ideal for disabled or physically challenged adults, as well as for the elderly."
Buzzaround EX Extreme 4 Wheel Mobility Scooter,"$1,575.00",0.0/5.0,https://www.walmart.com/ip/Buzzaround-EX-Extreme-4-Wheel-Mobility-Scooter/104216736,"The all new Golden BuzzAround Extreme Scooter features the portability and easy disassembly of a lightweight scooter with the amazing benefits of a full size scooter. The BuzzAround Extreme Scooters come standard with 2 U1 batteries, industry leading and the largest battery in this category, for maximum operating range up to 18 miles. The Extreme also features a brand new ultrabright LED headlight and taillight, 330 pounds weight capacity, larger 9&quot; tires, and comfort suspension springs for the smoothest ride. Go the extra mile on a BuzzAround Extreme Scooter."
4 Wheel Heavy Duty 500lbs. Wt. Capacity Scooter with  ...,"$2,999.00",5.0/5.0,https://www.walmart.com/ip/4-Wheel-Heavy-Duty-500lbs-Wt-Capacity-Scooter-with-Electromagnetic-Brakes-Red-EWHEELS/45010939,
