Drive Medical Four Wheel Rollator Rolling Walker wit  ...,$55.40 - $58.49,4.6/5.0,https://www.walmart.com/ip/Drive-Medical-Four-Wheel-Rollator-Rolling-Walker-with-Fold-Up-Removable-Back-Support/28647754,"Supreme Durability, Safety and Quality In keeping with Drive Medical's tradition of fine craftsmanship and unmatched value, this Four Wheel Rollator Walker with Fold Up Removable Back Support continues to lead the charge when it comes to design, quality and value.A mobility aid in a league all of its own, this walker comes highly recommended by those who seek strength, support, durability and comfort, all mixed with a touch of class. The Four Wheel Rollator Walker comes complete with a padded backrest which is hinged and is removable by folding it either up or down. It also arrives with comfortable seating along with a convenient carrying basket which you can use to store personal items.The 7.5 inch non-marring wheel casters are ideal for both indoor and outdoor use, as are the easy to use deluxe loop locks. But that's not all; you also get ergonomic handles that can be adjusted according to your height, making the gripping of handles especially convenient and comfortable, while eliminating undue stress on hands and joints.With the Four Wheel Rollator Walker as your travel companion, there is no need to overstretch yourself, because this rollator doubles as a comfortable and welcomed chair, giving you an opportunity to rest and refresh yourself anywhere and at any time. Go ahead...Experience the Drive Difference Now!"
"Medline Steel Foldable Rollator Walker with 6"" Wheel  ...",$53.94,4.1/5.0,https://www.walmart.com/ip/Medline-Steel-Foldable-Rollator-Walker-with-6-Wheels-Green/40825479,"Increase your mobility with the Medline Steel Foldable Rollator Walker. It provides higher weight capacity of around 350 lbs, so it is ideal for a wide range of users. Made out of steel, this Medline rollator walker is durable and sturdy. It is equipped with a wheel brake lock for better control and added safety. The height of the handles is adjustable. You can increase the height in 1&quot; increments for easy customization. Each handle is easy to hold, as the shape adapts naturally to the hand for nice grip and maneuverability. It is already assembled. Simply attach the handle bars, and it is ready for use. The Medline rollator walker features an ultra-soft padded seat for a comfortable place to rest and relax. The seat conveniently lifts up and provides access to a sizable storage bag that keeps your important items close by. This walker with wheels folds compactly for easy storage and transportation, so you can always have it with you."
Drive Medical Deluxe Two Button Folding Walker with   ...,$28.39,4.7/5.0,https://www.walmart.com/ip/Drive-Medical-Deluxe-Two-Button-Folding-Walker-with-5-Wheels/40877930,"For a safe, convenient aid to performing daily activities, a walker can be the ideal solution. Drive's new Deluxe Folding Walker combines the strength and durability with lightweight ease of use. The walker features a unique push button mechanism for easy folding. Its U-shaped frame offers greater clearance while its enhanced cross-frame design provides you with greater stability. The Folding Aluminum Walker offers 5&quot; wheels and newly designed rear glide caps for use on many types of terrain, while the contoured hand grip and adjustable height make the Folding Aluminum Walker comfortable to use."
Carex Steel Rollator Walker with Seat and Backrest,$46.49,3.8/5.0,https://www.walmart.com/ip/Carex-Steel-Rollator-Walker-with-Seat-and-Backrest/48676819,"The Carex Steel Rolling Walker Rollator with Padded Seat and Backrest has the features you need for safe and simple walking assistance. It has a padded seat and backrest that provides a comfortable resting spot wherever you go. The 6&quot; wheels have lockable handbrakes that let you maneuver and stop with little effort. This folding walker rollator includes a convenient storage area under the seat to safely hold your personal items, such as a purse, wallet and shopping bags. It collapses easily so that you can store it out of the way when it's not in use. The assembly is quick and tool-free."
"Equate Rolling Walker, Black",$89.00,4.6/5.0,https://www.walmart.com/ip/Equate-Rolling-Walker-Black/14179110,"<p>The versatile Equate Rolling Walker has the portability and flexibility to help people who need assistance for walking. The ergonomic hand grip provides comfort and control, and the hand brakes lock for safety. When needed, it folds compactly for transport or storage. Enjoy the wide comfortably padded seat, and keep your personal items in the box below. Get much-needed stability and assistance for moving around the house and outside with Equate Rolling Walker</p> <p>Making the right health decisions can be challenging. With a complete range of products and simple solutions, Equate allows you to take care of your family with confidence.</p> <br />"
Drive Medical Adjustable Height Rollator Rolling Wal  ...,$69.99 - $76.99,4.5/5.0,https://www.walmart.com/ip/Drive-Medical-Adjustable-Height-Rollator-Rolling-Walker-with-6-Wheels/17284823,"If you're seeking a safe, convenient aid to improving your daily mobility, a Rollator can be the ideal solution. Wheels make a Rollator a superior option over a standard walker, eliminating the need to lift the device and allowing you to walk with an easy, smooth gait. Plus, Rollators are better for traveling over uneven, outdoor terrain, making them great for your active, busy lifestyle. And with the built-in seat found on a Rollator, you'll always have a convenient place to rest. Drive's Rollator with 6&quot; Casters is the perfect unit to suit your needs and your style. It's designed and built for maximum comfort, durability and ease of use with quick folding ability and simple handle height and angle adjustment. It has a unique seamless padded seat for maximum sitting comfort and ease of care. The backrest is also padded and large soft grip wheels ensure smooth travel over a variety of different terrains. It even has a convenient, zippered pouch for privately and securely carrying items with you on the go."
"Medline Steel Rollator Walker, Burgundy, 350 lbs Cap  ...",$54.99,4.5/5.0,https://www.walmart.com/ip/Medline-Steel-Rollator-Walker-Burgundy-350-lbs-Capacity/37617768,"Imagine having the freedom to live a more active life with the Medline Steel Rollator Walker. It adds stability and reduces stress on your body, which helps you walk faster and farther. Created with a sturdy frame, this Medline Rollator walker easily supports users weighing up to 350 lbs. The height of the handgrips and the seat are adjustable, allowing a customized fit for people ranging from 4'11&quot; to 6'4&quot;. Additionally, this lightweight accessory weighs in at only 19 lbs and folds flat when not in use, making it easy to transport and store when traveling. This walker with seat features a comfortable cushion and a curved padded back rest, providing a place to sit and rest. The legs are designed in a beautiful burgundy color and have a powdered-coated finish, which easily resists nicks and scratches. A water-resistant storage bag secures to the frame, providing a place to carry belongings, while leaving your hands free"
"Medline Steel Foldable Rollator Walker with 8"" Wheel  ...",$73.35,5.0/5.0,https://www.walmart.com/ip/Medline-Steel-Foldable-Rollator-Walker-with-8-Wheels-Red/40824169,"Classically designed, value priced Constructed of a durable powder-coated steel Comes standard with convenient storage bag under the seat"
"Medline Empower Rollator, Blue",$129.00,4.6/5.0,https://www.walmart.com/ip/Medline-Empower-Rollator-Blue/45582397,"The Medline Empower is a multipurpose rolling walker that can adjust in a variety of ways to make it easy for customization. Fusing together user feedback and technology, Medline has created a comfortable, adjustable and dependable option for those looking for an advanced rolling walker. The Empower weighs only 17 lbs. and supports users up to 300 lbs. Simple seat latch lifts the seat allowing space to walk into the rolling walker for step-in support. Folds completely flat, making it easy to store."
"Medline Ultra Lightweight Rollator, Burgundy",$99.00,4.3/5.0,https://www.walmart.com/ip/Medline-Ultra-Lightweight-Rollator-Burgundy/7983648,"Have the freedom of mobility when and where you need it with the Medline Ultra Lightweight Freedom Rolling Rollator walker. This device makes you more mobile by adding stability. It also reduces stress on your body, which helps you walk faster and farther. At only 11 pounds, this durable Medline rollator walker is 40 percent lighter than most wheeled walkers available. Its reinforced aluminum frame is safe and easy to maneuver, and the swivel front wheels and easy grip brakes provide added control, even across rough terrain. This Medline Ultra Lightweight Rollator can support users weighing up to 250 lbs. The height of the handgrips and seat is adjustable and suitable for users from 4'11&quot; to 6'4&quot;, so it's versatile and customizable for a wide variety of users."
