Carex Black Adjustable Offset Walking Cane,$11.45,4.5/5.0,https://www.walmart.com/ip/Carex-Black-Adjustable-Offset-Walking-Cane/9894417,"This Carex Black Adjustable Walking Cane is designed to make getting around easier. It features a soft, cushioned handle with a wrist strap for improved comfort and grip. It is easy to adjust the height from 29&quot; to 38&quot;. This aluminum black cane is lightweight and has a 3/4&quot; tip and can support users up to 250 lbs."
"Carex Offset Adjustable Designer Walking Cane, Blue",$12.99,4.3/5.0,https://www.walmart.com/ip/Carex-Offset-Adjustable-Designer-Walking-Cane-Blue/9894415,"Get around town easily and in style with this Carex Offset Adjustable Designer Walking Cane. It's made of a high-quality material and easy to use. This blue walking cane adjusts from 31&quot; up to 40&quot; with a simple push of a button. It also features a soft cushioned, ergonomic handle with a convenient wrist strap for sustained comfort and control. Plus, it has a flat, non-slip rubber tip on the bottom that promotes stability and prevents damages to surfaces. The stylish finish gives it an elegant appearance. It can support up to 250 lbs."
HurryCane HurryCane Freedom Edition Folding Cane wit  ...,$32.50 - $39.95,4.1/5.0,https://www.walmart.com/ip/HurryCane-HurryCane-Freedom-Edition-Folding-Cane-with-T-Handle/54055466,"Cutting-edge, patented technology allows the HurryCane, the #1 selling cane in America, to feel like a seamless extension of the body. The HurryCane is unrivaled thanks to industry-leading innovations. A SteadiGrip base simulates your foots natural stabilizing points, increasing traction and improving balance. To further maximize stabilization, the HurryCane automatically flexes on inclines, uneven ground, and fluctuating terrain both inside and outdoors. Effortlessly fold the HurryCane to one-third its normal size for compact storing whenever needed, and easily flip back out for continued use. To find the perfect fit that will provide lasting comfort, adjust the cane height between 30.5&quot; to 37.5&quot; by simply pushing the button located on the handle. Feel confident using the durable HurryCane to ensure the next steps you take are safe. The HurryCane is tested to support up to 350 pounds."
"Equate Comfort Grip Cane, Black",$13.74,3.5/5.0,https://www.walmart.com/ip/Equate-Comfort-Grip-Cane-Black/14179114,"<p>Get much-needed stability and assistance for your daily walking with Equate Comfort Grip Cane. It features a cushioned grip for a snug hold while walking, along with a holding strap so that the cane doesn't fall away. It can easily be height adjusted with the push of a button and remains securely locked when in use. It is lightweight but sturdy, with a weight capacity of 300 lbs. The slip resistant rubber tip provides additional traction. Experience a convenient option for walking with assistance with the Equate Comfort Grip Cane.</p> <p>Making the right health decisions can be challenging. With a complete range of products and simple solutions, Equate allows you to take care of your family with confidence.</p> <br />"
Medline Quad Cane Small Base Black,$12.58,4.3/5.0,https://www.walmart.com/ip/Medline-Quad-Cane-Small-Base-Black/9894033,"The Medline Small Base Quad Cane gives you more support than a traditional cane. Secured with nonskid rubber tips for added safety, the unit does not slip on smooth surfaces. This walking stick provides extra stability with its unique design and push-button locking feature. The black cane has a sleek finish that resists scratching to stay looking newer for longer. You can adjust the height to suit your body for more comfortable use. This aluminum quad cane is lightweight and strong enough to hold up to lots of regular use. It's also immune to rust for a longer service life. There's no assembly required; this walking stick is ready to use right out of the box."
Lightweight Tripod Cane Tip Self standing Non-slip r  ...,$5.99,0.0/5.0,https://www.walmart.com/ip/Lightweight-Tripod-Cane-Tip-Self-standing-Non-slip-replacement-Walking-Stick-Quadruple-for-Cane/472368888,"<ul>  <li>Package Included:1 Crutches Tripods </li>  <li>Feature </li>  <li>This cane base makes most canes self standing, while traction is increased on varied terrain including grass, gravel and sand due to the tread pattern on the bottom of this cane tip as well as the extra width of the tip. It is made of rubber for durability, quiet walking and flexibility. the bottom of the hole has a piece of steel molded in so your cane will not break through. Best of all if you drop your cane just simply press one lug with your foot and it will return to a standing position. </li> </ul>"
Yaheetech Adjustable Folding Walking Stick Aluminium  ...,$8.39,4.5/5.0,https://www.walmart.com/ip/Yaheetech-Adjustable-Folding-Walking-Stick-Aluminium-Easy-Light-Weight-Support-Aid-Cane-Black/188582152,This Yaheetech Adjustable Foldable Walking Stick is made from a strong and lightweight aluminium alloy material. It features an ergonomically shaped handle for a comfortable grip. This lightweight walking stick includes four levels of adjustment. It also folds for easy storage in a bag or backpack. This item is ideal to use for walking and hiking and includes a durable tip for enhanced grip on a variety of surfaces. It also includes a wrist strap to prevent it from falling when you are walking.
"Equate Folding Cane, Black",$18.74,5.0/5.0,https://www.walmart.com/ip/Equate-Folding-Cane-Black/14179136,"<p>Get much-needed stability and assistance for your daily walking with Equate Folding Cane. It folds at three points along the shaft for easy storage in a purse or a briefcase. It remains securely locked when open for walking and can easily be height adjusted with the push of a button from 33&quot; to 37&quot;. It is lightweight but sturdy, with a weight capacity of 300 lbs. The slip resistant rubber tip provides additional traction. The handle is designed ergonomically for a comfortable grip. Experience a convenient option for walking with assistance with the Equate Folding Cane.</p> <p>Making the right health decisions can be challenging. With a complete range of products and simple solutions, Equate allows you to take care of your family with confidence.</p> <br />"
"Hugo QuadPod Offset Cane with Ultra Stable Cane Tip,  ...",$26.95,4.6/5.0,https://www.walmart.com/ip/Hugo-QuadPod-Offset-Cane-with-Ultra-Stable-Cane-Tip-Aquamarine/17753865,"<p>Get extra support for walking with the Hugo QuadPod Offset Cane. This device can accommodate people who are between 5' and 6'5&quot; tall. This adjustable cane is durable, versatile and stylish. The cane tip is 54 percent lighter and 80 percent more compact than a large-base quad cane. The unique design re-centers itself for maximum stability and allows the device to stand independently. The ultra-stable QuadPod cane incorporates push buttons to provide 12 precision height settings and can support up to 300 lbs. The ergonomic shock-absorbing cushion-top handle is designed to fit more comfortably in your hand and has a reflective strap for added nighttime safety. This mobility aid is manufactured of heavy-gauge anodized aluminum to provide durability, while also being lightweight and easy to transport.<br /></p>"
LivingPro All Terrain LED Folding Walking Cane- 6 Ul  ...,$20.95,5.0/5.0,https://www.walmart.com/ip/LivingPro-All-Terrain-LED-Folding-Walking-Cane-6-Ultra-Bright-Built-In-LEDs-Folds-in-Seconds-5-Adjustable-Height-Levels/689463532,"ALL TERRAIN WALKING CANE-Stabilizes like a foot: Just like the human foot, the base gives you 4 points of contact for superior balance and stability <br /> <br />EQUIPPED WITH 6 ULTRA BRIGHT LEDs- The 6 built-in LED lights safely guide you in the dark and can be adjusted to the optimal angle that suits your need. <br /> <br />FOLDABLE CANE DESIGN STYLE- The cane itself can be folded in seconds, and stands up on its own, conveniently take it wherever you go. <br /> <br />COMFORT CUSHION HANDLE- Pivoting head for easy walk any type of terrain Cushion handle for extra comfort <br /> <br />5 DIFFERENT HEIGHT LEVEL- The height ranging from 31.5 inches to 37.5 inches which can be adjusted easily to fit your height."
