Drive Medical Premium Series Shower Chair with Back   ...,$36.99,4.7/5.0,https://www.walmart.com/ip/Drive-Medical-Premium-Series-Shower-Chair-with-Back-and-Arms/17351503,"Top of the Line Safety and Bathing Support The Drive Medical Premium Series Shower Chair with Back and Arms is the ultimate in mobility self-empowerment. As a user, you are guaranteed your bathing experience will be one that is safe, carefree and pleasant. Built for individuals who require additional safety measures that assist you with mobility and balance while entering and exiting the bath or shower, this state of the art seat has been designed to comfortably accommodate all shapes and sizes. The lightweight design comes with large stable legs which are complimented by soft non-slip feet, ensuring your safety at all times. It also comes with tool free height adjustment. The back, as well as the legs and arms can also be removed as well, making it an item that is flexible, easy to store, pack away and transport. Designed to give you maximum comfort, efficiency, safety, and ease of use, the Drive Safety Shower Chair is strong, durable and dependable. It's everything you need in a shower safety bench seat.If you experience dizziness, or you're unsure of your footing due to mobility issues when it comes time to bathe...You can now help rid yourself of this stress and worry as bathing once again becomes relaxing and pleasurable, thanks to Drive Medical's Premium Series Shower Chair with Back and Arms. Go ahead...Experience the Drive Difference Now!",Perfect for a stand up shower
Drive Medical Steel Folding Bedside Commode,$35.79,4.5/5.0,https://www.walmart.com/ip/Drive-Medical-Steel-Folding-Bedside-Commode/10728124,,"Diabetes Health Systems is NOT and authorized Drive Medical dealer.  This item is not returnable under any circumstances although it appears the shipment I received appears to have been opened and returned before I received it. Does this look like a properly packed and shipped NEW, never opened product?"
Bath and Shower Step Stool with Handle,$34.50,4.0/5.0,https://www.walmart.com/ip/Bath-and-Shower-Step-Stool-with-Handle/113241531?wpa_bd=&wpa_pg_seller_id=5959E8862ED44DE4A52D627509043FD4&wpa_ref_id=969c21c258d9c42de844c83f604ae582&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=3&wpa_plmt=__plmt__&wpa_aduid=__aduid__,"<p>The Bath and Shower Step Stool with Handle will allow you to get in and out of the tub or shower safely in one easy step. According to the CDC, over 200,000 people injure themselves each year in the bathroom, and the majority of these incidents occur around the tub. This lightweight step stool can help you avoid being a statistic by helping you get in and out safely and easily before and after your shower or bath. The 34&quot; tall handle and textured platform with non-slip rubber grip are made of sturdy, high-quality steel and provide you with a firm surface to support your body weight. The platform of the steel step stool holds up to 500 lbs, and it has rubber feet that help to keep this handy piece of equipment firmly in place. It's ideal for those who have mobility or balance issues in order to prevent falling. The Bath and Shower Step Stool with Handle can be used with almost any bathtub or shower to ensure added safety in your home. </p> <strong>Bath and Shower Step Stool with Handle:</strong>","This product is easy to put together.  I thought the product was very sturdy, but
my 94 year old father did not think it was sturdy enough for him to use.  My father is
5' 9"" , 180 lbs.  He is healthy except that his legs give him trouble.     He 
says he has a problem raising his legs to get into the bathtub.  He did not think that
this product was large enough or sturdy enough to hold him without making him
feel like he would fall.  It may make him nervous, but I personally don't feel like it
would break or cause him to fall.  I guess the person who will use this product will have their own opinion depending on their circumstance and problem.

Over a great product in my opinion!"
Drive Medical Plastic Tub Transfer Bench with Adjust  ...,$55.88,4.6/5.0,https://www.walmart.com/ip/Drive-Medical-Plastic-Tub-Transfer-Bench-with-Adjustable-Backrest/17284709,"This plastic transfer bench by Drive Medical accommodates any bathroom because of its reversible bench and extension legs with extra large suction cups that lock provide added versatility and safety. The &quot;Dual Column&quot; extension legs height adjust in 1/2&quot; increments. Sturdy &quot;A&quot; frame construction, durable blow-molded plastic bench and backrest ensure maximum stability. This products features tool-free assembly leaving no hardware exposed.","I bought the plastic transfer bench to replace an older one given to me by my dad that was falling apart and rusting. I was afraid that the price paid meant that it wouldn't be very sturdy. Much to my surprise, it was very sturdy and I'm very pleased with the purchase. The 2 ""inside"" legs have suction cups which mean that the bench won't accidentally slide during my shower."
Deluxe Urinal with Hanging Lid 1 Count,$4.47,3.7/5.0,https://www.walmart.com/ip/Deluxe-Urinal-with-Hanging-Lid-1-Count/156815373?wpa_bd=&wpa_pg_seller_id=DABA61A51AA444798605B2E5391AF8EA&wpa_ref_id=a01e33dd47d579987f2cb9dacb8a2650&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=5&wpa_plmt=__plmt__&wpa_aduid=__aduid__,This Deluxe Plastic Urinal with Hanging Lid lets you easily fill waste while being able to visualize the contents and fullness of the inside. A specially designed handle has notches so that you can hang it on most styles and sizes of bed rails. An odor shield is marked &quot;urinal&quot; just in case this hospital urine is mistaken for something else. It can be placed vertically or horizontally and it's large looped handle lets you handle it much more easily. A wide base allows it to stand more easily and avoid spilling.,These Urinals are a bit thinner walled than I was hoping. They work but hope they hold up.
Medline Bath Chair with Microban Antimicrobial Treat  ...,$35.26,4.3/5.0,https://www.walmart.com/ip/Medline-Bath-Chair-with-Microban-Antimicrobial-Treatment/25560962,"The Medline Bath Chair with Microban Treatment prevents the growth of microbes that can cause stains and odors. It comes equipped with non-slip grips on the feet to keep it from slipping and sliding in bathtubs or across shower floors. This Medline chair features legs that can be adjusted to accommodate users of different heights. It provides you with a place to sit and rest while bathing or shaving. The shower bench is comfortable, supportive and can hold up to 300 lbs safely. It stays flat on the floor without flipping over and reduces the likelihood of injuries occurring from slips or falls. The Medline Bath Chair with Microban treatment is mold- and mildew-resistant. It's also lightweight and simple to move for cleaning or just to get it out of the way when not in use.  <br />","My Mom is getting older and feels unsteady on her feet, I have been looking for a bath bench for a while now . This Medline Aluminum frame bath bench seems to be exactly what we were looking for.
The Bath Bench was very easy to put together.
The height of the seat is fully adjustable, for taller or shorter people.
There are 3 handles two on the seat one on the back which can also help you get in and out of the tub.
The width is perfect long enough to sit and I tried it out I am 5'11 and have wide legs plenty of room but still small to fit in the tub nicely .
There are rubber feet to keep the Bench from moving around . I felt secure .
The bench is very lightweight my Mother can easily move the bench around by herself.
The seat is nice and comfortable it has holes so the water can drain easily. The seat of the bath bench also features built in Microban antimicrobial protection to prevent the growth of stain and odor causing bacteria,mold and mildew to keep it cleaner for longer.
We are very satisfied with the Medline aluminum frame bath bench and recommend it to you . It allows my Mother a great sense of security while being able to take care of her personal need by herself."
Stander Security Pole and Curve Grab Bar - Tension M  ...,$159.00 - $193.71,4.7/5.0,https://www.walmart.com/ip/Stander-Security-Pole-and-Curve-Grab-Bar-Tension-Mounted-Transfer-Pole-and-Rotating-Handle/14292594,Get up from a sitting position with the assistance you need by using The Stander Security Pole And Curve Grab Bar. It is styled in a couple of color options to match your decor along with a grab bar that rotates and locks every 45 degrees and is strong enough to support up to 300 lba. This tension mounted pole adjusts to fit ceilings from 7' to 10' high and is made to prevent scratches and markups on your floor and ceiling. It features a top H-Frame that distributes tension through the ceiling giving you the support you need to get up and down every time. The security pole grab bar allows you the freedom to move it to any room in the house at any time,"Well made product, easy to assemble. Fast delivery, on time. Doesn't work in my husbands situation. If grab bars were adjustable for height, it would probably work fine. he is 6'5"" and needs to pull himself up on a stiff leg. Bars are too low. Emailed manufacturer to see if there was a way we could reconfigure to adjust, have not received a reply. I would return but have thrown away packaging. Was very excited about the concept, but disappointed in the reality."
Medline Height Adjustable Transfer Bench with Backre  ...,$66.49,4.6/5.0,https://www.walmart.com/ip/Medline-Height-Adjustable-Transfer-Bench-with-Backrest-Tool-Free-Assembly/7983649,"Limited mobility can make bathing difficult for both patients and caregivers, but the Medline Transfer Bench with Back makes it less of an onerous task for both parties. This item is ideal for those who are at risk for falls: the user can sit down on the outside of the bathtub, swing their legs over the tub wall and enter the tub by grasping the armrest and sliding across the plastic transfer bench. The legs and backrest are height-adjustable to fit different tubs and for added stability and comfort. This adjustable transfer bench features a strong anodized aluminum frame for sturdy support of up to 300 lbs. Suction cups on two of the legs offer balance and support. Non-skid, non-marring rubber tips protect the tub and also prevent slips. It's not recommended for tubs with glass doors. Extra tools aren't required for assembling the Medline Transfer Bench with Back.",I love it so much
Equate Bedside Commode,$59.00,4.6/5.0,https://www.walmart.com/ip/Equate-Bedside-Commode/598661420,"This 3-in-1 commode can be used bedside, over the toilet or by removing the seat to use as toilet safety rails. For each use, it provides strong, stable support on a lightweight frame that makes it easy to move from room to room. Folds open and closed with ease to make storage or transport a breeze. Adjust to perfect height with easy-to-use locking push buttons. An elongated seat provides more comfort than typical round seats. Both the seat and lid both snap on and off for easy cleaning. <p>Making the right health decisions can be challenging. With a complete range of products and simple solutions, Equate allows you to take care of your family with confidence.</p>","This bedside Commode is very comfortable, convenient, strong and stable. It was very easy to set up and folds easy for storage.  This bedside Commode has greatly helped me because it is very difficult for me to walk to the bath  during night time. Would highly recommend it for anyone with mobility issues."
"Equate Locking Raised Toilet Seat with Handles, Whit  ...",$39.53,4.5/5.0,https://www.walmart.com/ip/Equate-Locking-Raised-Toilet-Seat-with-Handles-White/14179132,"<p>Is old age or injury hindering your ability to sit on the toilet? Equate Locking Raised Toilet Seat provides assistance to those with bending and sitting difficulties by adding 5 inches to the height of your toilet seat. It fits most standard, elongated bowls and has a locking mechanism to secure it in its place. It has two comfort handles on the side whose distance can be adjusted for an optimum support. You can choose to use the seat without the handles as well. It is easy to install without any tools, and equally easy to clean without much effort. Experience a comfortable way of sitting and getting up from the toilet with Equate Locking Raised Toilet Seat with Handles.</p> <p>Making the right health decisions can be challenging. With a complete range of products and simple solutions, Equate allows you to take care of your family with confidence.</p> <br />","The Equate Locking Raised Toilet Seat has been fantastic for my self and my parents. It���s very sturdy, and it's height makes it easy to get up and down off of it and the handles gives us feel more secure. Now we can go to the restroom without assistance and that's truly liberating."
