Height Adjustable Hand Bed Rail for Home Beds,$35.65 - $62.30,4.7/5.0,https://www.walmart.com/ip/Height-Adjustable-Hand-Bed-Rail-for-Home-Beds/35306101,"The Endurance Hand Bed Rail with Pouch is designed to help users get in and out of bed. Unit includes a securing strap to attach rail to bed frame. Height adjustable at insert point from 17 to 21 inches with a 20-inch wide, non-slip hand grip. Will break down for travel and will fit in most large suitcases. Easy to install between mattress and box spring with tool free assembly. Will fit most beds and extends three feet under mattress with non-slip foam sleeves to keep it in place. Warning: the Endurance Hand Bed Rail is not intended or designed to ensure that the user is confined to bed. If the user is at risk to roll out of bed, a hospital style bed rail should be used. The Endurance Hand Bed Rail is designed to help the user get in and out of bed safely.",My mother said it is a great help getting up out of bed
Stander EZ Adjust Home Bed Rail -Length Adjustable a  ...,$99.00,4.7/5.0,https://www.walmart.com/ip/Stander-EZ-Adjust-Home-Bed-Rail-Length-Adjustable-and-Folding-Rail-Black/6372781,"This Stander EZ Adjust Bed Rail helps prevent falling, making it ideal for hospitals and home bedrooms. It has a unique design, allowing it to extend 26&quot;, 34&quot; and 42&quot; in length after installation for full protection. This rail can also be folded down or pivoted out of the way. It has a safety strap that secures it between the mattress and the frame. Installing the folding bed rail is simple and no tools are required. It fits 12&quot; to 18&quot; mattresses and has a weight capacity of 300 lbs. An organizer pouch is included so you can keep your essential items nearby. The black color matches the look and feel of any room.","The rail was purchased after my mom broke her hip to keep her from rolling off the bed. Due to the fact that it's adjustable, it also works to help remind her (dementia) to stay in bed when she wakes up. It was easy to install.
Unfortunately, the bed is too low to the ground to be able to swing the rail down out of the way to get in and out of bed as it was intended, so it has to stay in the up position all the time. That's the reason this was the only bed rail I could find that works well for her situation. At it's shortest width, she can still easily get into bed. Once she's in it can be lengthened to provide her with the safety she needs. You simply push in a button to lengthen it. There are two buttons to provide customized lengths. The buttons are too difficult for my mom to push (a bonus due to the dementia), but they are easy for the caregivers to use.
The storage caddy also makes an easy place to hang the monitor for the bed alarm. It could also be a great place for glasses and a small book if someone wanted to read in bed."
Medical Supply Bed Rail Handle Adjustable Height Bed  ...,$32.95,4.8/5.0,https://www.walmart.com/ip/Medical-Supply-Bed-Rail-Handle-Adjustable-Height-Bed-Assist-Bar-Grab-Bar-Safety-Hand-Rail-with-Safety-Strap/281381127?wpa_bd=&wpa_pg_seller_id=F746B1E5AC54495DBD321A325A96265E&wpa_ref_id=1f4e1e8e9e0988ca8b83bf5f3d6eebdb&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=3&wpa_plmt=__plmt__&wpa_aduid=__aduid__,"<b>Features:</b> <br /> <br />- Offers stability for those who need extra help getting in and out of bed <br />- Helps with changing positions while in bed <br />- 4-level height adjustment - fits most beds <br />- Comfortable non-slip hand grip <br />- Includes a securing strap to attach the rail to bed frame <br />- Supports up to 300lbs <br /> <br /> <b>Specification:</b> <br /> <br />- Overall Dimension: 36-1/5&quot;L x 20&quot;W x 21-7/10&quot;H (L92cm x W51cm x H55cm) <br />- Height Adjustment: 17-7/10&quot; to 21-7/10&quot; (45cm to 55cm) <br />- Strap Length: 131&quot; (333cm) <br />- Weight: 5Lbs (2.3kg) <br />- Material: Steel <br /> <br /> <b>Package Content:</b> <br /> <br />- 1 set of Bed Assist Handle <br />- 1x Strap <br />- 1x Manual <br /> <br /> <b>Notice: </b> <br /> <br />- The bed assist handle is not designed for the user who is confined to bed. If the user is at risk to roll out of bed, a hospital style bed rail should be needed.",This works very well for me. I have a hard time getting in and out of bed due to pain and stiffness in my back. This rail enables me to get situated in bed comfortably at night and to roll onto my side so I can ease out of bed in the morning. It also gives me something to hold onto after getting out of bed until I can grab my cane. Fits between box springs and mattress securely (haven't needed to use strap). Very good value compared to other sites.
Mainstays Multi-Use Bed Wedge Foam Pillow,$19.96,4.3/5.0,https://www.walmart.com/ip/Mainstays-Multi-Use-Bed-Wedge-Foam-Pillow/191267219,"Improve your comfort with this Mainstays Multi-Use Bed Wedge Foam Pillow. Its ergonomic shape provides proper alignment and an incline while you sleep. This sleeping wedge pillow also provides support for reading, working or watching TV in bed. You can also place it under your legs to elevate them and give them a rest. This pillow is made of 100 percent polyester, and it has a soft, zippered cover that is machine washable for easy care. Its innovative design helps prevent strain throughout your body.",The mainstays bed wedge pillow has the support I need after having hernia surgery. It helps me not put too much pressure on my stomach area while sitting up.
DMI Wedge Bed Pillow for Acid Reflux and Sleep Apnea  ...,$32.00,3.9/5.0,https://www.walmart.com/ip/DMI-Wedge-Bed-Pillow-Acid-Reflux-Sleep-Apnea-Anti-Snore-Foam-Mattress-Wedge-Pillow-Incline-Pillow-Leg-Rest-Back-Support-Blue-10-x-24-x-24/32427505,"DMI Foam Bed Wedge Leg Rest Back Support Pillow <br />This best-selling slanted foam bed wedge is ideal for head, foot or leg elevation. Use it at the head of the bed to help relieve the symptoms of acid reflux, respiratory problems or neck and shoulder pain. Or at the foot of the bed to help relieve knee, leg or back pain. Or just prop yourself up in bed while reading, watching TV or working on your tablet. It comes with a removable blue zippered cover that's machine washable.","Foam is hard, and the incline is awkward.   I tried using this pillow, after foot/ankle surgery.   I  was not able to find a comfortable position while sleeping or sitting; foam is too stiff."
"Equate Bedside Rail, Black",$27.64,4.6/5.0,https://www.walmart.com/ip/Equate-Bedside-Rail-Black/14179103,"<p>Simple daily activities like getting in and out of your bed can become difficult with old age or after an injury. Equate Bedside Rail helps you eases your movement in and out of bed with safety and security. It can be assembled without tools, and height adjusted by inch increments from 32&quot; to 44&quot;. It accommodates most twin, queen or king sized beds. Designed to provide maximum balance and stability, the sturdy frame can support weights of up to 300 lbs. It has a foam grip for comfortable gripping, and a strap for securing it to the bedframe. The skid-resistant rubber tips on legs provide additional traction. Experience ease and comfort in your daily life with Equate Bedside Rail.</p> <p>Making the right health decisions can be challenging. With a complete range of products and simple solutions, Equate allows you to take care of your family with confidence.</p> <br />","I loved my new Equate Bedside Rail, it made getting out of bed so much easier. I usually struggle with using a cane to get up which does not work very well. This helps me stand faster, easier and more securely.  It is strong and stays in place. It was very easy to set up and use. I never feel unsteady or like I am going to fall when I use this like I do with my cane.. Over all it is very well made and makes my life so much easier."
Drive Medical Plastic Transfer Board,$14.99,4.2/5.0,https://www.walmart.com/ip/Drive-Medical-Plastic-Transfer-Board/19616136,The Plastic Transfer Board by Drive Medical provides a very lightweight solution of transferring someone from one place to a wheelchair or vice versa. Whether it be from a bed or another seat to a wheelchair the transfer board is designed to allow the user to slide from one place to another. The Plastic Transfer Board is made of a durable plastic designed to hold a weight of up to 250 pounds while being lighter in weight to the wooden counterparts. The Plastic Transfer Board is a must for anyone who is constantly transferring from one place to another and wants a lightweight board.,Long enough to reach bed and wheelchair without sliding off. Sturdy construction. Good sliding surface. I don't see any reason to buy the more expensive boards.
Carex Overbed Table with Large Surface - Flat Rollin  ...,$96.57,4.5/5.0,https://www.walmart.com/ip/Carex-Overbed-Table-with-Large-Surface-Flat-Rolling-Bed-Table-with-Adjustable-Height-Over-The-Bed-Table-For-Home-Use/6537518,"The Carex Large Surface Overbed Table is designed to provide maximum comfort, especially during your convalescence. It isideal for eating, reading, or writing when you are confined to a bed, chair or wheel chair. This overbed table has a large flat surface to hold your breakfast tray, laptop and more. It has a flexible height adjustment handle and can accommodate left- to right-hand use. The ABS plastic table top ensures durability for extended usage. It has a polypropylene base and comes with four swivel casters for smooth mobility. With its C-shaped base, it has easy access to bed side lockers and wheelchairs. This sturdy overbed table is easy to assemble and is lightweight.","I was surprised that I received my Over The Bed Table the next day after ordering it, that's what you call fast shipping. It was exactly what I wanted. Easy to assemble within 15 minutes and I'm 65. Its sturdy and it goes on either side of my bed and I do have a high bed. This is a good size table which I place my laptop on with room enough to write. Has a large cup holder and a place for me to set my pencil or pen without it rolling off the table and there still room for my phone. It has a handle on the side of the table at your finger tips that raises the table up or down while your in bed or sitting in your chair. Everything I need is at my finger tips. My daughter-in-law liked mine so much she bought one for herself. I highly recommend this table if your looking for an Over The Bed Table."
Full Electric Home Care Bed Package,$865.00,3.5/5.0,https://www.walmart.com/ip/Full-Electric-Home-Care-Bed-Package/178235225,"This Full Electric Homecare Bed Package includes the full electric bed, innerspring mattress and half rails. This bed is very popular with patients converting from a hospital bed package to a home care bed package. This full electric bed includes hand pendant control to move the head, feet and height independent of one another. The new IVC bed components such as the Universal Bed End, headspring and foot spring are interchangeable with the existing Invacare beds, so you can now upgrade your supplies with these enhancements. Users and caregivers can easily adjust body position and bed height with the intuitive hand pendant. Maintenance is easy with color-coded junction box connections. These new features of this medical bed are designed to be easier to deliver, set up, clean and maintain for convenience and ease of use. It has a weight capacity of 350 lbs, so it's suitable for a wide variety of users.","What a great bed for the cost.  Nothing cheap or chintzy about it. Works just like a hospital bed, as described. Durable and well constructed.  Would definitely buy again if needed to."
Drive Medical Non Tilt Top Overbed Table,$47.42 - $51.63,4.2/5.0,https://www.walmart.com/ip/Drive-Medical-Non-Tilt-Top-Overbed-Table/15935794,"Enormous Value, Dependability and Quality The Non-Tilt Over bed Table from Drive Medical represents everything you want in a traditional and sturdy mobile bed table.You'll fully appreciate the enormous support and utility this table offers you, because being bedridden no longer needs to be an unfortunate situation that incapacitates, or prevents you from carrying out business or meaningful personal activities that add a measure of independence and achievement to your daily life.The table rises and lowers easily, requiring the slightest of upward pressure, making it user friendly for all ages and needs. The swivel casters make it extremely lightweight and comfortable to move from one position, or room to the next.The laminated surface is textured, making it difficult for items to slide off your table, and once your desired height is reached, the table top locks firmly and safely into place. If you seek stability, safety and value, the traditionally designed Non-Tilt Over bed Table from Drive Medical is the ideal solution you've been searching for. Go ahead...Experience the Drive Difference Now!",This table was really easy to assemble an easy to use. It has pretty good quality materials and it is very easy to clean. It is easy to adjust from chair to bed height.
