As Seen on TV MSA 30x,$19.88,3.4/5.0,https://www.walmart.com/ip/As-Seen-on-TV-MSA-30x/40774903,"Sound Amplifier 1 amplifier As seen on TV. Includes: 1 MSA 30X device, 6 silicone ear buds, 1 charging cradle, 1 adapter and 1 cleaning brush. Rapid charger included. Rechargeable. No batteries required. Improves amplification up to 30x. Includes 6 different sized silicone ear buds to fit any ear and seal out the noise. Rechargeable. No batteries required. Recharge using an outlet. 6 different sized silicone ear buds to fit any ear and seal out the noise. Rapid charger charges in half the time! The MSA 30X Sound Amplifier is not a substitute for a hearing aid or intended for use by hearing impaired people. The FDA advises anyone who suspects hearing loss to seek evaluation by a health care professional. For right. For left. Microprocessor technology. Comfortable. Ultra small. Lightweight. For him. For her. Any use of the graphics or photography will be considered an infringement and GTV will prosecute. UL listed. CE listed. RoHS compliant. FDA listed. C/UL/US listed adapter. GS adapter. www.msa30.com. Assembled in China. 1 amplifier Deerfield Beach, FL 33442 GTV 2011",I bought it for my mother-in-law. She had it and she wore it out and she said that it worked better than the onces you pay a lot a money for .
Walker's Game Ear ULTRA EAR BTE&ITC GWP-UE2002 Ear M  ...,$28.93,3.2/5.0,https://www.walmart.com/ip/Walker-s-Game-Ear-ULTRA-EAR-BTE-ITC-GWP-UE2002-Ear-Muff/14657438,"Amplify your hearing so you can listen carefully for your prey's footfall or reduce it to avoid damage to your ears from muzzle blasts when you put in Walker's Game Ear Ultra Ear ITC Sound Amplifier. This pair of ear buds also comes with 3 different sets of eartips of various sizes so they'll fit you like a glove. These in ear buds are lightweight and can be used in either ear. Adjust the tone and volume to improve your hearing or deafen the sound of a shot, thanks to the mild compression circuit.","Bought these for my 87 year old aunt who does not have the money to buy another set of the expensive hearing aids.  I put the battery in and she placed  one in her good ear and gasped at the results, no squealing as I have had with other hearing devises. Then placed one in her bad ear and said it worked. Now she will not take them out.  I do not know how long they will last but as for now these things are great, so easy to use an 87 year old lady can operate them and you can get a set without breaking the bank, what else can you ask for?."
Aquasonic 100 Ultrasound Transmission Gel  250 mL (8  ...,$6.04,4.2/5.0,https://www.walmart.com/ip/Aquasonic-100-Ultrasound-Transmission-Gel-250-mL-8-5-oz-Squeeze-Bottle-1-Count/123107096?wpa_bd=&wpa_pg_seller_id=DABA61A51AA444798605B2E5391AF8EA&wpa_ref_id=22d52222a830d955d7b5b090bc49435a&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=3&wpa_plmt=__plmt__&wpa_aduid=__aduid__,"The Aquasonic 100 Transmission Gel (0.25 liter) item #01-08, item #GE0108 is the world standard and most widely used gel for diagnostic and therapeutic medical ultrasound. Recommended for all procedures where a viscous gel is required, AQUASONIC 100 consistently exceeds industry standards and customer expectations. Medical practitioners around the globe recognize AQUASONIC 100 as a brand synonymous for quality and dependability. With its non-sensitizing and non-irritating formula that is completely aqueous, AQUASONIC 100 will not stain clothing or damage transducers and is used and recommended by leading manufacturers of medical ultrasound equipment worldwide! Ideal for EEG exams, stress tests, Holter monitoring ECG telemetry and more! AQUASONIC 100, the universal standard by which all others are measured. Features: Acoustically correct for the broad range of frequencies usedCompletely aqueous, will not stain clothing or damage transducersUnique ''can't be copied'' formula is hypoallergenic, bacteriostatic, non-sensitizing and non-irritatingNo formaldehydeNot a spermicide Great for use in:UltrasoundRadiologyPhysical TherapyCardiology UltrasoundOB/GYNNurseryEmergency",I have a small ultrasound device I use for various injuries to my dogs and myself. The company no longer sold the gel. I was at a lost. Then Walmart made it easy to acquire more.
Digital Hearing Amplifier - Personal Hearing Enhance  ...,$21.99,4.0/5.0,https://www.walmart.com/ip/Digital-Hearing-Amplifier-Personal-Hearing-Enhancement-Sound-Amplifier-Rechargeable-BTE-Digital-Hearing-Amplifier-Behind-Ear-All-Day-Battery-Life-Mod/552595338,"<p> <b>Have You Been Searching For A Rechargeable High Quality Behind The Ear Digital Personal Hearing Amplifier? </b> <br /><br /> NewEar would like to share this amazing news with you. The <b>MEDca</b> rechargeable hearing amplifier is the most popular behind the ear sound amplification device for speech frequencies of the human voice with its complete background noise reduction and cancellation technology. Intelligently designed, the <b>MEDca</b> BTE digital hearing amplifier is compact, lightweight, discreet and durable in design making this the the ideal hearing solution for you to instantly experience higher quality sound the way it is intended. <br /><br /> With so many digital advancements today - you will want the latest technology when it comes to your hearing for the most crystal clear sounds. Our digital hearing amplifiers are practically invisible and very light weight for a remarkable industry leading standards. </p>  <p><b>The Perfect Easy Charge &amp; Go Battery Designer to Last Al</b></p>",This hearing amplifier works very well I have it on the lowest setting and hear things with ease . I think that it too power full for myself. I will continue to ware it to see if I can get use to it. I gave it 4 star because I can't lower it further.
Apex Twice A Day Pill Organizer,$4.99,3.7/5.0,https://www.walmart.com/ip/Apex-Twice-A-Day-Pill-Organizer/14089469,"Keep your medication in order with the Apex Weekly Pill Organizer. Simply take a few extra minutes to set the organizer for effortless doses throughout the week. The Apex pill organizer features tabbed compartments that open easily and securely snap shut to ensure your medicine stays put. The AM and PM slots are differently colored for easy distinction, allowing you to safely take the appropriate drug. The twice a day pill organizer is easy to maintain as well. Once the week is over, simply rinse the container under warm water and air dry. The Apex Weekly Pill Organizer is ideal for those who are taking numerous medications and want to prevent missed or extra dosages.","These are deep, and personally I can fit all the pills I need to take in them. I bought 2 and changed out the AM/PM so one cart is AM only. Helps because allergy pills are once a day. The large fish oil, vitamin E gels, large one a day multi vitamin, QouQ10 or whatever, plus several herbal capsules, Vitamin C. It holds a lot!"
Handheld Illuminated Pocket Magnifying Glass Reading  ...,$9.21,4.0/5.0,https://www.walmart.com/ip/Handheld-Illuminated-Pocket-Magnifying-Glass-Reading-Magnifier-12x-Magnification/176039612,"<p>Illuminate various situations with the Handheld Illuminated Pocket Magnifying Glass Reading Magnifier with 12X Magnification. Candle-lit restaurants can be romantic, but they're notoriously difficult when it comes to reading items on the menu. When you add a playbill or libretto to follow dinner, you may find yourself in a difficult situation if you don't have a little bit of help. If you're having trouble reading fine print, this pocket magnifier offers a convenient solution. This handy item can help you maneuver your way through a sea of small print and inadequate lighting. This handheld reading magnifier has 12X magnification to help ensure that very small text will be easy to see, even in dimly-lit restaurants and theaters.</p>",Good for inspecting tight places on a sewing machine.
RMS Long Reach Comfort Wipe Toilet Tissue Aid Bottom  ...,$10.99,3.8/5.0,https://www.walmart.com/ip/RMS-Long-Reach-Comfort-Wipe-Toilet-Tissue-Aid-Bottom-Buddy-Tool/335306597,"The RMS Long Reach Comfort Wipe Bottom Buddy Tool allows you to maintain your independence and bathroom privacy for longer. This helpful tool overcomes the drawbacks of existing devices and ensures personal hygiene for those who find reaching difficult. RMS's long-reach comfort wipe toilet aid is made with an ergonomic shape to aid those with limited dexterity, such as seniors or people dealing with back or neck issues. The rounded, soft and smooth design has a simple, uncomplicated mechanism which grips the toilet tissue firmly. A single button press allows you to release the tissue cleanly, thus abolishing the need to touch the tissue after wiping. The RMS Long Reach Comfort Wipe Bottom Buddy Tool works equally well with toilet tissue or wet wipes.","I have used this product after several back surgeries,  I have rods the length of my spine and I am not at all flexible.  This has been a blessing.  Have used one for 16 years.  The release spring is the only thing that goes bad.  But it lasts for several years."
Weekly Pill Box AM PM Organizer Case Medicine Storag  ...,$5.67,4.3/5.0,https://www.walmart.com/ip/Weekly-Pill-Box-AM-PM-Organizer-Case-Medicine-Storage-Vitamin-Tablet-Holder-New/146275065,"The Weekly Pill Box Organizer AM PM Medicine Storage Case boasts a convenient see-through design that lets you see each compartment without the need for opening. Each compartment snaps shut and pops open with ease. These home health care products will help organize your medication for up to seven days according to what you need to take in the morning and at night. AM and PM compartments are color coded so they do not get mixed up, with blue for morning and purple for the night. It is good for daily use, or you can utilize it while working or traveling to keep everything needed neatly organized. This 7-day weekly pill box organizer can be used to keep track of medicines and vitamins that you take on a daily or weekly basis. This means no important doses will be missed.","The pill box is very hard to open.  Some of the tabs are opening sideways and when I got the lettering slightly wet, the black numbers came off!  I had one just like it in the past and I even put it into the dishwasher and the numbers didn't come off.  I believe they were painted on - not just colored on.

I am taking this box back to Walmart."
Apex Ultra Pill Splitter,$5.99,4.1/5.0,https://www.walmart.com/ip/Apex-Ultra-Pill-Splitter/10322088,"The Apex Ultra Pill Splitter is a handy item to have in your medicine cabinet. Featuring a little grabber, the unit holds the tablet firmly in place while dividing. The clear Apex pill splitter features opaque grips for easy handling and a self-retracting blade guard for safety. It provides a much simpler alternative than using your fingers and other tools and is easy to use.","This pill splitter is probably one of the best you can get for the first 100 pills, but after that, it is ready for the trash basket. There is a plastic shield that covers the blade when the splitter is open, and slides out of the way when you close it and split the pill. The sliding action of this shield eventually cracks it and the splitter is then useless. The VERY reasonable price is the only reason I continue to buy this device, but if APEX ever raises the price, I will go back to another device. I checked that I WOULD recommend this to friends, but it would definitely be with a warning.
A NOTE TO APEX: If you want to keep selling these splitters, tell your retailers to control their pricing!!"
"Hip Kit with 26"" Reacher, Contoured Sponge, Sock Aid  ...",$26.23,4.5/5.0,https://www.walmart.com/ip/Hip-Kit-with-26-Reacher-Contoured-Sponge-Sock-Aid-18-Plastic-Shoehorn-and-Dressing-Stick/55210952,"Now you can prove it is hip to have help with the aid of this 26&quot; Reacher. This is part of a FabLife Hip Kit that includes a collection of Aids-To-Daily Living (ADL) products in one convenient package. Minimize dependence on others with these essential items to assist with bathing, dressing and other daily living activities. A stocking aid is part of this kit, which is ideal for people recovering from hip, knee or back surgeries. Included is a 26&quot; reacher, a contoured sponge, one formed sock aid, an 18&quot; plastic shoehorn and a 24&quot; dressing stick, all of which help in the recovery process. All items, like the included sock assist tool, help people avoid the need to need to bend at the hip, giving freedom to people with a limited range of motion. You can grab items in hard to reach places, remove and put on socks and shoes and make getting ready for the day or for bed easier. Turn to the 26&quot; Reacher as part of a hip kit that helps make you more mobile.",Bought because it was cheaper to buy package rather then buying each one separately.
