Omron 3 Series Upper Arm Blood Pressure Monitor,$28.77,4.4/5.0,https://www.walmart.com/ip/Omron-3-Series-Upper-Arm-Blood-Pressure-Monitor/38335909,"Monitor your blood pressure with the Omron BP710N 3 Series Advanced-Accuracy Upper Arm Blood Pressure Monitor. Easy to use, it features a simple one-touch mode and can store up to 14 readings at a time while still giving you accurate results. This Omron 3 series blood pressure monitor includes a cuff that fits both standard and large arms. It also has an irregular heartbeat detector and an LCD display for easy reading.","I ordered the BP710N to upgrade from an old unit, and received it within 5 days of my order!  Knowledgeable, Courteous, Professional and Prompt service! Thanks for all you do! [This review was collected as part of a promotion.]"
Omron 10 Series Upper Arm Blood Pressure Monitor wit  ...,$64.99,4.5/5.0,https://www.walmart.com/ip/Omron-10-Series-Upper-Arm-Blood-Pressure-Monitor-with-Cuff/38335906,"Receive consistent, precise results with this Omron Bp785n 10 Series Advanced-accuracy Upper Arm Blood Pressure Monitor. It is simple to use and the large digital display with backlight reduces common user reading errors. The Omron blood pressure monitor comes with an easy-wrap cuff that fits arms 9&quot; to 17&quot; (22 cm to 42 cm). It is also designed with an irregular heartbeat detector and memory storage with advanced averaging.",seems to be a good buy. my husband is happy with it.  it shows his heart skipping beats (this feature will not show up at all if you have a regular heart beat) and seems very accurate.  shipped quickly.
Omron 10 Series Wireless Upper Arm Blood Pressure Mo  ...,$62.99,4.1/5.0,https://www.walmart.com/ip/Omron-10-Series-Wireless-Upper-Arm-Blood-Pressure-Monitor-with-Two-User-Mode-200-Reading-Memory/38335911,,I bought this about 4 months ago after I was diagnosed with very high hypertension that was effecting my kidneys. I had one before but I wanted this Omron 10 Series with better technology to connect to my iPhone. This machine is wonderful. The results connect via bluetooth whereas I show my doctor daily and/or monthly averages of readings. I can even print them out. I love this machine and my doctors do too! Thank you! [This review was collected as part of a promotion.]
Garmin Vivosport - S/M,$152.99,4.5/5.0,https://www.walmart.com/ip/Garmin-Vivosport-S-M/371253553,"Take your activities on the go with vvosport, the smart activity tracker with wrist-based heart rate and built-in GPS for mapping out your walk, run or ride. It also includes strength training and cardio activities. Safe for swimming and showering, vvosport is the perfect accessory for every day and for your active life. Monitor your fitness level with VO2 max, and manage your stress with all-day stress monitoring. Get connected features such as smart notifications, LiveTrack and automatic uploads to the Garmin Connect online community, where you can see your personalized data on cool graphs, compete in weekly challenges and connect with other fitness enthusiasts. This slim, sporty tracker also features an always-on color Garmin Chroma Display and gets up to 7 days of battery life.",Purchased because it is the only small fitness tracker with internal GPS. Easy to learn how to use it. Love the step goal feature and the stress feature.
Omron 3 Series Upper Arm Blood Pressure Monitor,$28.77,4.4/5.0,https://www.walmart.com/ip/Omron-3-Series-Upper-Arm-Blood-Pressure-Monitor/38335909,"Monitor your blood pressure with the Omron BP710N 3 Series Advanced-Accuracy Upper Arm Blood Pressure Monitor. Easy to use, it features a simple one-touch mode and can store up to 14 readings at a time while still giving you accurate results. This Omron 3 series blood pressure monitor includes a cuff that fits both standard and large arms. It also has an irregular heartbeat detector and an LCD display for easy reading.","I ordered the BP710N to upgrade from an old unit, and received it within 5 days of my order!  Knowledgeable, Courteous, Professional and Prompt service! Thanks for all you do! [This review was collected as part of a promotion.]"
My Weigh SCMELITES One-Step Elite Digital Glass Bath  ...,$18.30,4.8/5.0,https://www.walmart.com/ip/My-Weigh-SCMELITES-One-Step-Elite-Digital-Glass-Bathroom-Scale-Silver/17435151?wpa_bd=&wpa_pg_seller_id=D9C289307341444D99FE1AB275DA80F8&wpa_ref_id=12039225e0419122017708923e09b3af&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=5&wpa_plmt=__plmt__&wpa_aduid=__aduid__,<ul>  <li>Tempered Glass Platform</li>  <li>Blue Backlit LCD</li>  <li>One-Step Auto-On</li>  <li>Supports up to 400 lbs.&nbsp;</li> </ul>,"It looks very nice in person and the display is very bright. It came with its own battery and it is very easy to use. You just step on it and the weight shows, you dont have to wait for it to zero like you do with some scales. Love it! [This review was collected as part of a promotion.]"
Omron 3 Series Wrist Blood Pressure Monitor (60 Read  ...,$36.88,4.5/5.0,https://www.walmart.com/ip/Omron-3-Series-Wrist-Blood-Pressure-Monitor-60-Reading-Memory/15715320,"<p>Monitor your health with the Omron 3 Series Wrist Blood Pressure Monitor. It features a discreet and convenient portable wrist unit that allows users to monitor their readings at home, work or anywhere. It also has memory storage with a date and time stamp that allows you to review the last 60 results. You can even display the average of readings taken in the last 10 minutes. Equipped with a large easy-to-read display, this dependable Omron wrist blood pressure monitor is lightweight and portable, making it easy for you to check your blood pressure on the go. Simply wrap the cuff around the wrist and press start to get your results in just seconds.</p>","I bought this product back in July and use it on a weekly basis. It is very portable, lightweight and easy to use. I monitor my BP before and after I work out or run. It keeps me in check and is a handy tool without the hassles of going to a Dr's. office or clinic. I would recommend this product to anybody that wants to monitor their BP and pulse rate in the convenience of their own home or even office.. [This review was collected as part of a promotion.]"
Omron 7 Series Wrist Blood Pressure Monitor,$56.99,4.3/5.0,https://www.walmart.com/ip/Omron-7-Series-Wrist-Blood-Pressure-Monitor/15702123,"<ul>  <li>Heart Guide Technology automatically activates when your wrist is at heart level, ensuring consistently accurate readings</li>  <li>Two User Mode - Allows two different users to monitor and track their readings separately in the stored memory</li>  <li>BP Level Indicator - Shows how your reading compares to internationally recognized guidelines for normal home blood pressure levels</li>  <li>New slim design is more discrete and convenient for portability, allowing users to monitor their blood pressure at home, work or anywhere</li>  <li>Irregular Heartbeat Detector - This monitor can detect and alert you to irregular heartbeats while your blood pressure is being measured</li>  <li>Advanced Averaging - Exclusive technology automatically displays the average of up to the last 3 readings taken wtihin the last 10 minutes</li>  <li>200 Memory Storage</li> </ul>",SIA used this handy monitor to help bring Health Awareness to their employee group - easy and fast to make a point at our hub-visits!  Shared info about what the BP numbers mean! [This review was collected as part of a promotion.]
Omron 7 Series Upper Arm Blood Pressure Monitor with  ...,$50.68,4.2/5.0,https://www.walmart.com/ip/Omron-7-Series-Upper-Arm-Blood-Pressure-Monitor-with-Two-User-Mode-120-Reading-Memory/38335910,"Make sure you are healthy and facing no ill side effects when you use this Omron 7 Series Upper Arm Blood Pressure Monitor to take your vital signs every day. It offers precision and comfort with an easy-wrap ComFit cuff that will work on most arms. The cuff is built for arms that are 9-17&quot; in circumference. The Omron blood pressure monitor with Bluetooth technology helps ensure consistent, precise readings with advanced accuracy. The 7 Series Upper Arm model offers precision and comfort, with an accurate but simple interface that includes many standard features. You get LED lights that help you identify where your measurements are, in relation to internationally-recognized guidelines for normal blood pressure. This wireless blood pressure monitor comes with an irregular heartbeat detector that will alert you if an erratic rhythm is detected during a blood pressure reading with the indicator icon.","This is my second Omron blood pressure monitor. I had the first one over 10 years and recently purchased the second one. Both were highly recommended by my doctors. The Omron 7 series has great features - blood pressure color indicator. If the results are within the standard range, the blood pressure color indicator will light in green. Other great features are heartbeat symbol and 2 user ID . [This review was collected as part of a promotion.]"
Omron Evolv Bluetooth Wireless Upper Arm Blood Press  ...,$69.99,4.5/5.0,https://www.walmart.com/ip/Omron-Evolv-Bluetooth-Wireless-Upper-Arm-Blood-Pressure-Monitor/326384298,Omron EVOLV is the next evolution in wireless heart health management. Easily transmit your blood pressure readings wirelessly to the OMRON Connect APP using your mobile device. This compact design makes it easy to use anywhere you need to take a blood pressure reading!,"Did I mention, I LOVE THIS THING! I'm a heart transplantee and I check my BP every day as part of my regimen. I also love to trave and this BP cuff is very portable. I just slip it into my backpack and it's there when I need it. I like that you can connect the app to it to have an accurate log of BP or use it as a standalone machine for on the spot results. Additionally this BP cuff has the star trek cool factor down packed. [This review was collected as part of a promotion.]"
