Rapid Test Complete - Urinalysis Test Strips 100 Tes  ...,$12.95,5.0/5.0,https://www.walmart.com/ip/Rapid-Test-Complete-Urinalysis-Test-Strips-100-Tests-UTI-Strips-Kidney-Gallbladder-pH-Glucose-and-Liver-Function/318385684,"The Rapid Test Complete detects key chemical markers in human urine. This package comes with 100 strips or 100 tests that you can use. The one strip also tests for 14 different tests in one use. It tests for these 14 indicators: Leukocytes - For urinary tract infection and the presence of bacteria. Nitrites - A UTI Test which is usually an indicator of Urinary Tract Infections. Urobilinogen - Liver function test and Liver Disease Indicator. pH Test - A determinate of the acidic or alkaline state of the urine. Protien - An indicator of possible kidney health issues. Blood in Urine - Usually a test for kidney stones that is most often an indicator of Kidney Stones and if stones form or are forming. Specific Gravity - a reflection of how well the kidneys are filtering, or the GFR (Glomerular Filtration Rate). Ketones - An indicator of diabetes and other acetoacetic changes in the urine. Bilirubin - A test and indicator of Liver or Gallbladder issues. Glucose Test - A measurement of the sugar in the urine usually caused by diabetes.This Urinalysis Reagent Test is an easy to use test for the detection of key chemical markers in human urine. They are the same test strips used routinely by doctors, laboratories, and health care professionals in preliminary diagnosis of, and initial screening for potential health problems.This is an over the counter home test. So, if you are having any major concerns, a professional health specialist or doctor is always a good option.",Great little strips! Good to detect UTIs before they get out of control.
AZO Test Strips Urinary Tract Infection Test - 3 CT,$9.43,4.6/5.0,https://www.walmart.com/ip/AZO-Test-Strips-Urinary-Tract-Infection-Test-3-CT/10317748,"AZO Test Strips make it easier for you to see if you have a urinary tract infection. Each of the pieces is individually wrapped to protect it until you're ready to use it. These urinary test strips have long handles, which prevent messes. It takes only two minutes to get results. The clinically tested strips are effective at picking up traces of nitrite and leukocytes. These products are usable by both men and women. You can use them to catch an infection when it starts or to monitor the effectiveness of your medication.","I use this when I thought I had a UTI and sure enough I did. When I called my doctor's office and told them I used the AZO test strip I was able to get a prescription without
Going in, thank goodness I was hurting too much to go in. Also these are individually
Wrapped so you don't have to use them up right away like the ones that aren't individually wrapped. Once again Walmart had the best price around."
DrugConfirm Instant Drug Test for 12 Drugs,$21.19,4.3/5.0,https://www.walmart.com/ip/DrugConfirm-Instant-Drug-Test-for-12-Drugs/49655956,"12 Drugs Instant Drug Test <br /> <br />7 Illicit Drugs + 5 Prescription Drugs <br /> <br />Marijuana <br />Cocaine <br />Opiates (Heroin) <br />Methamphetamine <br />Ecstasy <br />Amphetamine <br />Phencyclidine <br /> <br />Tricyclic Antidepressants <br />Barbiturates <br />Benzodiazepines <br />Methadone <br />Oxycodone <br /> <br />Prevent drug abuse in your home with this effective anti drug tool <br />Research show that if we can delay the onset of drug use or diminish the frequency we reduce the risk of addiction for that child <br /> <br />Advantage of DrugConfirm <br />FDA approved. <br />Fast Results: Results in minutes at the privacy of your home. <br />Confidential: No personal information is required. <br />Easy to use &amp; convenient: This test is a simple process that you can do in the privacy of your own home. <br />A fast and efficient way of dealing with a potential drug user, no lies or doubts.",This product was easy to use. Results within 4-7 minutes. Came with easy to read instructions and an opportunity to get a free $10 amazon gift card.
EZ Level Urinary Tract Infection UTI Test Strips Leu  ...,$8.95,4.8/5.0,https://www.walmart.com/ip/EZ-Level-Urinary-Tract-Infection-UTI-Test-Strips-Leukocytes-And-Nitrite-50-Tests/578625729,Keep track of your health with these True Level Urinary UTI Infection Test Strips. They are easy to use and come with instructions. These UTI test strips leukocytes positive nitrite negative give you fast results. Use them to detect the problem to take care of it to prevent future problems. This home health care product comes with 50 tests and are approved by the FDA.,"That you get 50 test strips.  I haven't had them very long but, it's easy to read and use but, they should be labeled top and bottom for results.  One thing which you know till  you buy them even though mine is good till 2019 once you open the container you need to use them all within 3 months."
"First Check Home Drug Test, 4 drugs tested, 1.0 ct",$19.97,3.5/5.0,https://www.walmart.com/ip/First-Check-Home-Drug-Test-4-drugs-tested-1-0-ct/10324995,"<p>Safely and easily use this First Check Home Drug Test and receive fast, accurate results. Each package comes with one cup and lid, as well as a mailing label and transportation bag. This FDA-approved drug test can detect the most common drug types like marijuana, cocaine and opiates. Simple to use, results can be quickly viewed within minutes. If desired, the cup can be sent to the official laboratory for result confirmation by using the included address label and sanitary transportation bag. Readings are confidential with this First Check drug test. They can help keep yourself or a family member safe. Receive 99 percent accurate results from a pharmacist recommended brand when you use this First Check Home Drug Test.</p>","We're new to the drug screening at home world -so this was our first test. It's easy and accurate.
Please educate yourself prior to use & follow the directions.

We sprang the test on the individual who wanted us to test him randomly. My hubby supervised so no water could be added to the urine or other test ""tampering"". The young man told us what would show up in his system & yes, the test caught it. It caught the Opiates/Heroin & it caught Meth.

His wife & us have purchased more of these tests to spring on him. His wife happened to goof one test by putting the cup down vertically instead of horizontally which she hurried to correct. The test showed he was clean but you cant really rely on it at that point. We retested with a new kit & we were happy to see he was clean!

*Please also check with your local Health Department. In our area, they do drug screens for not more money than this test. Their tests provide more information & cover a broader spectrum of drugs. But, with that being said, you can't really give them a ""pop quiz"" like you can with one of these tests at home.

My heart goes out to addicts & their families/loved ones. There are options out there to help - even if you have no income.

God Bless."
HairConfirm Hair Multi-Drug Test Kit,$84.99,3.8/5.0,https://www.walmart.com/ip/HairConfirm-Hair-Multi-Drug-Test-Kit/49655959,"<p>Get fast, dependable results with the HairConfirm Hair Multi-Drug Test Kit. This form of analysis is one of the most trusted methods of detection today. It is used by law enforcement officials, organizations and parents. This hair follicle test kit detects several of the most popular drugs that have been used within the past 90 days. It can prove the presence of cocaine, marijuana, opiates and more. It can also provide a detailed analysis of drug usage history, such as whether the user is an occasional, weekend or constant user. The nationally accredited and recognized laboratory uses the latest technology. This hair follicle drug test kit is easy to use as well as convenient. The HairConfirm Hair Multi-Drug Test Kit tests for seven illegal drugs: Marijuana, methamphetamine, cocaine, ecstasy, opiates, phencylidine (PCP) and amphetamine. It also tests for three prescription drugs: Hydrocodone (Vicodin, lorcet/lortab), oxycodone (oxycotin, Percocet/percodam), hydomorphone.</p>",We purchased 2.  Very easy to use with clear instructions.  We got the results back very quickly.
CheckMate Infidelity test kit (Catch a Cheating Spou  ...,$42.99,3.0/5.0,https://www.walmart.com/ip/CheckMate-Infidelity-test-kit-Catch-a-Cheating-Spouse/170941668,"Description Detects semen on men or womens clothing Non-staining and undetectable test kits One of the best ways to catch a cheating wife Instant results This infidelity test kit is accurate, quick, and reliable If you're concerned with the infidelity of a spouse or suspect your underage teen is involved in sexual activity, the Checkmate semen detection kit will remove the uncertainty of the situation. Each kit comes with 10 semen detection tests that can be used on multiple items of clothing. Simply take the garment and use the included blotting papers and dropper to determine if semen is present. If the test paper changes color to purple, the garment has tested positive for semen and there is good reason to believe a spouse has been unfaithful. Every Checkmate comes with a comprehensive instruction manual to make sure you use the kit correctly. Performing the infidelity test only takes a few minutes and doesn't leave any marks or residue on the clothing. Works on both males and female clothing You'll want to test garments that havent yet been washed recently. For best results, abstain from sex with your partner for several days and then use the semen detection kit to test the garments. Keep in mind that you need to keep track of what clothing was worn on what day. If you are testing female clothing, the detection of semen after a period of abstinence is essentially conclusive proof. Its much harder to determine male infidelity via semen detection on clothing. Detecting semen on male clothing isnt conclusive proof of infidelity, due to several factors unique to men. Includes: Checkmate Semen Detection Kit w/ 10 Tests Instruction manual",The test proved what I needed to prove and it gave me great ammunition that couldn't be refuted.   Awesome job!
HomeDNA™ Paternity Test Kit for At-Home Use,$14.99,4.7/5.0,https://www.walmart.com/ip/HomeDNA-Paternity-Test-Kit-for-At-Home-Use/396249491,"HomeDNA™ Paternity Analysis + Report for At-Home Use (formerly IDENTIGENE) brings peace of mind by answering paternity questions with DNA science. With decades of experience and over 20,000 locations nationwide, it's easy to see why HomeDNA is America's #1 paternity test brand.","As an adoptee, I met my birth mother shortly before I turned 21 in 1988.  She would never reveal the identity of my birth father and when she died just  4 1/2 years after we met, I thought that information was lost forever. I initially researched my DNA through Ancestry because I had reason to believe the adoption agency that placed me, reunited me with the wrong family. I knew my mother's sister had used it and if we were a match, then I knew my maternal line was intact (and it was). I bought this test to confirm the identity of my birth father after finding him on Ancestry through familial DNA matches.  I was able to meet my father and brothers on October 21, 2016 where we collected the DNA for Identigene. After almost 50 years, the test proved 99.99% positive that he is my biological father and I received the results on what would have been my mother's 68th birthday. I now have my father and three brothers and an entire new family.  Thank you!"
BACtrack Element Professional Breathalyzer,$82.53,4.7/5.0,https://www.walmart.com/ip/BACtrack-Element-Professional-Breathalyzer/23699261,"The BACtrack Element Professional Breathalyzer features law enforcement-grade Xtend Fuel Cell Sensor Technology with enhanced linear accuracy, and convenient one-button operation for fast and accurate results. Simply press the power button and begin testing in just seconds. The Element's small size and affordability make it perfect for anyone — from individuals and businesses to professional groups and treatment centers.","Recently, the cops stopped me. I was given a test of alcohol. Before that, I drank one beer. I asked them whether I can blow on my Backtrack s80 before testing with police breathalyzer. Backtrack s80 showed 0.025 BAC. Then I was blowing with a police breathalyzer, which showed 0,024 BAC. The cops asked me where I bought the device and they have been surprised with the exact result. :)"
Confirm Biosciences Hair Confirm Hair Multi-Drug Tes  ...,$68.89,4.8/5.0,https://www.walmart.com/ip/Confirm-Biosciences-Hair-Confirm-Hair-Multi-Drug-Test-Kit/49655957,"Get fast and accurate results with the Confirm Biosciences Hair Confirm Hair Drug Test Kit. This item allows you to conduct tests at home, thus providing a safe and private environment for you or a family member. This hair follicle test kit is CLIA and ISO accredited. It's considered an effective tool to prevent drug abuse at home. It tests for seven types of illegal drugs, including cocaine, marijuana, opiates, amphetamine, methamphetamine, ecstasy and phencyclidine (PCP). After the results are taken, Hair Confirm offers a full drug report after 90 days. These home health care products' results are 100 percent confidential and no personal information is required.","It was a simple process, got results in two days, you only have to give up a little hair. It was delivered exactly when promised, no complaints here.."
