"Always Discreet Incontinence Pads for Women, Heavy A  ...",$11.97 - $35.91,4.0/5.0,https://www.walmart.com/ip/Always-Discreet-Incontinence-Pads-for-Women-Heavy-Absorbency-Long-Length-117-Count/39878651,"Get bladder leak protection you can depend on with Always Discreet Pads.  <br />  <br />Secure bladder protection for sensitive bladders in an incontinence pad you can barely feel, these super absorbent pads have a RapidDry core that turns liquid to gel to lock away bladder leaks and odors. OdorLock Technology neutralizes odors and helps keep you feeling fresh all day. Double LeakGuards help keep wetness away from edges for secure bladder protection.  <br />  <br />Always Discreet Incontinence Pads absorb 4X more than period sanitary pads of similar size and are ideal for overactive bladders. Each incontinence pad is individually wrapped for discreet disposal on the go. With their thin design, you'll be able to walk with poise while keeping your incontinence protection discreet.  <br />  <br />Always Discreet also offers Incontinence Liners and Incontinence Underwear.",great protection since I have no control over my bladder. I have MS and wearing this product gives me confidence to go out in public.
(2 Pack) Depend FIT-FLEX Incontinence Underwear for   ...,$77.68,4.3/5.0,https://www.walmart.com/ip/2-Pack-Depend-FIT-FLEX-Incontinence-Underwear-for-Men-Maximum-Absorbency-S-M-Choose-Your-Count/138024592,"Depend FIT-FLEX Incontinence Underwear for Men is now more flexible. With protection where men need it most. Depend incontinence briefs with maximum absorbency. Shaped to fit you comfortably, each pair features form-fitting LYCRA strands and FIT-FLEX protection for a smooth and comfortable fit. Depend Confidence Core technology that helps lock away moisture quickly. The snug, brief-like leg openings are soft, quiet, breathable and discreet just step in and pull on. Depend incontinence underwear for men are disposable underwear and made with super absorbent materials that trap and lock away odor. Depend incontinence products are latex-free and contain no lotions or fragrances. Size small/medium fits men with a 28-40 inch waist and who weigh 115-190 lbs.","Never thought I'd have need, and was a bit embarrased when the reality hit me. But they fit comfortably; and as the wearer, you don't feel the difference between them and reguloar BVDs. Made the whole concept easier to accept."
"Depend Real Fit Incontinence Underwear for Men, Maxi  ...",$11.97 - $46.49,4.4/5.0,https://www.walmart.com/ip/Depend-Real-Fit-Incontinence-Underwear-for-Men-Maximum-Absorbency-S-M-Grey-Choose-your-count/19763612?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=580aeb795d55a74c68bf053fa595301a&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=3&wpa_plmt=__plmt__&wpa_aduid=__aduid__,"Depend Real Fit For Men Maximum Absorbency Fitted Briefs look, fit, and feel like real underwear while providing cloth-like fabric for underwear-like comfort. Depend Real Fit For Men Maximum Absorbency Fitted Briefs feature a finished masculine elastic waistband, cotton-like fabric and maximum protection.","Imagine my embarrassment, being a fresh 52 years young and not having proper bladder control. I've tried all those ""old wives tales"" remedies, even stopping drinking water after 4pm. All that did was leave me with a dry mouth. I ruined my mattress and have been banned from the bed I (used to) share with my partner. All my lonely nights allow me to do now is not awaken aforementioned partner when I wake up wet, looking for a towel so again aforementioned partner gets some protection form the wetness of my urine. After refusing to consider wearing protective undergarments, I got a pair from a friend and was really turned off. After some research, I came upon Depend RealFit and found what I needed.
The briefs fit well, don't bind at the legs like one would think, have a cloth outer that moves with your pants like regular briefs, and aren't overly bulky...in other words, you don't look like you are wearing either a diaper or a balloon in your trousers.
I am a hard one to please, and despite a short leg, paunch, and somewhat of a limp, I still take pride in my appearance. Depend RealFit briefs fit the bill...and I can still go out in social situations and noit even know I'm wearing them. These rank 15/10!"
"Depend Incontinence Guards for Men, Maximum Absorben  ...",$11.68 - $24.48,3.8/5.0,https://www.walmart.com/ip/Depend-Incontinence-Guards-for-Men-Maximum-Absorbency-Choose-Your-Count/55335888,"Men deserve an incontinence pad designed specifically for their bodies with protection that fits their lifestyle. Depend Guards Incontinence Pads for Men are now more flexible vs. previous Depend Guards for Men with the same discreet, comfortable protection. Depend Guards have maximum absorbency for larger surges of wetness and offer cup-shaped protection that fits in your own briefs or boxer briefs. They should not be worn with boxers. Men's Depend Guards feature a strong adhesive and Comfort-Flex leak barriers for protection when active. Each Guard comes individually wrapped in a discreet, pocket-sized pouch for easy carrying and disposal. To use, peel off the paper strip and make sure the arrow faces up before placing within your underwear. Depend adult incontinence products are latex-free, lotion-free and fragrance-free. Depend Guards for Men are one size fits all and designed with a mans body in mind.",I had my prostatectomy Jan 2016 started using the Depends full underwear.  Now that spring and summer is here the full underwear  can have you sweating. The depend will absorb your sweat as well. Just started using the shields and they work great!  now I can wear my regular cotton briefs and be comfortable.  Also not as bulky under my pants. I'm ordering more!
"Depend FIT-FLEX Incontinence Underwear for Women, Ma  ...",$17.76 - $35.49,4.5/5.0,https://www.walmart.com/ip/Depend-FIT-FLEX-Incontinence-Underwear-for-Women-Maximum-L-Choose-Your-Count/34317530?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=44a9c8ee3327e8cf5b8347cf6b1ea08c&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=5&wpa_plmt=__plmt__&wpa_aduid=__aduid__,"Enjoy each moment again in the new and improved Depend FIT-FLEX Incontinence Underwear for Women with maximum absorbency designed to fit the shape of a woman. Depend incontinence underwear for women is now more flexible to move with you so you can reclaim, rediscover and reconnect with what matters most in your life. The slip-on style of this incontinence pant features oval-cut leg openings and FIT-FLEX protection to give you a smooth, close-to-body-fit that's unlike bulky adult diapers. These disposable underwear for women feature Confidence Core technology for fast absorption and helps lock away moisture quickly for outstanding comfort. Depend underwear for women has a thin, absorbent pad made of super absorbent materials that draw wetness in, away from the skin, locking in urine and odors. Depend incontinence products for women are latex-free, lotion-free, fragrance-free and can be purchased with an FSA only where applicable. Size large fits women with a 38-50 inch waist and who weigh 170-260 lbs",As a man I cannot rate women's Depend but my wife thinks they are better than any others on the market. Taking advantage of special shipping I like the savings there. I have found ordering over the 'net easier and more efficient than going to my local store only 8 miles away.
"(2 Pack) Poise Incontinence Pads, Original Design, U  ...",$32.45 - $63.10,2.4/5.0,https://www.walmart.com/ip/2-Pack-Poise-Incontinence-Pads-Original-Design-Ultimate-Absorbency-Long-90-count/786101514,"With trusted 3-in-1 protection for dryness, comfort and odor control, Poise Ultimate Absorbency Incontinence Pads now have a new ContourFit design to give you the confidence and incontinence protection you need day or night. The front and back of the pads are wider to provide even more coverage where you need it the most, while the middle features a soft curve that will better conform to your natural body curves. Poise pads fit you better than before and stay 10x drier than leading period pads. Poise Ultimate Incontinence Pads are designed to help contain unexpected gushes.","I will no longer purchase Poise pads. The new design with sides is quite poor. Leakage occurs out the sides then SOAKS your panties and runs down your legs into your shoes. The pads have changed - not me. It's unbelievable Poise could consider this new design an improvement. These were obviously not tested long enough by women in the market. Do NOT buy this product expecting to be protected from leakage. I am now forced to look for a better product - one in which I can have some sort of confidence in. This new design is so poor that I am now back to either staying home or not hydrating sufficiently. Neither of those options is viable for the long term. Additionally, as a side note, I noticed last night that my packages of pads are all misaligned. The thick part of the pad is not centered side to side so I'm wondering if that's not part of the problem however I doubt it. In light of the substantial leakage side to side, even if the manufacturer got their manufacturing processes under better control to properly and consistently center the absorbent part of the pads between the newly added useless and problematic “sides” it would make little improvement in leakage protection. They are not as thick or absorbent as the previous design which rarely leaked giving me the required confidence to live my life normally. The new sides added do not stand up enough to contain or direct the fluid back to the absorbent part of the pad. Instead the sides lay down (rather than stand up) allowing the fluid to easily flow over the sides, soaking panties and jeans then ultimately leaking down my legs. Poor, poor redesign effort and not enough market testing as evidenced by the other reviews/complaints on this site."
"(2 Pack) Poise Overnight Pads for Women, Ultimate Ab  ...",$61.98,4.5/5.0,https://www.walmart.com/ip/2-Pack-Poise-Overnight-Pads-for-Women-Ultimate-Absorbency-Extra-Coverage-Choose-Your-Count/365882206,"Nobody wants to worry about heavier bladder leaks and surge incontinence. New Poise Ultimate Extra Coverage Incontinence Pads are our most absorbent pad, giving you the confidence and protection you need, day or night. This overnight pad provides more coverage and wider protection than any light bladder leak pad (as compared to other branded LBL pads). The NEW SecureSleep shape features a 75% wider back (compared to Poise Ultimate Regular Pads) for extra protection while lying down, while the Absorb-Loc core quickly absorbs and locks away wetness and odor. Leak-Block sides give you discreet and worry-free incontinence protection, and the Dry-Touch layer helps provide comfort. This package contains individually wrapped Poise Overnight Incontinence Pads with extra coverage. Poise products are FSA-eligible ? only applicable in the US. Poise is the number-one brand for bladder leaks based on Nielsen Market Share Data.","good, but need more seal on top edge"
"Always Discreet, Incontinence Underwear for Women, M  ...",$34.4077.0¢/each,4.5/5.0,https://www.walmart.com/ip/Always-Discreet-Incontinence-Underwear-for-Women-Maximum-Protection-XL-Choose-Count/39878655,"Get incontinence and postpartum underwear you can depend on with Always Discreet. This super-absorbent disposable underwear has an incredible fit and up to 100% bladder leak protection. The incontinence briefs have a RapidDry core that covers you from front to back for protection where you need it. The core technology turns liquid to gel to absorb even the heaviest leaks. The Double LeakGuards help keep wetness away from edges and stop leaks where they happen most. NEW 360 degrees FormFit has elastics to pull the contoured core closer to the body, so it fits the same size range as before, but more discreetly. Say goodbye to bulky adult diapers and hello to smooth and comfortable fit with 360 degrees FormFit. As always, exclusive OdorLock technology helps neutralize odors instantly and continuously. With Always Discreet incontinence underwear, you can walk with poise while wearing discreet, amazing protection.","I was originally using another well known brand but found them too bulky and they were phasing out the briefs with no color.  I tried the Always brand and received the same protection for my severe incontinence, but feel less like I am wearing a diaper."
"Always Discreet Boutique, Incontinence Underwear for  ...",$37.88,4.5/5.0,https://www.walmart.com/ip/Always-Discreet-Boutique-Incontinence-Underwear-for-Women-Maximum-Protection-Purple-Sm-Med-40-Ct/349765174,"Discover the secret to maximum incontinence protection, thats actually pretty, with Always Discreet Boutique Incontinence Underwear. The secret? Hidden inside is a super absorbent core that turns liquid to gel to absorb even your heaviest leaks. The curve-hugging, feminine design that defines your silhouette is made of silky-soft fabric with delicate, lacy prints, so it looks, fits, and feels like your real underwear. So you can feel protected and pretty, unlike adult diapers. Its maximum protection, you can depend on, made beautiful.",Amazing protect and so comfortable. I've used Always Discreet for a while now and while it wasn't the end of the world I got tired of plain white incontinence underwear. I was really excited to try the peach and purple coloured products and to find that these are even better than the regular Always Discreet underwear. I would highly recommend this product.
"Assurance Underwear, Women's, Size L, 18 Count",$3.78 - $21.62,4.5/5.0,https://www.walmart.com/ip/Assurance-Underwear-Women-s-Size-L-18-Count/894201,"<p>Assurance Underwear offers you discreet and comfortable protection. This women's disposable underwear offers maximum absorbency that locks away moisture keeping you dry. It is specifically designed and fitted for women; the Comfort Shape Protection offers a soft and discreet fit. The Contour Core allows a better fit for between the legs. The breathable material allows you to stay cool and happy. The Odor Guard helps to keep odor from forming. They come individually wrapped for convenient and discreet access in your purse, gym bag, or glove compartment in your car. This underwear can be worn day or night. The size L is made to fit a waist of 38 to 50 in diameter. </p> <p>The Assurance Underwear provides you with the comfort and protection you need. With a full range of products, Assurance lets you feel comfortable and dry while living your active, on-the-go lifestyle.</p> <br />","I started of with the small package in a size XL, I am 5'6 180 pounds and I thought I was a size 14 but I guess I must be a 12 by now. The point is I have tried almost all brands and no brands out there and they are all the same and I learned that if you don't have the right size you will leak.
 Like I said I started of off with an size XL and even thou they were comfy they were too big and gave me a 50/50 chance into making it to the bathroom but I switched to a smaller size (large) and I don't leak anymore. I stayed with with this brand because they are comfortable, in a cute color and economical. I also bought the ones that come individually wrapped and they are great to carry in your purse for in case of an emergency."
