"ReliOn Nitrile Examination Gloves, 100 Ct",$9.24,4.4/5.0,https://www.walmart.com/ip/ReliOn-Nitrile-Examination-Gloves-100-Ct/14284765,"ReliOn Non Latex One Size Fits All Gloves Single Use Disposable Nitrile Examination Gloves for Diabetes are hygienic, one-size-fits-all single use medical grade gloves. ReliOn Nitrile Gloves fit either hand perfectly and are textured non latex material to enable better grip, making checking your blood sugar levels or injecting insulin safer and easier than ever. ReliOn Non Latex One Size Fits All Gloves Single Use Disposable Nitrile Examination Gloves for Diabetes are also hygienically powder-free, providing protection while introducing minimal residue or foreign matter to your work so you dont have to worry about infections. The non latex material is perfect for anyone with latex allergies, making these the true glove for every situation. These are medical quality gloves, meaning that they are perfect for dealing with diabetes, keeping you clean and safe from infection. With 100 disposable gloves per box, you dont have to worry about running out any time soon. The extra durable non latex material protects you from punctures and cuts better than most gloves.","I am a chemist and I wanted to have solvent proof gloves. I was afraid if it is not solvent and hence, I ordered one box. Now I know and hence, I will order a complete carton as it is much better than any other leading brand(sigma, fisher etc). Was never happier!!!"
"Adult Simple Oxygen Mask 84 Inch Tubing, 1 Count",$7.52,5.0/5.0,https://www.walmart.com/ip/Adult-Simple-Oxygen-Mask-84-Inch-Tubing-1-Count/37849998?wpa_bd=&wpa_pg_seller_id=DABA61A51AA444798605B2E5391AF8EA&wpa_ref_id=dcb3f6053c13eb936b5da768afebacf6&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=3&wpa_plmt=__plmt__&wpa_aduid=__aduid__,"<p>Breathe easy with an Allied Healthcare Simple Adult Oxygen Mask 84-Inch Tubing. It's available in a pack of 1 and features a clear soft vinyl construction with a cotton coated strap. The design provides patient comfort with accurate airway assessment and management. The Simple O2 mask also features a newly designed softer tubing connector for an easier fit. The long 84-inch tube gives you the freedom to walk around the room without having to move the tank each time. Pair it with your oxygen machine and adjust the nose clip to your comfort level. The strap ends secured to prevent mask separation so you can breathe better. </p> <strong>Adult Simple Oxygen Mask 84-Inch Tubing, 1 Count: </strong>",Works just right
"Equate Gauze Pads, 3""x3"", 25 Ct",$3.54,5.0/5.0,https://www.walmart.com/ip/Equate-Gauze-Pads-3-x3-25-Ct/344776932,"Equate Gauze Pads are soft and absorbent pads that can be used for protecting and securing your wounds. They are designed to help clean, cover and apply medications to minor cuts, scrapes and burns. The 12 soft cushioning layers are made of rayon/polyester fabric, and can absorb fluids while shielding the wound from external impurities. They are sterile and are not made with natural rubber latex, ensuring that they are safe for usage by people allergic to latex. Equate Gauze Pads offer comfort and protection for wounds in a simple, easy-to-use way that enables you to perform your daily activities without worries. With a wide range of health and beauty products, Equate provides their customers with a healthy and effective way to improve the quality of their daily lives. At Equate, we believe that taking care of your family doesn&amp; 8217;t have to come at a high price. Every product we make is the result of innovation, rigorous standards and high quality ingredients, and that has helped us become one of the most trusted brands across the country. Directions Hold gauze pad on the wound to stop bleeding. Use gauze pad to gently clean the wound with warm water and mild soap. If needed, use a new pad to apply medication and position it over the wound. Use tape or rolled gauze to hold pad in place securely.","Very soft, absorbent, and work well for multiple uses. They're not completely non-stick, but they're not too painful to pull off when changing dressing (unlike the woven gauze!)"
Hormel Thick & Easy Food and Beverage Thickener  16o  ...,$27.47,5.0/5.0,https://www.walmart.com/ip/Hormel-Thick-Easy-Food-and-Beverage-Thickener-16oz-Individual-Packet-Unflavored-Ready-Mix-Nectar-100-per-Case/110705891?wpa_bd=&wpa_pg_seller_id=DABA61A51AA444798605B2E5391AF8EA&wpa_ref_id=afdf435aaa145ad43a354251e4183ec2&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=5&wpa_plmt=__plmt__&wpa_aduid=__aduid__,"<p>Diamond Crystal Thick &amp; Easy Instant Food &amp; Beverage Thickener 4.5g, Nectar, Gluten-free, Lactose-free</p> <p>Food thickener makes it easier, more appealing, and safer for swallowing-impaired patients to ingest foods. So versatile, they can be added to all types of hot &amp; cold foods, liquids and supplement drinks without affecting the taste. Simply add Thick &amp; Easy&reg; to food or liquid, and almost instantly, they become the proper consistency for safe swallowing.</p> <ul>   <li>Blends quickly and smoothly.</li>   <li>Stops thickening after one minute.</li>   <li>Retains consistency for shelf life of food or liquid.</li>   <li>Doesn't bind fluid and is fully digestible.</li>   <li>Allows for normal hydration.</li>   <li>Releases 98% of available fluid after consumption.</li>   <li>Available in large volume cans or single-serving packets.</li> </ul>",Purchased for my Mom who kept getting choked on water. Since using this product she hasn't choked once!
"Equate Earloop Disposable Facemasks, 20 count",$2.97,5.0/5.0,https://www.walmart.com/ip/Equate-Earloop-Disposable-Facemasks-20-count/745929347,"Equate Earloop Disposable Mask is made of a 3-ply construction to help filter up to 99% of bacteria exhaled by the wearer. The lightweight mask is designed to provide comfort and easy breathing. <br /> For general purpose infection control <br /> Helps prevent the spread of airborne illness <br /> Ideal for home healthcare use <br /> Easy to put on, no strings to tie <br /> <br />Stay healthy during cold and flu season with Equate Earloop Disposable Facemasks. Each mask is made in a 3-ply construction, which can filter up to 99% of the bacteria exhaled by the wearer and prevent the spread of airborne illness. Each box contains twenty earloop masks that are lightweight and comfortable for easy breathing while you wear it. These masks are easy to put on and have no strings to tie. Simply place the mask over your nose and mouth, place an earloop around each ear, pull the mask over your chin, and mold the mask to fit snugly around your nose and chin. They are ideal for use at home, school, or in healthcare settings. You can trust Equate Earloop Disposable Facemasks to keep airborne illness and bacteria at bay.","Fantastic barrier for those that suffer from allergies like me. The pollen really makes me sick in the spring time. These are inexpensive, efficient and don't hold a chemical type scent."
Veridian Healthcare Teaching/Training Aluminum Dual-  ...,$15.00,5.0/5.0,https://www.walmart.com/ip/Veridian-Healthcare-Teaching-Training-Aluminum-Dual-Head-Stethoscope/16562864,The Veridian Stethoscope has a lightweight dual-head design that makes it easier to teach others. It is comprised of an aluminum rotating chestpiece with a non-chill diaphragm retaining and bell ring. This healthcare teaching stethoscope has soft ear tips for maximum comfort.,I like this stethoscope. it is very good for teaching
Mabis Signature Series Stainless Steel Dual Head Ste  ...,$27.10,5.0/5.0,https://www.walmart.com/ip/Mabis-Signature-Series-Stainless-Steel-Dual-Head-Stethoscope-Adult-Black/22589235,This Mabis Signature Series Adult Stethoscope has a deluxe chest piece and a dual innerspring binaural made of the same durable material. There's a color-coordinated non-chill ring and a diaphragm retaining ring. This Mabis stethoscope is made of stainless steel and comes with two extra sets of ear tips.,Love it.
Sitz Bath Carex® Round Dusty Rose Polypropylene,$13.01,4.5/5.0,https://www.walmart.com/ip/Sitz-Bath-Carex-Round-Dusty-Rose-Polypropylene/27931344,Get the relief that you need with the Carex Sitz Bath. It's designed to provide hygiene for patients recovering from episiotomies and other conditions in the genital and anal areas. This toilet sitz bath features a simple on and off flow control clip for your convenience. It's also easy to clean and designed for long life. This hemorrhoid sitz bath comes with a bag of solution and a tube. The product is not designed for use in an autoclave.,The product should speak for itself. No other comment needed.
"3M Littmann Classic III Stethoscope, Rainbow-Finish,  ...",$80.78 - $99.99,3.9/5.0,https://www.walmart.com/ip/3M-Littmann-Classic-III-Stethoscope-Rainbow-Finish-Raspberry-Tube-27-inch/125636484,"The 3M Littmann Classic III Stethoscope is the latest version of the stethoscope that helps millions of medical professionals achieve their best. The Classic III stethoscope offers high acoustic sensitivity for exceptional performance, plus a versatile two-sided chestpiece with tunable diaphragms. The Classic III stethoscope is used by students and medical professionals alike to identify, listen to, and study heart, lung, and other body sounds for physical assessment, patient monitoring, and diagnosis.","I have been using Littman Stethoscope Since my under-graduation. I have used Classic II model in the past and it really lasted for years. I bought this model Classic III, Burgundy with Steel Chest piece, as a gift to my wife who is pursuing her PG in Internal Medicine. In less than 2 months the Diaphragm became loose and kept falling off the chest piece and lost it. I have replaced it but the result is same, as i lost the second replacement too. Two times the diaphragm was lost. I have found out that her colleagues who use the same model tend to have the same issue. Second, regarding the tube. Its been 8 months since i bought this model. The usage was normal, without any mishandling. Cracks appeared all along the tube  which got punctured leaving a big hole at the center. In less than a year, the stethoscope was broken and it is completely useless. The quality is so degraded that my previous stethoscope from the same brand lasted for years and while this one lasted only months. I feel so embarrassed that I have given a gift that has a pathetic quality. I have tried contacting you via e-mail but I didn't get a reply from you and hence I am posting this review. I really need an explanation regarding this from your side and probably a replacement or a possible refund at the earliest. 
regards,
Dr. Envira Phani"
"3M Littmann Cardiology IV Stethoscope, Available in   ...",$159.98 - $195.99,2.7/5.0,https://www.walmart.com/ip/3M-Littmann-Cardiology-IV-Stethoscope-Available-in-Multiple-Colors/112383005,"The 3M Littmann Cardiology IV Stethoscope is the next generation of one of the most recognized stethoscopes in the profession, offering improved acoustic performance with better audibility of high-frequency sounds (adult side, firm pressure). Its distinctive chalice-shaped chestpiece features tunable diaphragms on both sides to deliver outstanding acoustic performance, diagnostic versatility, and convenience for treating adult and pediatric patients. The pediatric side of the chestpiece converts to a traditional open bell by removing the tunable diaphragm and replacing it with the included non-chill bell sleeve.","I like my cardio series but I have no idea how they makes these now... The tolerance are garbage, the head swivels too much and seems too loose and for some reason mine is always half locked into place, the diaphragm always always falls off, the tubing is already getting somewhat stiff, the ear piece is not as soft as my old ones and tolerable at best... My household,immediate, and extended family are littmann fans of doctor and nurses, I'm making a step to branch out...and I like the the fact that some manufacturers have lifetime warantees"
"3M Littmann Lightweight II S.E. Stethoscope, Black T  ...",$43.98 - $51.49,3.2/5.0,https://www.walmart.com/ip/3M-Littmann-Lightweight-II-S-E-Stethoscope-Black-Tube-28-inch/21720622,"Benefits of the 3M Littmann Lightweight II S.E. Stethoscope. The Lightweight II S.E. stethoscope is an entry-level instrument that offers a surprising number of beyond-the-basics features such as a tunable diaphragm, dual-sided chestpiece, and adjustable headset. It's a good choice for medical professionals such as LPNs, licensed vocational nurses, certified nursing assistants, and nursing students. The 3M Littmann Lightweight II S.E. Stethoscope provides reliable acoustic performance for taking blood pressure readings and making limited physical assessments of adult patients. Weighing just 118 grams, it's the lightest of all Littmann adult stethoscopes, making it more comfortable for caregivers who wear their stethoscopes all day long.Tunable Diaphragm- Tunable diaphragm technology, a 3M invention, lets clinicians hear different frequency sounds by simply adjusting the pressure on the chestpiece.","Bought this stethoscope a few months ago for nursing school and it works fairly well for what I need it for, while still a price I could afford while still being a student. I recently realized, however, that there is no serial number anywhere on the stethoscope, and I'm now wondering if it's a real or a knockoff and maybe it should be better than it is if it's not a genuine item. Needless to say disappointed either way to even have to be wondering this."
Navage Nasal Irrigation Deluxe Bundle: Navage Nose C  ...,$116.95 - $119.95,4.0/5.0,https://www.walmart.com/ip/Navage-Nasal-Irrigation-Deluxe-Bundle-Navage-Nose-Cleaner-48-SaltPod-Capsules-Countertop-Caddy-Travel-Case-162-75-purchased-separately-You-save-52-80/157182505,"<b>About the Product</b> <ul>  <li>Bundle includes Navage Nose Cleaner, 18 SaltPods (in Nose Cleaner box), 1 SaltPod 30-Pack, Navage Countertop Caddy, Navage Black Travel Case, and 1 pair of Standard Nose Pillows. $162.75 if purchased separately; you save $52.80 (32%). Powered by 2 AA batteries (included).</li>  <li> Navage is the world's only nose cleaner with powered suction.</li>  <li> Navage is Nature's Decongestant - fast, drug-free relief from sinus congestion.</li>  <li> Clinically proven to relieve congestion due to allergies, sinusitis, hay fever, common cold, dry air, pollution, etc.</li>  <li> Helps relieve snoring and improve sleep. Breathe better now, breathe better forever!</li> </ul>",The device works great if you follow the directions closely.
Philips HeartStart Home Defibrillator - AED,"$1,275.00",5.0/5.0,https://www.walmart.com/ip/Philips-HeartStart-Home-Defibrillator-AED/10740651,&nbsp;,"Hope we never have to use it, but it is a top rated product and the price was lower than anywhere I looked. Shipping was lightning fast and cost zilch, .97 cents. Really good customer service too when my credit card was initially disapproved...and then later approved. Thanks, Walmart."
Nature Made® Super B-Complex Dietary Supplement Tabl  ...,$15.444.0¢/each,5.0/5.0,https://www.walmart.com/ip/Nature-Made-Super-B-Complex-Dietary-Supplement-Tablets-390ct/634283052,"Take care of your health by introducing the benefits of Nature Made Super B-Complex dietary supplement into your health care regimen. The value-pack size contains a total of 390 tablets which is 30 tablets more in comparison to the regular size. Give your health a daily boost with one-per-day tablets that provide a combination of essential B Vitamins and Vitamin C for antioxidant and immune system support. In addition, studies show that regular consumption of Vitamin B and C boosts cellular and energy production, and supports normal function of the nervous system. At Nature Made, our goal is to help consumers maintain good health by formulating supplements with high quality essential nutrients to support strong immune systems. Gluten free, no color added, no artificial flavors, and its made without yeast or starch",Product was referred to me by a friend and I've been using it for several years with no complaints.
Saunders Cervical HomeTrac Home Traction Device w/Ca  ...,$325.99,5.0/5.0,https://www.walmart.com/ip/Saunders-Cervical-HomeTrac-Home-Traction-Device-w-Carrying-Case-199594/149064008,"The Saunders Cervical HomeTrac Home Traction Device is designed to provide safe and effective traction (stretching) to the cervical region (neck). Traction forces are directed to the back of the head to prevent compression of the TMJ. This Saunders cervical traction device features a comfortable headrest that can be adjusted to provide the ideal incline for treatment and an adjustable pneumatic handheld pump designed to apply up to 50 lbs of cervical traction. The precise traction in 1-lb increments can be administered while relaxing for the effective treatment for a variety of cervical conditions. This home cervical traction device includes an easy-to-read pressure gauge, so you can have total control of the force at all times. There are also blow-off valve limits to the amount of force that can be applied. This home cervical traction device has an innovative design that replicates clinical traction and promotes consistency of treatment for the best results.",I have degenerative discs in cervical and thoracic spine.  My doctor wrote an order for one based on the physical therapist recommendation.  I took it to my Chiropractor to find out the best setting.  I feel so much better after using it.  This is a medical device so please contact your doctor before using so you don't hurt yourself.
