"Carex Cane Designer Soft Grip Derby Handle Cane, Red",$9.67,4.9/5.0,https://www.walmart.com/ip/Carex-Cane-Designer-Soft-Grip-Derby-Handle-Cane-Red/13447044,"Get around in comfort and style with this Carex Designer Soft Grip Derby Handle Cane Made of highquality material, it features innovative technology that decreases shock and reduces fatigue in the hand and upper body This Carex walking cane can be adjusted from 31&quot; up to 40&quot; Its also adaptable for use with either a left or a righthanded person The handle features a soft grip, ergonomic style for comfort and is 100 percent latexfree It supports up to 250 lbs and includes a wrist strap for added convenience This Carex Designer Soft Grip Derby Handle Cane also has a rubber tip for improved traction on multiple surfaces The stylish red pattern will have you stand out in the crowd",Walmart #  004068165
Carex Black Adjustable Offset Walking Cane,$11.45,4.5/5.0,https://www.walmart.com/ip/Carex-Black-Adjustable-Offset-Walking-Cane/9894417,"This Carex Black Adjustable Walking Cane is designed to make getting around easier It features a soft, cushioned handle with a wrist strap for improved comfort and grip It is easy to adjust the height from 29&quot; to 38&quot; This aluminum black cane is lightweight and has a 3/4&quot; tip and can support users up to 250 lbs",Walmart #  004037266
Medline Quad Cane Small Base Black,$15.60,4.3/5.0,https://www.walmart.com/ip/Medline-Quad-Cane-Small-Base-Black/9894033?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=358598b8cf2998e73e8c4445711d3135&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=3&wpa_plmt=__plmt__&wpa_aduid=__aduid__,"The Medline Small Base Quad Cane gives you more support than a traditional cane Secured with nonskid rubber tips for added safety, the unit does not slip on smooth surfaces This walking stick provides extra stability with its unique design and pushbutton locking feature The black cane has a sleek finish that resists scratching to stay looking newer for longer You can adjust the height to suit your body for more comfortable use This aluminum quad cane is lightweight and strong enough to hold up to lots of regular use Its also immune to rust for a longer service life Theres no assembly required; this walking stick is ready to use right out of the box",Walmart #  551492635
"Carex Offset Adjustable Designer Walking Cane, Blue",$17.00,4.3/5.0,https://www.walmart.com/ip/Carex-Offset-Adjustable-Designer-Walking-Cane-Blue/9894415,"Get around town easily and in style with this Carex Offset Adjustable Designer Walking Cane Its made of a highquality material and easy to use This blue walking cane adjusts from 31&quot; up to 40&quot; with a simple push of a button It also features a soft cushioned, ergonomic handle with a convenient wrist strap for sustained comfort and control Plus, it has a flat, nonslip rubber tip on the bottom that promotes stability and prevents damages to surfaces The stylish finish gives it an elegant appearance It can support up to 250 lbs",Walmart #  004098266
"Medline Bariatric Quad Cane, 500lbs Capacity",$19.74,4.8/5.0,https://www.walmart.com/ip/Medline-Bariatric-Quad-Cane-500lbs-Capacity/7983644?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=e250e7c747a42d7c1b2d4cc4e343c3f4&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=5&wpa_plmt=__plmt__&wpa_aduid=__aduid__,"All steel construction with doubleplated base allows for a 500 lb weight capacity Contains a secure locking ring and dualtubing insert for added strength and safety Small base cane has a 6 x 8&quot; footprint Adjustment height, 29  38&quot;",Walmart #  566273537
HurryCane Freedom Edition Folding Cane with T Handle,$29.93 - $38.59,4.1/5.0,https://www.walmart.com/ip/HurryCane-Freedom-Edition-Folding-Cane-with-T-Handle/54055466,"Cuttingedge, patented technology allows the HurryCane, the 1 selling cane in America, to feel like a seamless extension of the body The HurryCane is unrivaled thanks to industryleading innovations A SteadiGrip base simulates your foots natural stabilizing points, increasing traction and improving balance To further maximize stabilization, the HurryCane automatically flexes on inclines, uneven ground, and fluctuating terrain both inside and outdoors Effortlessly fold the HurryCane to onethird its normal size for compact storing whenever needed, and easily flip back out for continued use To find the perfect fit that will provide lasting comfort, adjust the cane height between 305&quot; to 375&quot; by simply pushing the button located on the handle Feel confident using the durable HurryCane to ensure the next steps you take are safe The HurryCane is tested to support up to 350 pounds",Walmart #  550552042
"Equate Comfort Grip Cane, Black",$13.74,3.5/5.0,https://www.walmart.com/ip/Equate-Comfort-Grip-Cane-Black/14179114,"Get muchneeded stability and assistance for your daily walking with Equate Comfort Grip Cane It features a cushioned grip for a snug hold while walking, along with a holding strap so that the cane doesnt fall away It can easily be height adjusted with the push of a button and remains securely locked when in use It is lightweight but sturdy, with a weight capacity of 300 lbs The slip resistant rubber tip provides additional traction Experience a convenient option for walking with assistance with the Equate Comfort Grip Cane/p Making the right health decisions can be challenging With a complete range of products and simple solutions, Equate allows you to take care of your family with confidence/p  /",Walmart #  567994768
"Carex Health Brands Carex  Cane Tip, 1 ea",$10.17,4.4/5.0,https://www.walmart.com/ip/Carex-Health-Brands-Carex-Cane-Tip-1-ea/28932835,"Retain your balance easier with the Carex SelfStanding Cane Tip The holder allows your walking aid to stand by itself without you having to constantly grasp it This replacement cane tip is easy to use, simply remove the old staff cap and add this sleek new bottom The habit of looking for a chair or a wall to learn your cane against will be gone Made of sturdy nonslip rubberized material, you can trust this 4 attachment to stay securely in place This Carex cane tip is not heavy nor bulky, and you can enjoy the freedom that it brings to you while you go about your daily life This valuable tip adds stability for rod users and will not leave black marks on floor surfaces You can take this sturdy holder anywhere you go that you need your walking aid, you can easily pack this tip inside of your suitcase or place in your car when youre traveling Reclaim your independence by using this Carex SelfStanding Cane Tip",Walmart #  564573995
Drive Medical Heavy Duty Folding Cane Lightweight Ad  ...,$17.46 - $27.08,4.4/5.0,https://www.walmart.com/ip/Drive-Medical-Heavy-Duty-Folding-Cane-Lightweight-Adjustable-with-T-Handle/33651292,"The Heavy Duty Bariatric T Handle Folding Cane from Drive Medical doesnt skimp on style or strength Great for use on the go, the canes sleek black finish is a look that you are sure to love With a 500 pound weight capacity, this sturdy cane will support you throughout your daily life Unlike other heavy duty canes on the market, this cane quickly and easily folds into four pieces to make transportation and storage a cinch",Walmart #  572592995
"Equate Folding Cane, Black",$18.74,5.0/5.0,https://www.walmart.com/ip/Equate-Folding-Cane-Black/14179136,"Get muchneeded stability and assistance for your daily walking with Equate Folding Cane It folds at three points along the shaft for easy storage in a purse or a briefcase It remains securely locked when open for walking and can easily be height adjusted with the push of a button from 33&quot; to 37&quot; It is lightweight but sturdy, with a weight capacity of 300 lbs The slip resistant rubber tip provides additional traction The handle is designed ergonomically for a comfortable grip Experience a convenient option for walking with assistance with the Equate Folding Cane/p Making the right health decisions can be challenging With a complete range of products and simple solutions, Equate allows you to take care of your family with confidence/p  /",Walmart #  567994774
