Drive Medical Blue Streak Wheelchair with Flip Back   ...,$110.99 - $123.99,4.4/5.0,https://www.walmart.com/ip/Drive-Medical-Blue-Streak-Wheelchair-with-Flip-Back-Desk-Arms-Swing-Away-Footrests/15423509,"A Mobile Masterpiece of Class... Durability and Comfort The Blue Streak Wheelchair with Flip Back Desk Arms from Drive Medical represents a new class of leading-edge mobility enhanced wheelchairs that have been engineered and structured, to not only meet, but exceed the growing demands and expectations of users who cherish independence, mobility and comfort.It arrives at your door loaded with features designed to enable and enhance your mobility and comfort. Arm rests are fully padded. The frame, black cross brace and the nylon upholstery is durable, attractive and easy to clean.The tires which are made of solid rubber, give you an enormous amount of durability. If that wasn't enough, this leading edge mobility aid also requires little to no maintenance.Users also appreciate that The Blue Streak Wheelchair comes with easy to operate push to lock brakes, along with convenient swing away footrests with plastic footplates that allow you the user, too safely, effortlessly and with convenience, slide in and out of your chair.You'll also appreciate the padded desk arms which furnish you with unbeatable comfort, allowing you to slide up as close as you desire, and need to be to tables, and or desks. Go ahead...Experience the Drive Difference Now!","Bought this wheelchair for husband and it's been put to good use.  Very stylish with the blue paint and easy to manage and travel around with.  The previous one we owned was so heavy and bulky, it was so difficult trying to get it into the back of our SUV.  This chair is light weight and I can lift it myself to the back of our SUV and it is safe enough, I don't worry about my husband getting around the house himself."
"Equate Transport Chair, Black",$135.00,4.7/5.0,https://www.walmart.com/ip/Equate-Transport-Chair-Black/14179126,"<p>Equate Transport Chair makes it easy for caregivers and their loved ones to go more places with greater ease and comfort. Unlike a standard wheelchair, a transport chair requires a caregiver with the ability to push the chair. That's one reason transport chairs are made lighter than wheelchairs so they can be pushed with less effort. This transport chair, made from powder-coated steel, is designed for maneuverability, providing improved mobility through tight spaces or public areas. The wide seats, coupled with restaurant-style arms, provide a high level of comfort.</p> <p>This chair is also equipped with a seatbelt to keep the user in the chair, and loop-lock hand brakes that are ideal for locking the rear wheels when the user needs to stand up or sit back down. Ready to go anywhere, the chair folds up quickly and compactly so you can put it in the car trunk, carry it up the stairs or store it until needed again.</p> <p>Making the right health decisions can be challenging. With a complete range of products and simple solutions, Equate allows you to take care of your family with confidence.</p> <br />","I have received a free Equate Transport Chair from Home Tester Club. I have cancer,  arthritis, emphasema, and other medical problems which all make it vey hard for me to walk more than a few steps. This Equate Transport Chair is a lifesaver. It is so easy to assemble and so easy to fold up to take with you that it has made life much better for me. The only thing that I don't like about it is you cannot use it without someone to push you.  You cannot use it alone,  but otherwise it is a very comfortable wheelchair and makes life so much easier for you if you have mobility issues. I am greatly apprecitive of the opportunity to use this transport chair. Thank you."
Drive Medical Silver Sport 1 Wheelchair with Full Ar  ...,$117.04,4.5/5.0,https://www.walmart.com/ip/Drive-Medical-Silver-Sport-1-Wheelchair-with-Full-Arms-and-Swing-away-Removable-Footrest/15423452,"A Tour de Force in Comfort, Reliability and Value In a world where independence and mobility is highly treasured and sought after, nothing can compare to Drive Medical's Silver Sport 1 Wheelchair with Full Arms and Swing away Removable Footrest.When it comes to comfort, reliability and genuine value, the Silver Sport 1 Wheelchair is a genuine tour de force in design, safety and ease of use for both the user and caregiver alike. It's nothing less than unbeatable value you can count on to meet your mobility needs again and again.Sturdy, easy to maneuver as well as fold and carry, it's suitable for all ages. At the end of the day, it will empower you like nothing else, as it meets and exceeds your needs and expectations, whether inside or away from your home.The Silver Sport 1 Wheelchair with Full Arms and Swing away Removable Footrest is a handy companion for both user and caregiver, and one you will want to have with you at all times. Go ahead...Experience the Drive Difference Now!","Wal-mart shipping got this to me in less than 4 days when the doctor's office couldn't get through the red tape to get me a chair rental in 2 WEEKS! The price was right and it was easy to set up right out of the box! This chair has helped accelerate my recovery. I just use a beach towel for the seat and back and it works perfectly...picture attached. Thank you, Wal-mart and Drive!"
Drive Medical Cruiser III Light Weight Wheelchair wi  ...,$168.90 - $181.49,4.5/5.0,https://www.walmart.com/ip/Drive-Medical-Cruiser-III-Light-Weight-Wheelchair-with-Flip-Back-Removable-Desk-Arms-Elevating-Leg-Rests/15423515,"The 20&quot; Cruiser III Wheelchair with Flip Back Detachable Desk Arms and Elevating Leg rests by Drive Medical has a carbon steel frame that eliminates seat guides and allows for custom back inserts and accessories. The silver vein finish is attractive and easy to maintain. The precision sealed wheel bearing, in front and rear, ensure long lasting performance and reliability, while the 8&quot; front caster wheels provide a smooth ride over most surfaces. The dual axle and removable, flip back, desk arms makes transferring easy. Comes standard with, detachable flip back desk arms, elevating leg rests, black nylon upholstery, composite Mag-style wheels and push to lock wheel locks.","So my father in law was in need of a chair that is wider in the seat (19"") but narrow enough to fit through smaller standard doorways. He is 6'2"" 255 lbs. and the doorways are 29"" wide. The chair has arms that can be pushed right up to the kitchen table for meals too. The arms are not fixed, it would be nice if they were. The legs supports were the only parts not assembled. It was easy to put together. Overall it is a great price and it looks well design with the exception of the arms (they are meant to be removable, the biggest issues is that if you try to grab the chair by the arm and pull the chair, the arm comes free from the lock keeping it in place) . It seats comfortably and rolls nicely. 
Bottom line - for the nasty, cracked chair that Humanna wanted to charge $20/ month x 13 months, this is a better option and it fits my FIL and through the doorways. 
If you go to the manufacture website there is a nice chart with each model chair and their features and measurements. Made it much easier to narrow it down to what model we wanted. Also, it looks like you can purchase replacement parts from the manufacture as well...bonus for that!"
Medline Excel Deluxe Aluminum Transport Chair with H  ...,$117.58,4.3/5.0,https://www.walmart.com/ip/Medline-Excel-Deluxe-Aluminum-Transport-Chair-with-Hand-Brakes/23955882,,"MY wife has Alzheimer disease. Several years ago I purchased a moble steel chair for $225. Its features were limited to pulling the two sides together and had poorly designed tubular footrest. The wheels were smaller. It barley fit in the trunk of my car.
My wife began to have a difficult time keeping her feet on the footrest and I began a search for a lighter weight transport chair. This chair exceeded my expectations. It was better designed, lighter in weight and in it's collapsed state takes up less than one half of my car trunk space. The best feature was it cost me $94 less than my previous chair. I highly recommend this transport chair.
The above evaluation should have six stars and bars."
Drive Medical Lightweight Steel Transport Wheelchair  ...,$79.96 - $84.99,4.6/5.0,https://www.walmart.com/ip/Drive-Medical-Lightweight-Steel-Transport-Wheelchair-Fixed-Full-Arms/25514999,"Unbeatable Safety, Convenience and Reliability The SV Steel transport Chair from Drive Medical is everything you want and need in a transport chair. It's the perfect combination of durable, long-lasting value, dependability and never ending convenience.Specially designed for users and caregivers alike who need both durability and convenience that comes to you in the form of a steel frame that is forever strong, yet incredibly lightweight and easy to maneuver, this specially built mobile aid is unbeatable.Unlike other traditional transport chairs, this gem lets you glide through home doorways, rooms and hallways with ease. You'll also appreciate that in addition to its light weight; it also folds up easily, and can be moved in and out of your vehicle in a jiffy.The SV Steel transport Chair comes with a classy and stylish silver finish and is available with a 19&quot; wide seat. For extra convenience, each also comes with footrests that swing away, making it especially easy for users to mount and dismount faster, and safer. The attractive nylon upholstery makes this chair easy to clean while the armrests are amply padded to give you maximum comfort and support. Go ahead...Experience the Drive Difference Now!","I bought this for my dad, I'm glad I did. Folds great! Pushes through rough surfaces without struggle!"
"Medline K1 Basic 18"" Wheelchair, Elevating Legrests,  ...",$135.69,4.8/5.0,https://www.walmart.com/ip/Medline-K1-Basic-18-Wheelchair-Elevating-Legrests-Full-Length-Arms/41051449,"If you or your loved one spends a lot of time using a manual wheelchair, you'll want that wheelchair to be comfortable and reliable. The durable steel Excel K1 Wheelchair by Medline was designed with your comfort in mind. The specially-crafted nylon upholstery is tough and stands up to abuse while it keeps you cool in the summer and warm in the winter. This self-propelled wheelchair also has a roomy seat that measures 18&quot; wide by 16&quot; deep and elevated leg rests with calf pads. It's easy to maneuver in and out of the Excel K1 Wheelchair because the full-length permanent armrests come off with the push of a button. This dual-axle wheelchair is hemi-height adjustable and features smooth-rolling tires that are flat-free. This wheelchair weighs only 38 pounds (without legrests) and is a suitable for users who weigh up to 300 pounds",This wheelchair is lightweight and very sturdy. It's perfect for my elderly mother. And the price was very reasonable.
Medline K1 Basic Extra-Wide Wheelchair with Swing Aw  ...,$137.29,2.6/5.0,https://www.walmart.com/ip/Medline-K1-Basic-Extra-Wide-Wheelchair-with-Swing-Away-Footrests/41136886,"Get durable performance with the Medline K1 Basic Extra-Wide Wheelchair with Swing Away Footrests. It features a soft, supportive seat and back that allows riders to remain comfortable during use. It also features a sturdy, robust tig-welded frame with a visually appealing silver vein finish. This Medline wheelchair is suitable for indoor or outdoor use thanks to wheels that roll across different types of surfaces. It has footrests that move out of the way, making it easier to get up or sit down. This portable wheelchair also comes with ergonomic grips on the handles that prevent the pusher's hands from slipping.",The frame on the left side was bent and the wheel rubbed and caught the frame. You could not move it most of the time.
"Drive Medical Silver Sport 2 Wheelchair, Detachable   ...",$176.21 - $195.26,4.5/5.0,https://www.walmart.com/ip/Drive-Medical-Silver-Sport-2-Wheelchair-Detachable-Desk-Arms-Elevating-Leg-Rests/15423464,"The 20&quot; Silver Sport 2 Wheelchair with Detachable Desk Arms and Swing Away Footrests by Drive Medical comes in an attractive, easy to maintain, powder coated, silver vein finish, and a steel frame for durability. The urethane tires are mounted on composite wheels to provide durability and a smooth ride over most surfaces. The embossed, nylon upholstery is durable, lightweight, attractive and easy to clean. The carry pocket on the backrest provides an easy and safe way to transport personal items. Comes standard with swing away, elevating footrests, padded detachable desk arms, push to lock brakes and plastic footplates.","First, I was surprised to see that Walmart sells wheelchairs. I saw this one and thought it would be perfect for our needs and I was right! It was delivered to my Walmart within days of ordering it. I was pleasantly surprised that the construction is so nice and sturdy. When it came, there was minimal assembly which was such a relief. I am a bigger person and I fit comfortably and feel secure when I am in it. The seat, back, leg rests, and arm rests are very comfortable. My husband says it is easy to maneuver. One of my doctors remarked, ""What a nice wheelchair!"" I think I got a great bargain especially since we don't know how long we will need it. This chair is more than worth the money!! I would highly recommend this chair to anyone who needs a sturdy non-electric wheelchair! Thank you Walmart!!"
Drive Medical Blue Streak Wheelchair with Flip Back   ...,$123.06 - $158.99,4.2/5.0,https://www.walmart.com/ip/Drive-Medical-Blue-Streak-Wheelchair-with-Flip-Back-Desk-Arms-Elevating-Leg-Rests-BLS20FBD-ELR/28184367,"A Mobile Masterpiece of Class... Durability and Comfort The Blue Streak Wheelchair with Flip Back Desk Arms from Drive Medical represents a new class of leading-edge mobility enhanced wheelchairs that have been engineered and structured, to not only meet, but exceed the growing demands and expectations of users who cherish independence, mobility and comfort.It arrives at your door loaded with features designed to enable and enhance your mobility and comfort. Arm rests are fully padded. The frame, black cross brace and the nylon upholstery is durable, attractive and easy to clean.The tires which are made of solid rubber, give you an enormous amount of durability. If that wasn't enough, this leading edge mobility aid also requires little to no maintenance.Users also appreciate that The Blue Streak Wheelchair comes with easy to operate push to lock brakes, along with convenient elevating leg rests that allow you the user, too safely, effortlessly and with convenience, slide in and out of your chair.You'll also appreciate the padded desk arms which furnish you with unbeatable comfort, allowing you to slide up as close as you desire, and need to be to tables, and or desks. Go ahead...Experience the Drive Difference Now!","Bought this wheelchair for husband and it's been put to good use.  Very stylish with the blue paint and easy to manage and travel around with.  The previous one we owned was so heavy and bulky, it was so difficult trying to get it into the back of our SUV.  This chair is light weight and I can lift it myself to the back of our SUV and it is safe enough, I don't worry about my husband getting around the house himself."
